schema_version	expected_rds_id	fine_cell_type	broad_cell_type	include	exclusion_reason
phase08_broad_cell_mapping_v1	astrocytes	Ast CHI3L1	Astrocytes	TRUE	
phase08_broad_cell_mapping_v1	astrocytes	Ast DPP10	Astrocytes	TRUE	
phase08_broad_cell_mapping_v1	astrocytes	Ast GRM3	Astrocytes	TRUE	
phase08_broad_cell_mapping_v1	excitatory_set1	Exc L2-3 CBLN2 LINC02306	Excitatory_neurons	TRUE	
phase08_broad_cell_mapping_v1	excitatory_set2	Exc L3-4 RORB CUX2	Excitatory_neurons	TRUE	
phase08_broad_cell_mapping_v1	excitatory_set2	Exc L3-5 RORB PLCH1	Excitatory_neurons	TRUE	
phase08_broad_cell_mapping_v1	excitatory_set2	Exc L4-5 RORB GABRG1	Excitatory_neurons	TRUE	
phase08_broad_cell_mapping_v1	excitatory_set2	Exc L4-5 RORB IL1RAPL2	Excitatory_neurons	TRUE	
phase08_broad_cell_mapping_v1	excitatory_set3	Exc L5 ET	Excitatory_neurons	TRUE	
phase08_broad_cell_mapping_v1	excitatory_set3	Exc L5-6 RORB LINC02196	Excitatory_neurons	TRUE	
phase08_broad_cell_mapping_v1	excitatory_set3	Exc L5/6 IT Car3	Excitatory_neurons	TRUE	
phase08_broad_cell_mapping_v1	excitatory_set3	Exc L5/6 NP	Excitatory_neurons	TRUE	
phase08_broad_cell_mapping_v1	excitatory_set3	Exc L6 CT	Excitatory_neurons	TRUE	
phase08_broad_cell_mapping_v1	excitatory_set3	Exc L6 THEMIS NFIA	Excitatory_neurons	TRUE	
phase08_broad_cell_mapping_v1	excitatory_set3	Exc L6b	Excitatory_neurons	TRUE	
phase08_broad_cell_mapping_v1	excitatory_set3	Exc NRGN	Excitatory_neurons	TRUE	
phase08_broad_cell_mapping_v1	excitatory_set3	Exc RELN CHD7	Excitatory_neurons	TRUE	
phase08_broad_cell_mapping_v1	immune	CAMs	CAMs	FALSE	not_in_requested_seven_broad_cell_types
phase08_broad_cell_mapping_v1	immune	Mic MKI67	Microglia	TRUE	
phase08_broad_cell_mapping_v1	immune	Mic P2RY12	Microglia	TRUE	
phase08_broad_cell_mapping_v1	immune	Mic TPT1	Microglia	TRUE	
phase08_broad_cell_mapping_v1	immune	T cells	T_cells	FALSE	not_in_requested_seven_broad_cell_types
