schema_version	figure	panel	kda_run_id	broad_network	fine_cell_type	sex	apoe_group	driver	gene	layer	x	y	in_degree	out_degree	total_degree	degree_percentile	node_size_area	logFC	fdr_bh_within_contrast	paper_deg	donors_ad	donors_nci	is_driver	is_overlap	is_complex_v	is_candidate	display_label
phase12_kda_network_figures_v1	wang_subnetworks	A	primary_Ast_GRM3_M_e2_AD_down_mito	Astrocytes	Ast GRM3	Male	e2	APOE	AGT	2	0.9	0.0	1	1	2	0.8094146047073023	81.0	-0.867439286638351	2.97130316684667e-28	TRUE	7	6	FALSE	TRUE	FALSE	TRUE	AGT
phase12_kda_network_figures_v1	wang_subnetworks	A	primary_Ast_GRM3_M_e2_AD_down_mito	Astrocytes	Ast GRM3	Male	e2	APOE	APOE	0	-0.9	0.0	2	11	13	0.9862401931200966	400.0	-0.506258168887314	1.01623344967118e-13	TRUE	7	6	TRUE	FALSE	FALSE	TRUE	APOE
phase12_kda_network_figures_v1	wang_subnetworks	A	primary_Ast_GRM3_M_e2_AD_down_mito	Astrocytes	Ast GRM3	Male	e2	APOE	ATP5F1A	2	0.9	0.184	1	0	1	0.6774894387447193	64.0	-0.816444712762915	1.01385268413574e-11	TRUE	7	6	FALSE	TRUE	TRUE	TRUE	ATP5F1A
phase12_kda_network_figures_v1	wang_subnetworks	A	primary_Ast_GRM3_M_e2_AD_down_mito	Astrocytes	Ast GRM3	Male	e2	APOE	ATP5PB	1	0.0	0.0	1	1	2	0.8094146047073023	81.0	-1.15070507481747	1.1960917965753e-10	TRUE	7	6	FALSE	TRUE	TRUE	TRUE	ATP5PB
phase12_kda_network_figures_v1	wang_subnetworks	A	primary_Ast_GRM3_M_e2_AD_down_mito	Astrocytes	Ast GRM3	Male	e2	APOE	CHCHD10	1	0.0	0.23	1	2	3	0.8719372359686179	100.0	-0.327934216304693	1.32179053763524e-08	FALSE	7	6	FALSE	FALSE	FALSE	TRUE	CHCHD10
phase12_kda_network_figures_v1	wang_subnetworks	A	primary_Ast_GRM3_M_e2_AD_down_mito	Astrocytes	Ast GRM3	Male	e2	APOE	CST3	1	0.0	-0.46	1	6	7	0.9560651780325891	196.0	-0.642360340806804	0.00639132768995445	TRUE	7	6	FALSE	FALSE	FALSE	FALSE	
phase12_kda_network_figures_v1	wang_subnetworks	A	primary_Ast_GRM3_M_e2_AD_down_mito	Astrocytes	Ast GRM3	Male	e2	APOE	GJB6	2	0.9	-0.184	2	6	8	0.9642727821363911	225.0	-0.879552883273518	1.41556393100887e-20	TRUE	7	6	FALSE	FALSE	FALSE	FALSE	
phase12_kda_network_figures_v1	wang_subnetworks	A	primary_Ast_GRM3_M_e2_AD_down_mito	Astrocytes	Ast GRM3	Male	e2	APOE	HLA-A	1	0.0	0.6900000000000001	1	0	1	0.6774894387447193	64.0	-1.37295394693542	1.60118203002974e-07	TRUE	7	6	FALSE	FALSE	FALSE	FALSE	
phase12_kda_network_figures_v1	wang_subnetworks	A	primary_Ast_GRM3_M_e2_AD_down_mito	Astrocytes	Ast GRM3	Male	e2	APOE	LDHB	1	0.0	-0.23	1	5	6	0.9425467712733856	169.0	-0.955872202992749	5.75492795944732e-15	TRUE	7	6	FALSE	TRUE	FALSE	TRUE	LDHB
phase12_kda_network_figures_v1	wang_subnetworks	A	primary_Ast_GRM3_M_e2_AD_down_mito	Astrocytes	Ast GRM3	Male	e2	APOE	NME3	2	0.9	0.368	1	7	8	0.9642727821363911	225.0	-0.14606201359139	1.45910797305588e-14	FALSE	7	6	FALSE	FALSE	FALSE	FALSE	
phase12_kda_network_figures_v1	wang_subnetworks	A	primary_Ast_GRM3_M_e2_AD_down_mito	Astrocytes	Ast GRM3	Male	e2	APOE	PLTP	1	0.0	-0.6900000000000001	1	0	1	0.6774894387447193	64.0	0.247633068179481	4.42175520445973e-10	FALSE	7	6	FALSE	FALSE	FALSE	FALSE	
phase12_kda_network_figures_v1	wang_subnetworks	A	primary_Ast_GRM3_M_e2_AD_down_mito	Astrocytes	Ast GRM3	Male	e2	APOE	RMDN3	2	0.9	-0.368	1	0	1	0.6774894387447193	64.0	0.304172265595754	7.47738054578716e-08	FALSE	7	6	FALSE	FALSE	FALSE	FALSE	
phase12_kda_network_figures_v1	wang_subnetworks	A	primary_Ast_GRM3_M_e2_AD_down_mito	Astrocytes	Ast GRM3	Male	e2	APOE	ROGDI	2	0.9	0.552	1	0	1	0.6774894387447193	64.0	0.0283747365123681	4.19743357263897e-06	FALSE	7	6	FALSE	FALSE	FALSE	FALSE	
phase12_kda_network_figures_v1	wang_subnetworks	A	primary_Ast_GRM3_M_e2_AD_down_mito	Astrocytes	Ast GRM3	Male	e2	APOE	SCRG1	2	0.9	-0.552	1	1	2	0.8094146047073023	81.0	-1.69918199650357	5.71583061381085e-12	TRUE	7	6	FALSE	FALSE	FALSE	FALSE	
phase12_kda_network_figures_v1	wang_subnetworks	A	primary_Ast_GRM3_M_e2_AD_down_mito	Astrocytes	Ast GRM3	Male	e2	APOE	SPARCL1	2	0.9	0.736	2	0	2	0.8094146047073023	81.0	-0.0273778908482885	0.000659662270540414	FALSE	7	6	FALSE	FALSE	FALSE	FALSE	
