schema_version	gene
phase12_kda_network_figures_v1	ATP5F1A
phase12_kda_network_figures_v1	ATP5F1B
phase12_kda_network_figures_v1	ATP5F1C
phase12_kda_network_figures_v1	ATP5F1D
phase12_kda_network_figures_v1	ATP5F1E
phase12_kda_network_figures_v1	ATP5IF1
phase12_kda_network_figures_v1	ATP5MC1
phase12_kda_network_figures_v1	ATP5MC2
phase12_kda_network_figures_v1	ATP5MC3
phase12_kda_network_figures_v1	ATP5MD
phase12_kda_network_figures_v1	ATP5ME
phase12_kda_network_figures_v1	ATP5MF
phase12_kda_network_figures_v1	ATP5MG
phase12_kda_network_figures_v1	ATP5MPL
phase12_kda_network_figures_v1	ATP5PB
phase12_kda_network_figures_v1	ATP5PD
phase12_kda_network_figures_v1	ATP5PF
phase12_kda_network_figures_v1	ATP5PO
phase12_kda_network_figures_v1	ATPAF1
phase12_kda_network_figures_v1	ATPAF2
phase12_kda_network_figures_v1	ATPSCKMT
phase12_kda_network_figures_v1	DMAC2L
phase12_kda_network_figures_v1	FMC1
phase12_kda_network_figures_v1	MT-ATP6
phase12_kda_network_figures_v1	MT-ATP8
phase12_kda_network_figures_v1	TMEM70
