schema_version	broad_network	driver	complex_v_target	driver_y	target_y	qualifying_calls	shortest_path_distance	driver_total_degree	driver_node_size_area	target_supporting_calls	target_node_size_area
phase12_kda_network_figures_v1	Astrocytes	APOE	ATP5F1A	0.943859649122807	0.27923076923076917	1	2	13	500.0	12	149.28203230275508
phase12_kda_network_figures_v1	Astrocytes	APOE	ATP5PB	0.943859649122807	0.3423076923076923	2	1	13	500.0	14	154.83314773547883
phase12_kda_network_figures_v1	Astrocytes	CKB	ATP5PB	0.895438596491228	0.3423076923076923	1	2	15	605.0	14	154.83314773547883
phase12_kda_network_figures_v1	Astrocytes	EIF4A2	ATP5F1B	0.879298245614035	0.21615384615384603	1	1	4	151.25	9	140.0
phase12_kda_network_figures_v1	Astrocytes	ITM2B	ATP5PB	0.8631578947368421	0.3423076923076923	1	3	14	551.25	14	154.83314773547883
phase12_kda_network_figures_v1	Astrocytes	LAPTM4A	ATP5F1A	0.9277192982456139	0.27923076923076917	1	3	14	551.25	12	149.28203230275508
phase12_kda_network_figures_v1	Astrocytes	LAPTM4A	ATP5PB	0.9277192982456139	0.3423076923076923	2	2	14	551.25	14	154.83314773547883
phase12_kda_network_figures_v1	Astrocytes	RPL11	ATP5F1E	0.96	0.5315384615384615	1	2	4	151.25	22	173.80831519646858
phase12_kda_network_figures_v1	Astrocytes	RPL11	ATP5ME	0.96	0.5946153846153845	1	3	4	151.25	24	177.97958971132712
phase12_kda_network_figures_v1	Astrocytes	RPL11	ATP5PF	0.96	0.91	2	2	4	151.25	45	214.1640786499874
phase12_kda_network_figures_v1	Astrocytes	RPL13	ATP5F1B	0.8470175438596491	0.21615384615384603	1	3	6	211.25	9	140.0
phase12_kda_network_figures_v1	Astrocytes	RPL15	ATP5F1B	0.8308771929824561	0.21615384615384603	1	2	13	500.0	9	140.0
phase12_kda_network_figures_v1	Astrocytes	RPLP1	ATP5F1E	0.911578947368421	0.5315384615384615	1	3	9	320.0	22	173.80831519646858
phase12_kda_network_figures_v1	Astrocytes	RPLP1	ATP5PF	0.911578947368421	0.91	2	3	9	320.0	45	214.1640786499874
phase12_kda_network_figures_v1	Excitatory_neurons	ATP5PF	ATP5PD	0.5887719298245614	0.40538461538461534	3	2	6	211.25	16	160.0
phase12_kda_network_figures_v1	Excitatory_neurons	ATP6AP2	ATP5PB	0.7017543859649122	0.3423076923076923	2	3	14	551.25	14	154.83314773547883
phase12_kda_network_figures_v1	Excitatory_neurons	ATP6AP2	TMEM70	0.7017543859649122	0.46846153846153843	5	1	14	551.25	22	173.80831519646858
