schema_version	broad_network	driver	complex_v_target	driver_y	target_y	qualifying_calls	shortest_path_distance	driver_total_degree	driver_node_size_area	target_supporting_calls	target_node_size_area
phase12_kda_network_figures_v1	Astrocytes	APOE	ATP5F1A	0.8763636363636363	0.254	1	2	13	500.0	1	100.0
phase12_kda_network_figures_v1	Astrocytes	APOE	ATP5PB	0.8763636363636363	0.33599999999999997	2	1	13	500.0	2	108.2842712474619
phase12_kda_network_figures_v1	Astrocytes	RPL11	ATP5F1E	0.96	0.5	1	2	4	151.25	8	136.5685424949238
phase12_kda_network_figures_v1	Astrocytes	RPL11	ATP5ME	0.96	0.5820000000000001	1	3	4	151.25	13	152.11102550927978
phase12_kda_network_figures_v1	Astrocytes	RPL11	ATP5PF	0.96	0.91	2	2	4	151.25	28	185.83005244258362
phase12_kda_network_figures_v1	Excitatory_neurons	GABARAPL2	ATP5MC3	0.6254545454545455	0.746	15	2	11	405.0	17	162.4621125123532
phase12_kda_network_figures_v1	Excitatory_neurons	LAMTOR5	ATP5IF1	0.709090909090909	0.8280000000000001	12	1	10	361.25	17	162.4621125123532
phase12_kda_network_figures_v1	Excitatory_neurons	LAMTOR5	ATP5MC2	0.709090909090909	0.664	12	2	10	361.25	15	157.45966692414834
phase12_kda_network_figures_v1	Excitatory_neurons	RPL11	ATP5ME	0.7927272727272727	0.5820000000000001	12	3	9	320.0	13	152.11102550927978
phase12_kda_network_figures_v1	Excitatory_neurons	RPL11	ATP5PF	0.7927272727272727	0.91	14	2	9	320.0	28	185.83005244258362
phase12_kda_network_figures_v1	Inhibitory_neurons	LAMTOR5	ATP5IF1	0.45818181818181813	0.8280000000000001	3	2	10	361.25	17	162.4621125123532
phase12_kda_network_figures_v1	Inhibitory_neurons	LAMTOR5	ATP5MG	0.45818181818181813	0.41800000000000004	2	3	10	361.25	3	114.64101615137754
phase12_kda_network_figures_v1	Inhibitory_neurons	LAMTOR5	ATP5PD	0.45818181818181813	0.09	1	3	10	361.25	1	100.0
phase12_kda_network_figures_v1	Inhibitory_neurons	LAMTOR5	ATP5PF	0.45818181818181813	0.91	4	1	10	361.25	28	185.83005244258362
phase12_kda_network_figures_v1	Inhibitory_neurons	RPS15	ATP5F1E	0.5418181818181818	0.5	6	2	18	720.0	8	136.5685424949238
phase12_kda_network_figures_v1	Inhibitory_neurons	RPS15	ATP5PF	0.5418181818181818	0.91	6	3	18	720.0	28	185.83005244258362
phase12_kda_network_figures_v1	Microglia	RPL11	ATP5F1E	0.3745454545454545	0.5	1	2	14	551.25	8	136.5685424949238
phase12_kda_network_figures_v1	OPCs	ANKRD11	ATP5IF1	0.20727272727272728	0.8280000000000001	1	3	28	720.0	17	162.4621125123532
phase12_kda_network_figures_v1	OPCs	ANKRD11	ATP5MC3	0.20727272727272728	0.746	1	3	28	720.0	17	162.4621125123532
phase12_kda_network_figures_v1	OPCs	ANKRD11	ATP5PF	0.20727272727272728	0.91	1	3	28	720.0	28	185.83005244258362
phase12_kda_network_figures_v1	OPCs	FTL	ATP5IF1	0.12363636363636366	0.8280000000000001	1	2	31	720.0	17	162.4621125123532
phase12_kda_network_figures_v1	OPCs	FTL	ATP5MC3	0.12363636363636366	0.746	1	2	31	720.0	17	162.4621125123532
phase12_kda_network_figures_v1	OPCs	FTL	ATP5PF	0.12363636363636366	0.91	1	2	31	720.0	28	185.83005244258362
phase12_kda_network_figures_v1	OPCs	RPS15	ATP5MC1	0.2909090909090909	0.17200000000000004	1	1	28	720.0	1	100.0
phase12_kda_network_figures_v1	OPCs	RPS15	ATP5MC2	0.2909090909090909	0.664	2	3	28	720.0	15	157.45966692414834
phase12_kda_network_figures_v1	OPCs	RPS15	ATP5MG	0.2909090909090909	0.41800000000000004	1	3	28	720.0	3	114.64101615137754
phase12_kda_network_figures_v1	Oligodendrocytes	RPL11	ATP5MC2	0.04	0.664	1	3	11	405.0	15	157.45966692414834
