schema_version	record_type	display_order	gene	contexts	final_grade	context_count	value	share	primary_label	secondary_label	tertiary_label	evidence_id	style_key	source_rows
genetic_support_tier1_slide_summary_v1	outcome_segment	1	NA	NA	strong	1	1	0.02127659574468085	Strong	1 gene–network pairs	NA	NA	strong_blue	genetic_support_evidence_summary.tsv
genetic_support_tier1_slide_summary_v1	outcome_segment	2	NA	NA	moderate	0	0	0.0	Moderate	0 gene–network pairs	NA	NA	moderate_green	genetic_support_evidence_summary.tsv
genetic_support_tier1_slide_summary_v1	outcome_segment	3	NA	NA	weak	3	3	0.06382978723404255	Limited	3 gene–network pairs	NA	NA	weak_orange	genetic_support_evidence_summary.tsv
genetic_support_tier1_slide_summary_v1	outcome_segment	4	NA	NA	none_found	23	23	0.48936170212765956	No direct public match	23 gene–network pairs	NA	NA	no_direct_gray	genetic_support_evidence_summary.tsv
genetic_support_tier1_slide_summary_v1	outcome_segment	5	NA	NA	not_assessable	20	20	0.425531914893617	Needs different data	20 gene–network pairs	NA	NA	not_assessable_open	genetic_support_evidence_summary.tsv
genetic_support_tier1_slide_summary_v1	candidate_card	1	APOE	Astrocytes	strong	1	1	0.02127659574468085	STRONG GENETIC SUPPORT	rs429358  •  top candidate AD variant (score 1.0)  •  AD P ≈ $1.88 \times 10^{-155}$	Brain-tissue support; an exact astrocyte match was not available	rs429358	strong_blue	genetic_support_evidence_summary.tsv|genetic_support_common_variant_evidence.tsv.gz|genetic_support_colocalization.tsv.gz
genetic_support_tier1_slide_summary_v1	candidate_card	2	COX7C	Astrocytes + inhibitory neurons	weak	2	2	0.0425531914893617	LIMITED GENETIC SUPPORT	rs2010322  •  brain RNA-splicing link (source confidence level 5)  •  AD P ≈ $2.64 \times 10^{-6}$	The same source result appears in two networks; it is not two separate confirmations	rs2010322	weak_orange	genetic_support_evidence_summary.tsv|genetic_support_common_variant_evidence.tsv.gz|genetic_support_colocalization.tsv.gz
genetic_support_tier1_slide_summary_v1	candidate_card	3	SELENOW	Excitatory neurons	weak	1	1	0.02127659574468085	LIMITED GENETIC SUPPORT	Listed in a study linking predicted gene activity to AD (TWAS)	The public table lacks the test score and exact neuron type	TWAS_gene_list	weak_orange	genetic_support_evidence_summary.tsv|genetic_support_common_variant_evidence.tsv.gz|genetic_support_colocalization.tsv.gz
genetic_support_tier1_slide_summary_v1	no_direct_gene	1	ANKRD11	OPCs	none_found	1	1	0.02127659574468085	ANKRD11	NA	NA	NA	no_direct_gray	genetic_support_evidence_summary.tsv
genetic_support_tier1_slide_summary_v1	no_direct_gene	2	ATP6V1F	Inhibitory neurons	none_found	1	1	0.02127659574468085	ATP6V1F	NA	NA	NA	no_direct_gray	genetic_support_evidence_summary.tsv
genetic_support_tier1_slide_summary_v1	no_direct_gene	3	COX4I1	Astrocytes + excitatory neurons	none_found	2	2	0.0425531914893617	COX4I1	NA	NA	NA	no_direct_gray	genetic_support_evidence_summary.tsv
genetic_support_tier1_slide_summary_v1	no_direct_gene	4	COX6B1	Excitatory neurons	none_found	1	1	0.02127659574468085	COX6B1	NA	NA	NA	no_direct_gray	genetic_support_evidence_summary.tsv
genetic_support_tier1_slide_summary_v1	no_direct_gene	5	DYNLT1	Excitatory neurons	none_found	1	1	0.02127659574468085	DYNLT1	NA	NA	NA	no_direct_gray	genetic_support_evidence_summary.tsv
genetic_support_tier1_slide_summary_v1	no_direct_gene	6	FTL	OPCs	none_found	1	1	0.02127659574468085	FTL	NA	NA	NA	no_direct_gray	genetic_support_evidence_summary.tsv
genetic_support_tier1_slide_summary_v1	no_direct_gene	7	LAMTOR5	Excitatory neurons + inhibitory neurons	none_found	2	2	0.0425531914893617	LAMTOR5	NA	NA	NA	no_direct_gray	genetic_support_evidence_summary.tsv
genetic_support_tier1_slide_summary_v1	no_direct_gene	8	LAPTM4A	Astrocytes	none_found	1	1	0.02127659574468085	LAPTM4A	NA	NA	NA	no_direct_gray	genetic_support_evidence_summary.tsv
genetic_support_tier1_slide_summary_v1	no_direct_gene	9	NCOA1	OPCs	none_found	1	1	0.02127659574468085	NCOA1	NA	NA	NA	no_direct_gray	genetic_support_evidence_summary.tsv
genetic_support_tier1_slide_summary_v1	no_direct_gene	10	RPL11	Astrocytes, Excitatory neurons, Microglia, Oligodendrocytes	none_found	4	4	0.0851063829787234	RPL11	NA	NA	NA	no_direct_gray	genetic_support_evidence_summary.tsv
genetic_support_tier1_slide_summary_v1	no_direct_gene	11	RPL15	Astrocytes	none_found	1	1	0.02127659574468085	RPL15	NA	NA	NA	no_direct_gray	genetic_support_evidence_summary.tsv
genetic_support_tier1_slide_summary_v1	no_direct_gene	12	RPL38	Inhibitory neurons	none_found	1	1	0.02127659574468085	RPL38	NA	NA	NA	no_direct_gray	genetic_support_evidence_summary.tsv
