schema_version	analysis_universe	included_mito_tiers	panel	method_branch	category	rds_id	cell_type_high_resolution	row_id	row_label	eligible	count	tested_mito_features	percent	donor_label	contrast_id	contrast_name	sex	apoe_group	group_id	terminal_status	donors_ad	donors_nci	status_message	tested_core_mito	tested_mtdna_noncoding	tested_mito_extended	up_degs	down_degs	unchanged	up_core_mito	down_core_mito	up_mtdna_noncoding	down_mtdna_noncoding	up_mito_extended	down_mito_extended	pair_id	pair_label	first_group	second_group	first_contrast_id	second_contrast_id	jointly_tested_mito_features	jointly_tested_core_mito	jointly_tested_mtdna_noncoding	jointly_tested_mito_extended	first_terminal_status	second_terminal_status	deg_rule	annotation_source	phase09_annotated_sha256
mito_related_mast_yu_tiles_v2	all_mito_related	core_mito_protein;mtdna_noncoding;mito_extended	A	mast	upregulated	astrocytes	Ast DPP10	Male__e33	NA	TRUE	7	543	1.28913443830571	27/53	astrocytes::Ast DPP10::AD_vs_NCI__Male__e33	AD_vs_NCI__Male__e33	Male	e33	Male__e33	validated_complete	27	53	NA	486	0	57	7	5	531	7	4	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	phase08_paper_deg	validated_phase09_mitochondrial_tiers	70e4149f6ea38d3eb75c0a97c88ada8a33c71f581612497da560d916fdc47791
mito_related_mast_yu_tiles_v2	all_mito_related	core_mito_protein;mtdna_noncoding;mito_extended	A	mast	upregulated	astrocytes	Ast DPP10	Male__e4	NA	TRUE	39	558	6.98924731182796	27/10	astrocytes::Ast DPP10::AD_vs_NCI__Male__e4	AD_vs_NCI__Male__e4	Male	e4	Male__e4	validated_complete	27	10	NA	497	0	61	39	35	484	33	33	0	0	6	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	phase08_paper_deg	validated_phase09_mitochondrial_tiers	70e4149f6ea38d3eb75c0a97c88ada8a33c71f581612497da560d916fdc47791
mito_related_mast_yu_tiles_v2	all_mito_related	core_mito_protein;mtdna_noncoding;mito_extended	A	mast	upregulated	astrocytes	Ast GRM3	Female__e2	NA	TRUE	77	659	11.6843702579666	8/17	astrocytes::Ast GRM3::AD_vs_NCI__Female__e2	AD_vs_NCI__Female__e2	Female	e2	Female__e2	validated_complete	8	17	NA	596	0	63	77	26	556	69	26	0	0	8	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	phase08_paper_deg	validated_phase09_mitochondrial_tiers	70e4149f6ea38d3eb75c0a97c88ada8a33c71f581612497da560d916fdc47791
mito_related_mast_yu_tiles_v2	all_mito_related	core_mito_protein;mtdna_noncoding;mito_extended	A	mast	upregulated	astrocytes	Ast GRM3	Female__e33	NA	TRUE	7	653	1.07197549770291	37/45	astrocytes::Ast GRM3::AD_vs_NCI__Female__e33	AD_vs_NCI__Female__e33	Female	e33	Female__e33	validated_complete	37	45	NA	588	0	65	7	1	645	6	1	0	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	phase08_paper_deg	validated_phase09_mitochondrial_tiers	70e4149f6ea38d3eb75c0a97c88ada8a33c71f581612497da560d916fdc47791
mito_related_mast_yu_tiles_v2	all_mito_related	core_mito_protein;mtdna_noncoding;mito_extended	A	mast	upregulated	astrocytes	Ast GRM3	Female__e4	NA	TRUE	16	735	2.17687074829932	26/11	astrocytes::Ast GRM3::AD_vs_NCI__Female__e4	AD_vs_NCI__Female__e4	Female	e4	Female__e4	validated_complete	26	11	NA	669	0	66	16	37	682	15	30	0	0	1	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	phase08_paper_deg	validated_phase09_mitochondrial_tiers	70e4149f6ea38d3eb75c0a97c88ada8a33c71f581612497da560d916fdc47791
mito_related_mast_yu_tiles_v2	all_mito_related	core_mito_protein;mtdna_noncoding;mito_extended	A	mast	upregulated	astrocytes	Ast GRM3	Male__e2	NA	TRUE	116	605	19.1735537190083	7/6	astrocytes::Ast GRM3::AD_vs_NCI__Male__e2	AD_vs_NCI__Male__e2	Male	e2	Male__e2	validated_complete	7	6	NA	543	0	62	116	121	368	106	109	0	0	10	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	phase08_paper_deg	validated_phase09_mitochondrial_tiers	70e4149f6ea38d3eb75c0a97c88ada8a33c71f581612497da560d916fdc47791
mito_related_mast_yu_tiles_v2	all_mito_related	core_mito_protein;mtdna_noncoding;mito_extended	A	mast	upregulated	astrocytes	Ast GRM3	Male__e33	NA	TRUE	6	596	1.00671140939597	29/53	astrocytes::Ast GRM3::AD_vs_NCI__Male__e33	AD_vs_NCI__Male__e33	Male	e33	Male__e33	validated_complete	29	53	NA	532	0	64	6	10	580	6	4	0	0	0	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	phase08_paper_deg	validated_phase09_mitochondrial_tiers	70e4149f6ea38d3eb75c0a97c88ada8a33c71f581612497da560d916fdc47791
mito_related_mast_yu_tiles_v2	all_mito_related	core_mito_protein;mtdna_noncoding;mito_extended	A	mast	upregulated	astrocytes	Ast GRM3	Male__e4	NA	TRUE	20	573	3.49040139616056	27/10	astrocytes::Ast GRM3::AD_vs_NCI__Male__e4	AD_vs_NCI__Male__e4	Male	e4	Male__e4	validated_complete	27	10	NA	510	0	63	20	5	548	18	5	0	0	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	phase08_paper_deg	validated_phase09_mitochondrial_tiers	70e4149f6ea38d3eb75c0a97c88ada8a33c71f581612497da560d916fdc47791
mito_related_mast_yu_tiles_v2	all_mito_related	core_mito_protein;mtdna_noncoding;mito_extended	A	mast	upregulated	excitatory_set1	Exc L2-3 CBLN2 LINC02306	Female__e2	NA	TRUE	49	881	5.56186152099887	8/17	excitatory_set1::Exc L2-3 CBLN2 LINC02306::AD_vs_NCI__Female__e2	AD_vs_NCI__Female__e2	Female	e2	Female__e2	validated_complete	8	17	NA	812	0	69	49	17	815	42	17	0	0	7	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	phase08_paper_deg	validated_phase09_mitochondrial_tiers	70e4149f6ea38d3eb75c0a97c88ada8a33c71f581612497da560d916fdc47791
mito_related_mast_yu_tiles_v2	all_mito_related	core_mito_protein;mtdna_noncoding;mito_extended	A	mast	upregulated	excitatory_set1	Exc L2-3 CBLN2 LINC02306	Female__e33	NA	TRUE	14	885	1.5819209039548	37/45	excitatory_set1::Exc L2-3 CBLN2 LINC02306::AD_vs_NCI__Female__e33	AD_vs_NCI__Female__e33	Female	e33	Female__e33	validated_complete	37	45	NA	816	0	69	14	5	866	12	5	0	0	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	phase08_paper_deg	validated_phase09_mitochondrial_tiers	70e4149f6ea38d3eb75c0a97c88ada8a33c71f581612497da560d916fdc47791
