schema_version	check	passed	observed	expected
mito_related_mast_yu_checks_v2	phase09_status_validated	TRUE	validated_complete	validated_complete
mito_related_mast_yu_checks_v2	phase09_checks_pass	TRUE	38	all Phase 09 checks pass
mito_related_mast_yu_checks_v2	phase09_annotated_artifact_valid	TRUE	TRUE	TRUE
mito_related_mast_yu_checks_v2	phase09_annotated_input_unchanged	TRUE	TRUE	TRUE
mito_related_mast_yu_checks_v2	direct_status_grid_54_by_6	TRUE	324	324
mito_related_mast_yu_checks_v2	no_failed_direct_contrasts	TRUE	0	0
mito_related_mast_yu_checks_v2	phase08_paper_deg_rule_reproduced	TRUE	0	0 mismatches
mito_related_mast_yu_checks_v2	selected_mito_tiers_exact	TRUE	core_mito_protein;mito_extended;mtdna_noncoding	core_mito_protein;mtdna_noncoding;mito_extended
mito_related_mast_yu_checks_v2	tested_feature_keys_unique	TRUE	0	0 duplicate keys
mito_related_mast_yu_checks_v2	direct_states_partition_tested_genes	TRUE	321	all eligible direct contrasts partitioned
mito_related_mast_yu_checks_v2	direct_tier_denominators_sum	TRUE	321	all eligible direct tier totals
mito_related_mast_yu_checks_v2	pairwise_intersections_have_denominators	TRUE	1908	all eligible pairwise tiles
mito_related_mast_yu_checks_v2	pairwise_tier_denominators_sum	TRUE	1908	all eligible pairwise tier totals
mito_related_mast_yu_checks_v2	all_panels_present	TRUE	A;B;C;D;E	A;B;C;D;E
mito_related_mast_yu_checks_v2	five_standalone_svgs_exist_nonempty	TRUE	542963;543927;1155986;1108749;1134236	>0 bytes
mito_related_mast_yu_checks_v2	companion_tables_exist_nonempty	TRUE	2	2
