schema_version	broad_network	key_driver	significant_runs	fine_cell_types	primary_runs	secondary_runs	global_calls	minimum_adjusted_p_value	maximum_fold_enrichment
mitochondrial_kda_key_driver_summary_v1	Astrocytes	RPL13	21	3	8	13	19	9.75690031969552e-06	128.57
mitochondrial_kda_key_driver_summary_v1	Astrocytes	PARK7	1	1	1	0	1	0.0463033534830017	578.58
mitochondrial_kda_key_driver_summary_v1	Astrocytes	AGT	1	1	1	0	1	0.0463033534830017	578.58
mitochondrial_kda_key_driver_summary_v1	Astrocytes	VPS28	1	1	1	0	0	0.0463033534830017	578.58
mitochondrial_kda_key_driver_summary_v1	Astrocytes	FKBP8	1	1	1	0	0	0.0463033534830017	578.58
mitochondrial_kda_key_driver_summary_v1	Astrocytes	MT-ND4L	1	1	1	0	0	0.0285056088289118	1157.17
mitochondrial_kda_key_driver_summary_v1	Astrocytes	MT-ND3	12	3	8	4	0	0.00353044395863477	771.44
mitochondrial_kda_key_driver_summary_v1	Astrocytes	MT-ND5	10	3	5	5	0	0.00353044395863477	771.44
mitochondrial_kda_key_driver_summary_v1	Astrocytes	MT-ND1	22	3	11	11	3	4.95119360899929e-06	1206
mitochondrial_kda_key_driver_summary_v1	Astrocytes	MT-ATP6	31	3	14	17	0	1.93350442310065e-09	402
mitochondrial_kda_key_driver_summary_v1	Astrocytes	ZNF516	1	1	1	0	1	0.0356012171005452	289.29
mitochondrial_kda_key_driver_summary_v1	Astrocytes	MT-ND2	3	2	2	1	0	0.025937418501029	257.15
mitochondrial_kda_key_driver_summary_v1	Astrocytes	MT-CO3	31	3	14	17	2	3.15908591764718e-13	268
mitochondrial_kda_key_driver_summary_v1	Astrocytes	MT-ND4	20	3	7	13	2	0.00122525457910685	241.42
mitochondrial_kda_key_driver_summary_v1	Astrocytes	NSMF	1	1	1	0	1	0.0455301643781569	144.65
mitochondrial_kda_key_driver_summary_v1	Astrocytes	PGK1	13	2	6	7	13	0.00119484757226652	121.98
mitochondrial_kda_key_driver_summary_v1	Astrocytes	TSC22D3	2	2	2	0	1	0.0177731058925912	143.44
mitochondrial_kda_key_driver_summary_v1	Astrocytes	CCND3	1	1	1	0	1	0.022121501487502	95.63
mitochondrial_kda_key_driver_summary_v1	Astrocytes	P4HA1	3	2	2	1	0	0.015539176928193	95.63
mitochondrial_kda_key_driver_summary_v1	Astrocytes	MT-CO2	38	3	15	23	38	9.04920201192261e-17	315.53
mitochondrial_kda_key_driver_summary_v1	Astrocytes	ACSS3	1	1	1	0	0	0.0262096601303725	495.58
mitochondrial_kda_key_driver_summary_v1	Astrocytes	GPT2	1	1	1	0	0	0.0262096601303725	495.58
mitochondrial_kda_key_driver_summary_v1	Astrocytes	ACADVL	1	1	1	0	0	0.0262096601303725	495.58
mitochondrial_kda_key_driver_summary_v1	Astrocytes	DMPK	1	1	1	0	0	0.0262096601303725	495.58
mitochondrial_kda_key_driver_summary_v1	Astrocytes	ZC2HC1A	1	1	1	0	0	0.0262096601303725	330.39
mitochondrial_kda_key_driver_summary_v1	Astrocytes	AKAP10	8	3	3	5	1	0.000646374462575717	533.43
mitochondrial_kda_key_driver_summary_v1	Astrocytes	SPACA6	1	1	1	0	0	0.0299413038628354	247.79
mitochondrial_kda_key_driver_summary_v1	Astrocytes	MYO9A	7	2	3	4	5	0.00161305141585529	266.71
mitochondrial_kda_key_driver_summary_v1	Astrocytes	KCNA2	1	1	1	0	1	0.0321902932851252	141.6
mitochondrial_kda_key_driver_summary_v1	Astrocytes	RFTN2	1	1	1	0	1	0.0321902932851252	123.9
mitochondrial_kda_key_driver_summary_v1	Astrocytes	ADCY2	1	1	1	0	1	0.0321902932851252	123.9
mitochondrial_kda_key_driver_summary_v1	Astrocytes	PACS2	1	1	1	0	0	0.0321902932851252	123.9
mitochondrial_kda_key_driver_summary_v1	Astrocytes	CDK5RAP3	1	1	1	0	0	0.0321902932851252	123.9
mitochondrial_kda_key_driver_summary_v1	Astrocytes	QTRT1	2	2	2	0	0	0.0130083786882465	110.13
mitochondrial_kda_key_driver_summary_v1	Astrocytes	PFDN5	2	2	2	0	2	0.01746538081482	99.12
mitochondrial_kda_key_driver_summary_v1	Astrocytes	KLHL22	1	1	1	0	1	0.0488957905904847	66.08
mitochondrial_kda_key_driver_summary_v1	Astrocytes	PRTFDC1	1	1	1	0	1	0.0254055153337288	93.49
mitochondrial_kda_key_driver_summary_v1	Astrocytes	RPL11	13	2	6	7	0	1.68875124903799e-07	33.52
mitochondrial_kda_key_driver_summary_v1	Astrocytes	RPS25	3	2	3	0	3	0.0160980846209663	250.67
mitochondrial_kda_key_driver_summary_v1	Astrocytes	APOE	20	3	7	13	7	5.76187009681321e-05	46.74
mitochondrial_kda_key_driver_summary_v1	Astrocytes	RPLP1	13	2	6	7	11	8.94533977719569e-06	27.48
mitochondrial_kda_key_driver_summary_v1	Astrocytes	TUFM	3	2	2	1	0	0.0160980846209663	87.03
mitochondrial_kda_key_driver_summary_v1	Astrocytes	LAPTM4A	11	3	4	7	10	3.45798131935154e-05	34.55
mitochondrial_kda_key_driver_summary_v1	Astrocytes	MTCH1	1	1	0	1	0	0.0165294025316923	105.52
mitochondrial_kda_key_driver_summary_v1	Astrocytes	DDRGK1	1	1	0	1	0	0.0281627307998808	70.35
