schema_version	kda_run_id	analysis_tier	fine_cell_type	broad_network	signature_group	source_groups	source_contrast_ids	source_terminal_statuses	signature_direction	candidate_query_genes	effective_query_genes	exact_tested_genes	induced_network_edges	effective_background_genes	eligibility_status	terminal_status	significant_key_drivers	elapsed_seconds	message
mitochondrial_kda_run_manifest_v1	primary_Ast_CHI3L1_F_e2_AD_up_mito	primary	Ast CHI3L1	Astrocytes	F_e2	F_e2	astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e2	validated_complete	AD_up_mito	7	6	8295	7384	6943	eligible	completed_significant	5	0.364000000000004	
mitochondrial_kda_run_manifest_v1	primary_Ast_CHI3L1_F_e2_AD_down_mito	primary	Ast CHI3L1	Astrocytes	F_e2	F_e2	astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e2	validated_complete	AD_down_mito	3	3	8295	7384	6943	eligible	completed_significant	10	0.241999999999997	
mitochondrial_kda_run_manifest_v1	primary_Ast_CHI3L1_F_e2_AD_both_mito	primary	Ast CHI3L1	Astrocytes	F_e2	F_e2	astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e2	validated_complete	AD_both_mito	10	9	8295	7384	6943	eligible	completed_significant	1	0.485999999999997	
mitochondrial_kda_run_manifest_v1	primary_Ast_CHI3L1_F_e33_AD_up_mito	primary	Ast CHI3L1	Astrocytes	F_e33	F_e33	astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e33	validated_complete	AD_up_mito	33	25	8461	7627	7172	eligible	completed_significant	4	1.249	
mitochondrial_kda_run_manifest_v1	primary_Ast_CHI3L1_F_e33_AD_down_mito	primary	Ast CHI3L1	Astrocytes	F_e33	F_e33	astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e33	validated_complete	AD_down_mito	25	20	8461	7627	7172	eligible	completed_no_significant	0	0.701000000000001	
mitochondrial_kda_run_manifest_v1	primary_Ast_CHI3L1_F_e33_AD_both_mito	primary	Ast CHI3L1	Astrocytes	F_e33	F_e33	astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e33	validated_complete	AD_both_mito	58	45	8461	7627	7172	eligible	completed_significant	1	1.954	
mitochondrial_kda_run_manifest_v1	primary_Ast_CHI3L1_F_e4_AD_up_mito	primary	Ast CHI3L1	Astrocytes	F_e4	F_e4	astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e4	validated_complete	AD_up_mito	36	34	8444	7544	7096	eligible	completed_no_significant	0	1.283	
mitochondrial_kda_run_manifest_v1	primary_Ast_CHI3L1_F_e4_AD_down_mito	primary	Ast CHI3L1	Astrocytes	F_e4	F_e4	astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e4	validated_complete	AD_down_mito	53	46	8444	7544	7096	eligible	completed_significant	5	1.42399999999999	
mitochondrial_kda_run_manifest_v1	primary_Ast_CHI3L1_F_e4_AD_both_mito	primary	Ast CHI3L1	Astrocytes	F_e4	F_e4	astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e4	validated_complete	AD_both_mito	89	80	8444	7544	7096	eligible	completed_significant	3	2.271	
mitochondrial_kda_run_manifest_v1	primary_Ast_CHI3L1_M_e2_AD_up_mito	primary	Ast CHI3L1	Astrocytes	M_e2	M_e2	astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e2	validated_complete	AD_up_mito	11	10	6839	6301	5947	eligible	completed_no_significant	0	0.438000000000002	
mitochondrial_kda_run_manifest_v1	primary_Ast_CHI3L1_M_e2_AD_down_mito	primary	Ast CHI3L1	Astrocytes	M_e2	M_e2	astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e2	validated_complete	AD_down_mito	7	6	6839	6301	5947	eligible	completed_significant	16	0.134	
