schema_version	kda_run_id	analysis_tier	fine_cell_type	broad_network	signature_group	signature_direction	key_driver	best_layer	overlap_count	neighborhood_size	non_neighborhood_size	signature_size	fold_enrichment	log_p_value	adjusted_p_value	is_signature	is_root_node	global_key_driver	overlap_items
mitochondrial_kda_results_v1	primary_Ast_CHI3L1_F_e2_AD_up_mito	primary	Ast CHI3L1	Astrocytes	F_e2	AD_up_mito	RPL13	2	2	18	6925	6	128.57	-9.26535012689229	0.0126827772625451	TRUE	FALSE	TRUE	RPL13;FKBP8
mitochondrial_kda_results_v1	primary_Ast_CHI3L1_F_e2_AD_up_mito	primary	Ast CHI3L1	Astrocytes	F_e2	AD_up_mito	PARK7	1	1	2	6941	6	578.58	-6.36094277859116	0.0463033534830017	TRUE	FALSE	TRUE	PARK7
mitochondrial_kda_results_v1	primary_Ast_CHI3L1_F_e2_AD_up_mito	primary	Ast CHI3L1	Astrocytes	F_e2	AD_up_mito	AGT	1	1	2	6941	6	578.58	-6.36094277859116	0.0463033534830017	TRUE	FALSE	TRUE	AGT
mitochondrial_kda_results_v1	primary_Ast_CHI3L1_F_e2_AD_up_mito	primary	Ast CHI3L1	Astrocytes	F_e2	AD_up_mito	VPS28	1	1	2	6941	6	578.58	-6.36094277859116	0.0463033534830017	FALSE	FALSE	FALSE	FKBP8
mitochondrial_kda_results_v1	primary_Ast_CHI3L1_F_e2_AD_up_mito	primary	Ast CHI3L1	Astrocytes	F_e2	AD_up_mito	FKBP8	1	1	2	6941	6	578.58	-6.36094277859116	0.0463033534830017	TRUE	FALSE	FALSE	FKBP8
mitochondrial_kda_results_v1	primary_Ast_CHI3L1_F_e2_AD_down_mito	primary	Ast CHI3L1	Astrocytes	F_e2	AD_down_mito	MT-ND4L	1	1	2	6941	3	1157.17	-7.05387382860748	0.0285056088289118	TRUE	FALSE	FALSE	MT-ND4L
mitochondrial_kda_results_v1	primary_Ast_CHI3L1_F_e2_AD_down_mito	primary	Ast CHI3L1	Astrocytes	F_e2	AD_down_mito	MT-ND3	1	1	3	6940	3	771.44	-6.6485527884983	0.0285056088289118	FALSE	FALSE	FALSE	MT-ND4L
mitochondrial_kda_results_v1	primary_Ast_CHI3L1_F_e2_AD_down_mito	primary	Ast CHI3L1	Astrocytes	F_e2	AD_down_mito	MT-ND5	1	1	3	6940	3	771.44	-6.6485527884983	0.0285056088289118	FALSE	FALSE	FALSE	MT-ND4L
mitochondrial_kda_results_v1	primary_Ast_CHI3L1_F_e2_AD_down_mito	primary	Ast CHI3L1	Astrocytes	F_e2	AD_down_mito	MT-ND1	2	1	4	6939	3	578.58	-6.3610147909624	0.0285056088289118	FALSE	FALSE	FALSE	MT-ND4L
mitochondrial_kda_results_v1	primary_Ast_CHI3L1_F_e2_AD_down_mito	primary	Ast CHI3L1	Astrocytes	F_e2	AD_down_mito	MT-ATP6	2	1	6	6937	3	385.72	-5.95583785343658	0.0341968746413848	FALSE	FALSE	FALSE	MT-ND4L
mitochondrial_kda_results_v1	primary_Ast_CHI3L1_F_e2_AD_down_mito	primary	Ast CHI3L1	Astrocytes	F_e2	AD_down_mito	ZNF516	1	1	8	6935	3	289.29	-5.66844397923459	0.0356012171005452	FALSE	FALSE	TRUE	ABCB10
mitochondrial_kda_results_v1	primary_Ast_CHI3L1_F_e2_AD_down_mito	primary	Ast CHI3L1	Astrocytes	F_e2	AD_down_mito	MT-ND2	1	1	9	6934	3	257.15	-5.55080505307841	0.0356012171005452	FALSE	FALSE	FALSE	MT-ND4L
