schema_version	case_id	atlas_display_order	current_symbol	network_order	broad_network	network_label	network_color	circle_displayed	within_case_rank	evidence_tier	eligible_run_count	usable_run_count	coverage_fraction	conservative_support_count	aggregate_acat_p	aggregate_acat_q	negative_log10_aggregate_acat_q	capped_negative_log10_aggregate_acat_q	stability_assessable_repetitions	stability_nominal_fraction	stability_q_fraction	stability_candidate_fraction	stability_worst_rank	stability_assessable	is_core_mito	extended_reference_member
phase18_mt_evidence_atlas_v2_gene_network_details_v1	mt_driver	4	MT-ATP6	7	Vasculature_cells	Vasculature	#D55E00	TRUE	3	tier_not_assessable	1	1	1.0	1	3.254775739587875e-07	0.0003999034458706969	3.398044853640468	3.398044853640468	0	NA	NA	NA	NA	FALSE	TRUE	TRUE
phase18_mt_evidence_atlas_v2_gene_network_details_v1	mt_driver	5	COX4I1	1	Astrocytes	Astrocytes	#009E73	TRUE	5	tier2_localized_or_unstable	21	21	1.0	2	3.7721949708478125e-06	0.0031287662858203425	2.5046268767929094	2.5046268767929094	3	0.6666666666666666	0.6666666666666666	0.6666666666666666	5.0	TRUE	TRUE	FALSE
phase18_mt_evidence_atlas_v2_gene_network_details_v1	mt_driver	5	COX4I1	2	Excitatory_neurons	Excitatory neurons	#E69F00	TRUE	3	tier1_recurrent_stable	97	97	1.0	19	7.179509480568631e-12	1.5236713995136778e-08	7.8171086844173265	7.8171086844173265	14	1.0	1.0	1.0	3.0	TRUE	TRUE	FALSE
phase18_mt_evidence_atlas_v2_gene_network_details_v1	mt_driver	5	COX4I1	3	Inhibitory_neurons	Inhibitory neurons	#0072B2	FALSE	11	tier1_recurrent_stable	28	26	0.9285714285714286	2	4.045594937929284e-05	0.020777019716936823	1.6824167480836503	1.6824167480836503	12	1.0	0.9166666666666666	0.9166666666666666	11.0	TRUE	TRUE	FALSE
phase18_mt_evidence_atlas_v2_gene_network_details_v1	mt_driver	6	COX7C	1	Astrocytes	Astrocytes	#009E73	TRUE	4	tier2_localized_or_unstable	21	21	1.0	2	4.4258502523388936e-07	0.0005139297313015923	3.2890962572579587	3.2890962572579587	3	0.6666666666666666	0.6666666666666666	0.6666666666666666	4.0	TRUE	TRUE	FALSE
phase18_mt_evidence_atlas_v2_gene_network_details_v1	mt_driver	6	COX7C	2	Excitatory_neurons	Excitatory neurons	#E69F00	FALSE	6	tier1_recurrent_stable	97	97	1.0	17	2.149985484559209e-08	2.027914086491458e-05	4.692950448033492	4.692950448033492	14	1.0	1.0	1.0	8.0	TRUE	TRUE	FALSE
phase18_mt_evidence_atlas_v2_gene_network_details_v1	mt_driver	6	COX7C	3	Inhibitory_neurons	Inhibitory neurons	#0072B2	TRUE	5	tier1_recurrent_stable	28	28	1.0	6	4.338803513629411e-09	6.239199452599093e-06	5.20487113076992	5.20487113076992	12	1.0	1.0	1.0	7.0	TRUE	TRUE	FALSE
phase18_mt_evidence_atlas_v2_gene_network_details_v1	mt_driver	7	MT-CYB	2	Excitatory_neurons	Excitatory neurons	#E69F00	TRUE	5	tier1_recurrent_stable	97	97	1.0	29	1.4507606558602559e-08	1.539438400949714e-05	4.812637684261824	4.812637684261824	14	1.0	1.0	1.0	5.0	TRUE	TRUE	FALSE
phase18_mt_evidence_atlas_v2_gene_network_details_v1	mt_driver	7	MT-CYB	3	Inhibitory_neurons	Inhibitory neurons	#0072B2	TRUE	3	tier1_recurrent_stable	28	28	1.0	8	2.873816592349334e-11	6.887580432997238e-08	7.161933316430119	7.161933316430119	12	1.0	1.0	1.0	3.0	TRUE	TRUE	FALSE
phase18_mt_evidence_atlas_v2_gene_network_details_v1	mt_driver	8	COX6B1	2	Excitatory_neurons	Excitatory neurons	#E69F00	TRUE	4	tier1_recurrent_stable	97	97	1.0	23	3.5096060985169647e-10	5.958609234062103e-07	6.224855094698579	6.224855094698579	14	1.0	1.0	1.0	4.0	TRUE	TRUE	FALSE
phase18_mt_evidence_atlas_v2_gene_network_details_v1	mt_driver	9	UQCR10	2	Excitatory_neurons	Excitatory neurons	#E69F00	TRUE	2	tier1_recurrent_stable	97	97	1.0	23	6.50694993955256e-14	2.761874901843084e-10	9.558795996528438	9.558795996528438	14	1.0	1.0	1.0	4.0	TRUE	TRUE	FALSE
phase18_mt_evidence_atlas_v2_gene_network_details_v1	mt_driver	10	MT-ND5	3	Inhibitory_neurons	Inhibitory neurons	#0072B2	TRUE	4	tier1_recurrent_stable	28	28	1.0	8	1.4975022127202945e-09	2.6917602273647295e-06	5.569963628166533	5.569963628166533	12	1.0	1.0	1.0	4.0	TRUE	TRUE	FALSE
