schema_version	figure_id	case_id	atlas_display_order	current_symbol	network_order	broad_network	network_label	network_color	tile_status	passing_context	circle_displayed	within_case_rank	aggregate_acat_q	negative_log10_aggregate_acat_q	capped_negative_log10_aggregate_acat_q	extended_reference_member
phase18_mt_evidence_atlas_v2_plot_data_v1	phase18_evidence_atlas_mt	mt_driver	4	MT-ATP6	4	Microglia	Microglia	#CC79A7	no_passing_context	FALSE	FALSE	NA	NA	NA	NA	TRUE
phase18_mt_evidence_atlas_v2_plot_data_v1	phase18_evidence_atlas_mt	mt_driver	4	MT-ATP6	5	OPCs	OPCs	#56B4E9	no_passing_context	FALSE	FALSE	NA	NA	NA	NA	TRUE
phase18_mt_evidence_atlas_v2_plot_data_v1	phase18_evidence_atlas_mt	mt_driver	4	MT-ATP6	6	Oligodendrocytes	Oligodendrocytes	#F0E442	no_passing_context	FALSE	FALSE	NA	NA	NA	NA	TRUE
phase18_mt_evidence_atlas_v2_plot_data_v1	phase18_evidence_atlas_mt	mt_driver	4	MT-ATP6	7	Vasculature_cells	Vasculature	#D55E00	circle_displayed	TRUE	TRUE	3	0.0003999034458706969	3.398044853640468	3.398044853640468	TRUE
phase18_mt_evidence_atlas_v2_plot_data_v1	phase18_evidence_atlas_mt	mt_driver	5	COX4I1	1	Astrocytes	Astrocytes	#009E73	circle_displayed	TRUE	TRUE	5	0.0031287662858203425	2.5046268767929094	2.5046268767929094	FALSE
phase18_mt_evidence_atlas_v2_plot_data_v1	phase18_evidence_atlas_mt	mt_driver	5	COX4I1	2	Excitatory_neurons	Excitatory neurons	#E69F00	circle_displayed	TRUE	TRUE	3	1.5236713995136778e-08	7.8171086844173265	7.8171086844173265	FALSE
phase18_mt_evidence_atlas_v2_plot_data_v1	phase18_evidence_atlas_mt	mt_driver	5	COX4I1	3	Inhibitory_neurons	Inhibitory neurons	#0072B2	passing_not_circle_displayed	TRUE	FALSE	11	0.020777019716936823	1.6824167480836503	1.6824167480836503	FALSE
phase18_mt_evidence_atlas_v2_plot_data_v1	phase18_evidence_atlas_mt	mt_driver	5	COX4I1	4	Microglia	Microglia	#CC79A7	no_passing_context	FALSE	FALSE	NA	NA	NA	NA	FALSE
phase18_mt_evidence_atlas_v2_plot_data_v1	phase18_evidence_atlas_mt	mt_driver	5	COX4I1	5	OPCs	OPCs	#56B4E9	no_passing_context	FALSE	FALSE	NA	NA	NA	NA	FALSE
phase18_mt_evidence_atlas_v2_plot_data_v1	phase18_evidence_atlas_mt	mt_driver	5	COX4I1	6	Oligodendrocytes	Oligodendrocytes	#F0E442	no_passing_context	FALSE	FALSE	NA	NA	NA	NA	FALSE
phase18_mt_evidence_atlas_v2_plot_data_v1	phase18_evidence_atlas_mt	mt_driver	5	COX4I1	7	Vasculature_cells	Vasculature	#D55E00	no_passing_context	FALSE	FALSE	NA	NA	NA	NA	FALSE
phase18_mt_evidence_atlas_v2_plot_data_v1	phase18_evidence_atlas_mt	mt_driver	6	COX7C	1	Astrocytes	Astrocytes	#009E73	circle_displayed	TRUE	TRUE	4	0.0005139297313015923	3.2890962572579587	3.2890962572579587	FALSE
phase18_mt_evidence_atlas_v2_plot_data_v1	phase18_evidence_atlas_mt	mt_driver	6	COX7C	2	Excitatory_neurons	Excitatory neurons	#E69F00	passing_not_circle_displayed	TRUE	FALSE	6	2.027914086491458e-05	4.692950448033492	4.692950448033492	FALSE
phase18_mt_evidence_atlas_v2_plot_data_v1	phase18_evidence_atlas_mt	mt_driver	6	COX7C	3	Inhibitory_neurons	Inhibitory neurons	#0072B2	circle_displayed	TRUE	TRUE	5	6.239199452599093e-06	5.20487113076992	5.20487113076992	FALSE
phase18_mt_evidence_atlas_v2_plot_data_v1	phase18_evidence_atlas_mt	mt_driver	6	COX7C	4	Microglia	Microglia	#CC79A7	no_passing_context	FALSE	FALSE	NA	NA	NA	NA	FALSE
phase18_mt_evidence_atlas_v2_plot_data_v1	phase18_evidence_atlas_mt	mt_driver	6	COX7C	5	OPCs	OPCs	#56B4E9	no_passing_context	FALSE	FALSE	NA	NA	NA	NA	FALSE
