metric	value	source_file	derivation
fine_cell_types	54	kda_status.tsv	stored
broad_networks	9	kda_status.tsv	stored
primary_planned_runs	972	kda_run_manifest.tsv	count analysis_tier
secondary_planned_runs	810	kda_run_manifest.tsv	count analysis_tier
planned_runs	1782	kda_status.tsv	stored
eligible_runs	1021	kda_status.tsv	stored
skipped_runs	761	kda_status.tsv	stored
failed_runs	0	kda_status.tsv	stored
significant_runs	840	kda_status.tsv	stored
no_significant_runs	181	kda_run_manifest.tsv	count terminal_status
significant_driver_rows	10172	kda_status.tsv	stored
validation_checks_passed	11	kda_checks.tsv	count passed
