node_order	source_symbol
0	LINC00115
1	FAM41C
2	SAMD11
3	KLHL17
4	HES4
5	ISG15
6	AGRN
7	B3GALT6
8	C1QTNF12
9	LINC01786
10	SCNN1D
11	ACAP3
12	PUSL1
13	CPTP
14	DVL1
15	MXRA8
16	AURKAIP1
17	MRPL20-AS1
18	ANKRD65
19	VWA1
20	ATAD3C
21	ATAD3B
22	TMEM240
23	FNDC10
24	MMP23B
25	CDK11A
26	SLC35E2A
27	NADK
28	CFAP74
29	GABRD
30	PRKCZ
31	FAAP20
32	SKI
33	PEX10
34	PLCH2
35	PANK4
36	HES5
37	TNFRSF14
38	PRXL2B
39	MMEL1
40	TTC34
41	PRDM16-DT
42	ARHGEF16
43	MEGF6
44	TPRG1L
45	C1orf174
46	LINC01134
47	AJAP1
48	CHD5
49	RPL22
50	RNF207
51	ACOT7
52	TNFRSF25
53	PLEKHG5
54	TAS1R1
55	KLHL21
56	THAP3
57	CAMTA1-DT
58	AL512330.1
59	VAMP3
60	RERE-AS1
61	ENO1
62	SLC2A5
63	GPR157
64	MIR34AHG
65	LNCTAM34A
66	SPSB1
67	LINC02606
68	SLC25A33
69	TMEM201
70	PIK3CD
71	PGD
72	CORT
73	CASZ1
74	MASP2
75	ANGPTL7
76	DISP3
77	FBXO2
78	FBXO44
79	MAD2L2
80	DRAXIN
81	AGTRAP
82	PLOD1
83	MIIP
84	TNFRSF1B
85	DHRS3
86	PDPN
87	KAZN
88	KAZN-AS1
89	TMEM51-AS1
90	TMEM51
91	C1orf195
92	FHAD1
93	EFHD2
94	CELA2B
95	AGMAT
96	SLC25A34
97	FBLIM1
98	UQCRHL
99	FAM131C
100	EPHA2
101	ARHGEF19
102	CPLANE2
103	SPATA21
104	LINC01772
105	NBPF1
106	CROCC
107	PADI2
108	RCC2
109	ARHGEF10L
110	IGSF21
111	IFFO2
112	AKR7A3
113	MICOS10
114	TMCO4
115	PLA2G5
116	UBXN10
117	VWA5B1
118	LINC01141
119	CAMK2N1
120	MUL1
121	FAM43B
122	PINK1-AS
123	KIF17
124	SH2D5
125	HP1BP3
126	ECE1
127	ALPL
128	RAP1GAP
129	HSPG2
130	LINC00339
131	CDC42-AS1
132	CDC42-IT1
133	ZBTB40
134	C1QB
135	EPHB2
136	TEX46
137	LINC01355
138	ZNF436
139	ZNF436-AS1
140	TCEA3
141	ASAP3
142	ID3
143	MDS2
144	RPL11
145	LYPLA2
146	CNR2
147	PNRC2
148	IFNLR1
149	GRHL3
150	STPG1
151	NIPAL3
152	RCAN3
153	CLIC4
154	RHD
155	RHCE
156	LDLRAP1
157	MAN1C1
158	SELENON
159	AUNIP
160	PAQR7
161	STMN1
162	EXTL1
163	PDIK1L
164	FAM110D
165	ZNF593
166	CNKSR1
167	SH3BGRL3
168	UBXN11
169	HMGN2
170	RPS6KA1
171	PIGV
172	ZDHHC18
173	SFN
174	GPATCH3
175	TRNP1
176	SYTL1
177	MAP3K6
178	GPR3
179	AHDC1
180	IFI6
181	XKR8
182	PTAFR
183	ATP5IF1
184	SESN2
185	MED18
186	RCC1
187	SNHG3
188	SNHG12
189	LINC01715
190	OPRD1
191	EPB41
192	PTPRU
193	SDC3
194	NKAIN1
195	FABP3
196	SERINC2
197	COL16A1
198	ADGRB2
199	SPOCD1
200	CCDC28B
201	IQCC
202	DCDC2B
203	EIF3I
204	MARCKSL1
205	TSSK3
206	FAM229A
207	ZBTB8B
208	KIAA1522
209	YARS
210	FNDC5
211	HPCA
212	TMEM54
213	RNF19B
214	PHC2
215	ZSCAN20
216	CSMD2
217	DLGAP3
218	TMEM35B
219	ZMYM4-AS1
220	NCDN
221	TFAP2E
222	C1orf216
223	CLSPN
224	SH3D21
225	EVA1B
226	STK40
227	LSM10
228	MRPS15
229	CSF3R
230	GRIK3
231	LINC01137
232	ZC3H12A
233	DNALI1
234	CDCA8
235	EPHA10
236	MANEAL
237	YRDC
238	C1orf122
239	FHL3
240	POU3F1
241	MIR3659HG
242	LINC02786
243	RRAGC
244	MYCBP
245	GJA9
246	RHBDL2
247	NDUFS5
248	MACF1
249	BMP8A
250	PABPC4
251	HEYL
252	NT5C1A
253	HPCAL4
254	PPIE
255	MFSD2A
256	COL9A2
257	ZFP69B
258	ZFP69
259	EXO5
260	RIMS3
261	NFYC-AS1
262	KCNQ4
263	CITED4
264	CTPS1
265	SLFNL1-AS1
266	SLFNL1
267	FOXO6
268	RIMKLA
269	ZMYND12
270	TMEM269
271	SVBP
272	SLC2A1
273	SLC2A1-AS1
274	EBNA1BP2
275	CFAP57
276	ELOVL1
277	MED8
278	HYI
279	HYI-AS1
280	KDM4A-AS1
281	AL357079.1
282	DPH2
283	ATP6V0B
284	B4GALT2
285	SLC6A9
286	RNF220
287	ARMH1
288	KIF2C
289	RPS8
290	PLK3
291	BTBD19
292	PTCH2
293	HECTD3
294	HPDL
295	TOE1
296	TESK2
297	CCDC163
298	PRDX1
299	CCDC17
300	MAST2
301	PIK3R3
302	LURAP1
303	RAD54L
304	MKNK1-AS1
305	MOB3C
306	EFCAB14-AS1
307	CYP4X1
308	CYP4Z1
309	CYP4A22-AS1
310	STIL
311	LINC01389
312	SLC5A9
313	AGBL4
314	BEND5
315	ELAVL4
316	CDKN2C
317	C1orf185
318	LINC01562
319	TTC39A
320	RAB3B
321	SHISAL2A
322	COA7
323	ZYG11A
324	PODN
325	LRP8
326	LINC01771
327	GLIS1
328	DIO1
329	CYB5RL
330	ACOT11
331	FAM151A
332	MROH7
333	PARS2
334	TTC22
335	DHCR24
336	MIR4422HG
337	PLPP3
338	PRKAA2
339	FYB2
340	DAB1
341	JUN
342	LINC01135
343	LINC02777
344	LINC01358
345	FGGY
346	HOOK1
347	CYP2J2
348	C1orf87
349	LINC02778
350	LINC01748
351	NFIA-AS2
352	NFIA-AS1
353	KANK4
354	ANGPTL3
355	ATG4C
356	LINC01739
