feature_index	source_symbol	ensembl_id	mapping_status	gencode_mapping_method	eligible_donors_detected	unique_count_values	expression_filter_pass	annotation_filter_pass	network_filter_pass	residual_variance	selected_network_gene	exclusion_reason	discretization_pass	discretization_exclusion_reason	center_low	center_middle	center_high	final_node_order
6761	LINC00971	ENSG00000242641	phase18_exact	phase18	17	10	TRUE	TRUE	TRUE	0.991370535183975	TRUE		TRUE		-1.06687580382964	0.188958051972604	1.68170406838888	1928
6765	CADM2-AS2	ENSG00000241648	phase18_exact	phase18	75	52	TRUE	TRUE	TRUE	1.94930401443744	TRUE		TRUE		-3.86460242886535	-0.571281852004251	0.954382831511676	1929
6766	CADM2-AS1	ENSG00000239519	phase18_exact	phase18	76	53	TRUE	TRUE	TRUE	1.71699045247593	TRUE		TRUE		-3.12397883803648	-0.526734728131104	1.00485374358939	1930
6775	CGGBP1	ENSG00000163320	phase18_exact	phase18	78	70	TRUE	TRUE	TRUE	0.197181620978317	TRUE		TRUE		-0.524145657195199	0.101641008547818	0.60813253076943	1931
6778	CSNKA2IP	ENSG00000283434	phase18_exact	phase18	70	28	TRUE	TRUE	TRUE	1.6344293713164	TRUE		TRUE		-2.26490832536712	-0.0472918526635496	1.51284957553068	1932
6779	EPHA3	ENSG00000044524	phase18_exact	phase18	77	30	TRUE	TRUE	TRUE	0.682922875710399	TRUE		TRUE		-4.33006084084737	-0.595792174409695	0.472421831343366	1933
6781	PROS1	ENSG00000184500	phase18_exact	phase18	78	62	TRUE	TRUE	TRUE	0.579345834030392	TRUE		TRUE		-0.938033153627144	0.0544573003449037	0.976381195151043	1934
6783	STX19	ENSG00000178750	phase18_exact	phase18	70	40	TRUE	TRUE	TRUE	1.83708734244037	TRUE		TRUE		-2.50343060435639	-0.519742297608555	1.11206262890349	1935
6784	DHFR2	ENSG00000178700	phase18_exact	phase18	77	38	TRUE	TRUE	TRUE	0.570132902274939	TRUE		TRUE		-2.89973958666012	-0.421314380557054	0.479146859815716	1936
6790	EPHA6	ENSG00000080224	phase18_exact	phase18	78	72	TRUE	TRUE	TRUE	0.302802835234218	TRUE		TRUE		-0.784783236170453	0.0271683694466854	0.581666189858525	1937
6792	ARL6	ENSG00000113966	phase18_exact	phase18	77	68	TRUE	TRUE	TRUE	0.572874222148928	TRUE		TRUE		-5.5875950021091	-0.193372300955382	0.446542142034416	1938
6794	CRYBG3	ENSG00000080200	phase18_exact	phase18	78	47	TRUE	TRUE	TRUE	0.241473999447247	TRUE		TRUE		-0.652993238897825	0.0163228325179685	0.521037019681066	1939
6816	ST3GAL6-AS1	ENSG00000239445	phase18_exact	phase18	78	61	TRUE	TRUE	TRUE	0.374844042376988	TRUE		TRUE		-1.15065415285069	-0.277556160009911	0.498950745683249	1940
6824	COL8A1	ENSG00000144810	phase18_exact	phase18	75	56	TRUE	TRUE	TRUE	1.6320764391954	TRUE		TRUE		-2.79873527784123	-0.388652950230415	1.08589412512109	1941
6827	FILIP1L	ENSG00000168386	phase18_exact	phase18	78	71	TRUE	TRUE	TRUE	1.27594776681986	TRUE		TRUE		-1.71535344933688	-0.181535823936737	1.18897344616586	1942
6830	NIT2	ENSG00000114021	phase18_exact	phase18	78	52	TRUE	TRUE	TRUE	0.214023549431791	TRUE		TRUE		-0.743414118946824	-0.0362178351486839	0.472811729442168	1943
6832	LNP1	ENSG00000206535	phase18_exact	phase18	78	49	TRUE	TRUE	TRUE	0.197672443254322	TRUE		TRUE		-2.12879281197812	-0.188033406803467	0.405086776619573	1944
6833	TMEM45A	ENSG00000181458	phase18_exact	phase18	78	58	TRUE	TRUE	TRUE	0.331418195796987	TRUE		TRUE		-1.96327726524703	-0.282827446220864	0.362455655262609	1945
6836	ABI3BP	ENSG00000154175	phase18_exact	phase18	69	29	TRUE	TRUE	TRUE	2.06161476049797	TRUE		TRUE		-3.35681136824382	-0.468422736424292	1.1081243153488	1946
6837	IMPG2	ENSG00000081148	phase18_exact	phase18	77	48	TRUE	TRUE	TRUE	1.04342729817129	TRUE		TRUE		-2.20709782766846	-0.358307891268837	0.746814948562695	1947
