schema_version	check_id	severity	observed	expected	passed
phase20_broad_non_mt_figure_checks_v1	source_status_validated	error	validated_complete	validated_complete	TRUE
phase20_broad_non_mt_figure_checks_v1	source_failed_checks_zero	error	0	0	TRUE
phase20_broad_non_mt_figure_checks_v1	source_direct_no_acat_contract	error	direct_broad_kda_no_acat|none	direct_broad_kda_no_acat|none	TRUE
phase20_broad_non_mt_figure_checks_v1	source_registered_hashes_match	error	4	4	TRUE
phase20_broad_non_mt_figure_checks_v1	top5_rows	error	7	7	TRUE
phase20_broad_non_mt_figure_checks_v1	top5_units_unique	error	7	7	TRUE
phase20_broad_non_mt_figure_checks_v1	top5_source_subset_parity	error	7	7	TRUE
phase20_broad_non_mt_figure_checks_v1	top5_run_counts	error	broad__relaxed__Astrocytes__F_e4__AD_down_mito=2;broad__relaxed__OPCs__F_e4__AD_down_mito=5	broad__relaxed__Astrocytes__F_e4__AD_down_mito=2;broad__relaxed__OPCs__F_e4__AD_down_mito=5	TRUE
phase20_broad_non_mt_figure_checks_v1	top5_rank_sets	error	1,2|1,2,3,4,5	1,2|1,2,3,4,5	TRUE
phase20_broad_non_mt_figure_checks_v1	top5_display_flags	error	7	7	TRUE
phase20_broad_non_mt_figure_checks_v1	top5_strict_rows	error	7	7	TRUE
phase20_broad_non_mt_figure_checks_v1	top5_gate_failures	error	0	0	TRUE
phase20_broad_non_mt_figure_checks_v1	top5_plot_aggregation_fields	error	0	0	TRUE
phase20_broad_non_mt_figure_checks_v1	core_artifacts_exist	error	6	6	TRUE
phase20_broad_non_mt_figure_checks_v1	core_artifacts_nonempty	error	6	6	TRUE
phase20_broad_non_mt_figure_checks_v1	png_dimensions	error	2700x1350	2700x1350	TRUE
phase20_broad_non_mt_figure_checks_v1	png_resolution_dpi	error	300.0x300.0	300x300 (±1)	TRUE
phase20_broad_non_mt_figure_checks_v1	pdf_signature	error	%PDF	%PDF	TRUE
phase20_broad_non_mt_figure_checks_v1	svg_root	error	<svg	<svg	TRUE
