schema_version	context_id	module_id	stratum_order	stratum_id	estimate	robust_se	ci_low	ci_high	p_value	model_status	failure_reason	context_order	module_order	stratum_order_display	context_label	module_label	display_estimate	display_clipped	panel_id	display_limit
phase13_stratum_effects_plot_v1	astrocytes	mtdna_oxphos_13	1	Female__e2	-0.0454949684853466	0.541591542606936	-1.11201734182997	1.02102740485927	0.933119949608108	estimated		1	1	1	Astrocytes	mtDNA OXPHOS	-0.0454949684853466	FALSE	module_1	1.5
phase13_stratum_effects_plot_v1	astrocytes	mtdna_oxphos_13	2	Female__e33	0.416919091969734	0.218597484967685	-0.0135512720110079	0.847389455950477	0.0576036234271077	estimated		1	1	2	Astrocytes	mtDNA OXPHOS	0.416919091969734	FALSE	module_1	1.5
phase13_stratum_effects_plot_v1	astrocytes	mtdna_oxphos_13	3	Female__e4	-0.00914571707612521	0.34657645334187	-0.691637064308617	0.673345630156367	0.978967751328425	estimated		1	1	3	Astrocytes	mtDNA OXPHOS	-0.00914571707612521	FALSE	module_1	1.5
phase13_stratum_effects_plot_v1	astrocytes	mtdna_oxphos_13	4	Male__e2	-0.671920923675943	0.749928598514491	-2.14870843936865	0.804866592016764	0.371101966160139	estimated		1	1	4	Astrocytes	mtDNA OXPHOS	-0.671920923675943	FALSE	module_1	1.5
phase13_stratum_effects_plot_v1	astrocytes	mtdna_oxphos_13	5	Male__e33	0.332803904030932	0.279828707726174	-0.218245279746065	0.883853087807929	0.235414188732034	estimated		1	1	5	Astrocytes	mtDNA OXPHOS	0.332803904030932	FALSE	module_1	1.5
phase13_stratum_effects_plot_v1	astrocytes	mtdna_oxphos_13	6	Male__e4	0.365213691244969	0.406753027534053	-0.435779622281657	1.16620700477159	0.370092155370619	estimated		1	1	6	Astrocytes	mtDNA OXPHOS	0.365213691244969	FALSE	module_1	1.5
phase13_stratum_effects_plot_v1	excitatory_neurons	mtdna_oxphos_13	1	Female__e2	0.241643817933644	0.339538840296249	-0.426952299799818	0.910239935667107	0.477299517173784	estimated		2	1	1	Excitatory neurons	mtDNA OXPHOS	0.241643817933644	FALSE	module_1	1.5
phase13_stratum_effects_plot_v1	excitatory_neurons	mtdna_oxphos_13	2	Female__e33	0.607100449344175	0.212608197846091	0.188447268005102	1.02575363068325	0.00464378376158902	estimated		2	1	2	Excitatory neurons	mtDNA OXPHOS	0.607100449344175	FALSE	module_1	1.5
phase13_stratum_effects_plot_v1	excitatory_neurons	mtdna_oxphos_13	3	Female__e4	0.0518377067507132	0.307201793417032	-0.553082561752819	0.656757975254245	0.866131132586284	estimated		2	1	3	Excitatory neurons	mtDNA OXPHOS	0.0518377067507132	FALSE	module_1	1.5
phase13_stratum_effects_plot_v1	excitatory_neurons	mtdna_oxphos_13	4	Male__e2	-0.474067714378038	0.731132054963123	-1.9137617802243	0.965626351468226	0.517297011540822	estimated		2	1	4	Excitatory neurons	mtDNA OXPHOS	-0.474067714378038	FALSE	module_1	1.5
