kda_run_id	broad_network	background_genes	explicit_candidates	implicit_zero_overlap_candidates	published_significant_candidates	published_result_reconciliation
primary_Ast_CHI3L1_F_e2_AD_up_mito	Astrocytes	6943	134	6809	5	TRUE
primary_Ast_CHI3L1_F_e2_AD_down_mito	Astrocytes	6943	66	6877	10	TRUE
primary_Ast_CHI3L1_F_e33_AD_up_mito	Astrocytes	7172	510	6662	4	TRUE
primary_Ast_CHI3L1_F_e33_AD_down_mito	Astrocytes	7172	297	6875	0	TRUE
primary_Ast_CHI3L1_F_e4_AD_up_mito	Astrocytes	7096	551	6545	0	TRUE
primary_Ast_CHI3L1_F_e4_AD_down_mito	Astrocytes	7096	586	6510	5	TRUE
primary_Ast_CHI3L1_M_e2_AD_up_mito	Astrocytes	5947	199	5748	0	TRUE
primary_Ast_CHI3L1_M_e2_AD_down_mito	Astrocytes	5947	52	5895	16	TRUE
primary_Ast_CHI3L1_M_e33_AD_up_mito	Astrocytes	7152	268	6884	2	TRUE
primary_Ast_CHI3L1_M_e33_AD_down_mito	Astrocytes	7152	180	6972	0	TRUE
primary_Ast_CHI3L1_M_e4_AD_up_mito	Astrocytes	6266	263	6003	3	TRUE
primary_Ast_CHI3L1_M_e4_AD_down_mito	Astrocytes	6266	421	5845	5	TRUE
primary_Ast_DPP10_F_e2_AD_up_mito	Astrocytes	5601	168	5433	0	TRUE
primary_Ast_DPP10_F_e2_AD_down_mito	Astrocytes	5601	161	5440	4	TRUE
primary_Ast_DPP10_F_e33_AD_up_mito	Astrocytes	5882	201	5681	0	TRUE
primary_Ast_DPP10_F_e33_AD_down_mito	Astrocytes	5882	76	5806	0	TRUE
primary_Ast_DPP10_F_e4_AD_up_mito	Astrocytes	6099	232	5867	0	TRUE
primary_Ast_DPP10_F_e4_AD_down_mito	Astrocytes	6099	227	5872	7	TRUE
primary_Ast_DPP10_M_e2_AD_up_mito	Astrocytes	5562	648	4914	0	TRUE
primary_Ast_DPP10_M_e2_AD_down_mito	Astrocytes	5562	285	5277	9	TRUE
primary_Ast_DPP10_M_e33_AD_up_mito	Astrocytes	5774	61	5713	9	TRUE
primary_Ast_DPP10_M_e4_AD_up_mito	Astrocytes	5979	363	5616	11	TRUE
primary_Ast_DPP10_M_e4_AD_down_mito	Astrocytes	5979	355	5624	0	TRUE
primary_Ast_GRM3_F_e2_AD_up_mito	Astrocytes	6593	513	6080	10	TRUE
primary_Ast_GRM3_F_e2_AD_down_mito	Astrocytes	6593	365	6228	0	TRUE
primary_Ast_GRM3_F_e33_AD_up_mito	Astrocytes	6492	251	6241	4	TRUE
primary_Ast_GRM3_F_e4_AD_up_mito	Astrocytes	7150	191	6959	3	TRUE
primary_Ast_GRM3_F_e4_AD_down_mito	Astrocytes	7150	311	6839	0	TRUE
primary_Ast_GRM3_M_e2_AD_up_mito	Astrocytes	6117	907	5210	0	TRUE
primary_Ast_GRM3_M_e2_AD_down_mito	Astrocytes	6117	599	5518	24	TRUE
primary_Ast_GRM3_M_e33_AD_up_mito	Astrocytes	6030	18	6012	7	TRUE
primary_Ast_GRM3_M_e33_AD_down_mito	Astrocytes	6030	43	5987	7	TRUE
primary_Ast_GRM3_M_e4_AD_up_mito	Astrocytes	6016	318	5698	0	TRUE
primary_Ast_GRM3_M_e4_AD_down_mito	Astrocytes	6016	47	5969	6	TRUE
primary_End_F_e4_AD_up_mito	Vasculature_cells	3995	8	3987	4	TRUE
primary_End_F_e4_AD_down_mito	Vasculature_cells	3995	28	3967	5	TRUE
primary_End_M_e2_AD_down_mito	Vasculature_cells	3686	67	3619	6	TRUE
primary_End_M_e33_AD_up_mito	Vasculature_cells	3838	10	3828	6	TRUE
primary_Exc_L2_3_CBLN2_LINC02306_F_e2_AD_up_mito	Excitatory_neurons	8912	587	8325	14	TRUE
