schema_version	figure_id	case_id	atlas_display_order	current_symbol	network_order	broad_network	network_label	network_color	context_display_order	circle_displayed	circle_display_rank	within_case_rank	evidence_tier	extended_reference_member	eligible_run_count	usable_run_count	conservative_support_count	coverage_fraction	recurrence_fraction	aggregate_acat_p	aggregate_acat_q	negative_log10_aggregate_acat_q
phase18_case3_sex_apoe_v1_row_annotations_v1	phase18_case3_sex_apoe	case3_not_core_mito	1	RPL11	1	Astrocytes	Astrocytes	#009E73	1	TRUE	1	1	tier1_recurrent_stable	FALSE	21	20	3	0.95238095238095233	0.14999999999999999	1.7776559635829543e-08	2.20464892603558e-05	4.6566605588603878
phase18_case3_sex_apoe_v1_row_annotations_v1	phase18_case3_sex_apoe	case3_not_core_mito	1	RPL11	2	Excitatory_neurons	Excitatory neurons	#E69F00	2	TRUE	1	1	tier1_recurrent_stable	FALSE	97	97	20	1	0.20618556701030927	6.5033221877467929e-13	2.0062748949198854e-09	8.6976095612620163
phase18_case3_sex_apoe_v1_row_annotations_v1	phase18_case3_sex_apoe	case3_not_core_mito	1	RPL11	4	Microglia	Microglia	#CC79A7	3	TRUE	1	1	tier2_localized_or_unstable	FALSE	6	6	1	1	0.16666666666666666	8.0398259661827127e-06	0.010891284242188848	1.9629209075342224
phase18_case3_sex_apoe_v1_row_annotations_v1	phase18_case3_sex_apoe	case3_not_core_mito	1	RPL11	6	Oligodendrocytes	Oligodendrocytes	#F0E442	4	TRUE	1	1	tier_not_assessable	FALSE	2	2	1	1	0.5	1.8158810685601265e-05	0.028297479985061973	1.5482522385856847
phase18_case3_sex_apoe_v1_row_annotations_v1	phase18_case3_sex_apoe	case3_not_core_mito	2	RPS15	2	Excitatory_neurons	Excitatory neurons	#E69F00	5	FALSE	NA	20	tier1_recurrent_stable	FALSE	97	97	10	1	0.10309278350515463	0.00014284412022942872	0.029378274060519176	1.5319737220927416
phase18_case3_sex_apoe_v1_row_annotations_v1	phase18_case3_sex_apoe	case3_not_core_mito	2	RPS15	3	Inhibitory_neurons	Inhibitory neurons	#0072B2	6	TRUE	1	1	tier1_recurrent_stable	FALSE	28	28	11	1	0.39285714285714285	1.285122422488673e-06	0.0011009215419319632	2.9582436302745085
phase18_case3_sex_apoe_v1_row_annotations_v1	phase18_case3_sex_apoe	case3_not_core_mito	2	RPS15	5	OPCs	OPCs	#56B4E9	7	TRUE	1	1	tier_not_assessable	FALSE	6	6	2	1	0.33333333333333331	5.8642521834998907e-16	4.0692045901305744e-12	11.390490474282601
phase18_case3_sex_apoe_v1_row_annotations_v1	phase18_case3_sex_apoe	case3_not_core_mito	3	LAMTOR5	2	Excitatory_neurons	Excitatory neurons	#E69F00	8	TRUE	4	4	tier1_recurrent_stable	FALSE	97	93	12	0.95876288659793818	0.12903225806451613	4.0829878269799868e-06	0.0021942274200684965	2.6587183621021042
phase18_case3_sex_apoe_v1_row_annotations_v1	phase18_case3_sex_apoe	case3_not_core_mito	3	LAMTOR5	3	Inhibitory_neurons	Inhibitory neurons	#0072B2	9	TRUE	2	2	tier1_recurrent_stable	FALSE	28	26	5	0.9285714285714286	0.19230769230769232	5.1814660661398949e-06	0.0036317366699944171	2.4398856488388247
phase18_case3_sex_apoe_v1_row_annotations_v1	phase18_case3_sex_apoe	case3_not_core_mito	4	RPLP1	1	Astrocytes	Astrocytes	#009E73	10	TRUE	2	2	tier1_recurrent_stable	FALSE	21	21	3	1	0.14285714285714285	2.4594995685497456e-06	0.0019064196030721217	2.7197815049344287
