schema_version	check_id	severity	observed	expected	passed	notes
phase18_case3_sex_apoe_v1_checks_v1	production_status	error	validated_complete	validated_complete	TRUE	
phase18_case3_sex_apoe_v1_checks_v1	production_checks	error	12	12	TRUE	
phase18_case3_sex_apoe_v1_checks_v1	source_artifact_verification	error	11	11	TRUE	Recorded hashes and byte counts were verified by the shared preflight.
phase18_case3_sex_apoe_v1_checks_v1	case3_exact_rule	error	is_mitocarta3_FALSE	is_mitocarta3_FALSE	TRUE	
phase18_case3_sex_apoe_v1_checks_v1	circle_gene_count	error	15	15	TRUE	
phase18_case3_sex_apoe_v1_checks_v1	circle_gene_identity	error	ANKRD11|APOE|ATP6V1F|DYNLT1|FTL|LAMTOR5|LAPTM4A|NCOA1|RPL11|RPL15|RPL38|RPLP1|RPS13|RPS15|SELENOW	ANKRD11|APOE|ATP6V1F|DYNLT1|FTL|LAMTOR5|LAPTM4A|NCOA1|RPL11|RPL15|RPL38|RPLP1|RPS13|RPS15|SELENOW	TRUE	
phase18_case3_sex_apoe_v1_checks_v1	circle_display_context_count	error	21	21	TRUE	
phase18_case3_sex_apoe_v1_checks_v1	passing_context_count	error	22	22	TRUE	
phase18_case3_sex_apoe_v1_checks_v1	below_cap_context	error	[('Excitatory_neurons', 'RPS15')]	[('Excitatory_neurons', 'RPS15')]	TRUE	
phase18_case3_sex_apoe_v1_checks_v1	case3_noncore_rows	error	22	22	TRUE	
phase18_case3_sex_apoe_v1_checks_v1	row_annotation_count	error	22	22	TRUE	
phase18_case3_sex_apoe_v1_checks_v1	row_annotation_keys	error	22	22	TRUE	
phase18_case3_sex_apoe_v1_checks_v1	heatmap_grid_count	error	264	264	TRUE	
phase18_case3_sex_apoe_v1_checks_v1	heatmap_grid_keys	error	264	264	TRUE	
phase18_case3_sex_apoe_v1_checks_v1	primary_group_order	error	F_e2|F_e33|F_e4|M_e2|M_e33|M_e4	F_e2|F_e33|F_e4|M_e2|M_e33|M_e4	TRUE	
phase18_case3_sex_apoe_v1_checks_v1	direction_order	error	AD_up_mito|AD_down_mito	AD_up_mito|AD_down_mito	TRUE	
phase18_case3_sex_apoe_v1_checks_v1	included_primary_runs	error	161	161	TRUE	
phase18_case3_sex_apoe_v1_checks_v1	candidate_support_key_reconciliation	error	834 audited|859 candidate tests	conservative audit is a subset; omitted rows are absent_from_background	TRUE	
phase18_case3_sex_apoe_v1_checks_v1	support_le_usable	error	all	all	TRUE	
phase18_case3_sex_apoe_v1_checks_v1	usable_le_eligible	error	all	all	TRUE	
phase18_case3_sex_apoe_v1_checks_v1	supporting_run_id_reconciliation	error	127	127	TRUE	
phase18_case3_sex_apoe_v1_checks_v1	network_aggregate_acat_reconciliation	error	22	22	TRUE	Each context was recombined from underlying usable final_raw_p values with canonical acat_combine.
phase18_case3_sex_apoe_v1_checks_v1	acat_reference_example	error	3.0434210707142029e-11	<= 5e-10	TRUE	
phase18_case3_sex_apoe_v1_checks_v1	no_usable_acat_missing	error	all	all	TRUE	
phase18_case3_sex_apoe_v1_checks_v1	all_one_acat	error	all	all-one usable vectors yield ACAT P = 1	TRUE	
phase18_case3_sex_apoe_v1_checks_v1	visual_state_integrity	error	264	264	TRUE	
phase18_case3_sex_apoe_v1_checks_v1	supporting_state_count	error	58	>= 0	TRUE	
phase18_case3_sex_apoe_v1_checks_v1	tested_zero_state_count	error	150	>= 0	TRUE	
phase18_case3_sex_apoe_v1_checks_v1	eligible_unusable_state_count	error	0	>= 0	TRUE	
phase18_case3_sex_apoe_v1_checks_v1	no_eligible_state_count	error	56	>= 0	TRUE	
phase18_case3_sex_apoe_v1_checks_v1	single_evidence_cap	error	8	8	TRUE	
phase18_case3_sex_apoe_v1_checks_v1	stratum_p_not_q	error	P fields	P fields	TRUE	
phase18_case3_sex_apoe_v1_checks_v1	audit_nonempty	error	859	> 0	TRUE	
phase18_case3_sex_apoe_v1_checks_v1	svg_vector_content	error	vector SVG	vector SVG	TRUE	
phase18_case3_sex_apoe_v1_checks_v1	pdf_header	error	%PDF-	%PDF-	TRUE	
phase18_case3_sex_apoe_v1_checks_v1	png_dimensions	error	6750x4950	6750x4950	TRUE	
phase18_case3_sex_apoe_v1_checks_v1	png_dpi_metadata	error	449.986|449.986	450|450	TRUE	
phase18_case3_sex_apoe_v1_checks_v1	publication_formats	error	SVG|PDF|PNG	SVG|PDF|PNG	TRUE	
phase18_case3_sex_apoe_v1_checks_v1	minimum_text_size	error	7 pt	>= 7 pt	TRUE	Renderer constants enforce the final-size minimum.
phase18_case3_sex_apoe_v1_checks_v1	colorblind_safe_palette	error	cividis|Okabe-Ito	colorblind-safe palettes	TRUE	
phase18_case3_sex_apoe_v1_checks_v1	grayscale_redundancy	error	shapes|outlines|direct labels	non-color encodings	TRUE	
phase18_case3_sex_apoe_v1_checks_v1	distinct_q_track	error	neutral points on separate axis	separate from stratum P fill	TRUE	
phase18_case3_sex_apoe_v1_checks_v1	dot_area_scaling	error	diameter ∝ sqrt(support fraction)	area ∝ support fraction	TRUE	
phase18_case3_sex_apoe_v1_checks_v1	visual_review_complete	warning	complete	complete	TRUE	Operator review at final size in color, grayscale, deuteranopia, protanopia, and tritanopia.
