schema_version	figure_id	case_id	atlas_display_order	current_symbol	network_order	broad_network	network_label	network_color	context_display_order	circle_displayed	within_case_rank	signature_direction	direction_label	direction_order	signature_group	group_label	group_order	column_order	eligible_query_count	usable_query_count	missing_query_count	coverage_fraction	conservative_support_count	support_fraction	stratum_acat_p	stratum_missing_as_one_acat_p	negative_log10_stratum_acat_p	capped_negative_log10_stratum_acat_p	cell_state
phase18_case3_sex_apoe_v1_plot_data_v1	phase18_case3_sex_apoe	case3_not_core_mito	1	RPL11	1	Astrocytes	Astrocytes	#009E73	1	TRUE	1	AD_up_mito	AD-up mitochondrial query	1	F_e2	APOE ε2	1	1	1	1	0	1	1	1	1.3928312928079105e-08	1.3928312928079105e-08	7.8561014844660191	7.8561014844660191	supporting_tested
phase18_case3_sex_apoe_v1_plot_data_v1	phase18_case3_sex_apoe	case3_not_core_mito	1	RPL11	1	Astrocytes	Astrocytes	#009E73	1	TRUE	1	AD_up_mito	AD-up mitochondrial query	1	F_e33	APOE ε3/ε3	2	2	1	1	0	1	0	0	0.070800518422476685	0.070800518422476685	1.149963562265081	1.149963562265081	tested_zero_support
phase18_case3_sex_apoe_v1_plot_data_v1	phase18_case3_sex_apoe	case3_not_core_mito	1	RPL11	1	Astrocytes	Astrocytes	#009E73	1	TRUE	1	AD_up_mito	AD-up mitochondrial query	1	F_e4	APOE ε4	3	3	2	2	0	1	0	0	0.47670102349656424	0.47670102349656424	0.32175391562396932	0.32175391562396932	tested_zero_support
phase18_case3_sex_apoe_v1_plot_data_v1	phase18_case3_sex_apoe	case3_not_core_mito	1	RPL11	1	Astrocytes	Astrocytes	#009E73	1	TRUE	1	AD_up_mito	AD-up mitochondrial query	1	M_e2	APOE ε2	4	4	3	2	1	0.66666666666666663	0	0	1	1	-0	-0	tested_zero_support
phase18_case3_sex_apoe_v1_plot_data_v1	phase18_case3_sex_apoe	case3_not_core_mito	1	RPL11	1	Astrocytes	Astrocytes	#009E73	1	TRUE	1	AD_up_mito	AD-up mitochondrial query	1	M_e33	APOE ε3/ε3	5	5	1	1	0	1	0	0	1	1	-0	-0	tested_zero_support
phase18_case3_sex_apoe_v1_plot_data_v1	phase18_case3_sex_apoe	case3_not_core_mito	1	RPL11	1	Astrocytes	Astrocytes	#009E73	1	TRUE	1	AD_up_mito	AD-up mitochondrial query	1	M_e4	APOE ε4	6	6	3	3	0	1	0	0	1	1	-0	-0	tested_zero_support
phase18_case3_sex_apoe_v1_plot_data_v1	phase18_case3_sex_apoe	case3_not_core_mito	1	RPL11	1	Astrocytes	Astrocytes	#009E73	1	TRUE	1	AD_down_mito	AD-down mitochondrial query	2	F_e2	APOE ε2	1	7	1	1	0	1	0	0	0.067600621981422582	0.067600621981422582	1.1700493081729055	1.1700493081729055	tested_zero_support
phase18_case3_sex_apoe_v1_plot_data_v1	phase18_case3_sex_apoe	case3_not_core_mito	1	RPL11	1	Astrocytes	Astrocytes	#009E73	1	TRUE	1	AD_down_mito	AD-down mitochondrial query	2	F_e33	APOE ε3/ε3	2	8	1	1	0	1	0	0	1	1	-0	-0	tested_zero_support
phase18_case3_sex_apoe_v1_plot_data_v1	phase18_case3_sex_apoe	case3_not_core_mito	1	RPL11	1	Astrocytes	Astrocytes	#009E73	1	TRUE	1	AD_down_mito	AD-down mitochondrial query	2	F_e4	APOE ε4	3	9	3	3	0	1	0	0	0.084908572810857633	0.084908572810857633	1.0710484589139915	1.0710484589139915	tested_zero_support
phase18_case3_sex_apoe_v1_plot_data_v1	phase18_case3_sex_apoe	case3_not_core_mito	1	RPL11	1	Astrocytes	Astrocytes	#009E73	1	TRUE	1	AD_down_mito	AD-down mitochondrial query	2	M_e2	APOE ε2	4	10	2	2	0	1	1	0.5	1.8988448833547748e-09	1.8988448833547748e-09	8.7215105113317417	8	supporting_tested
