schema_version	analysis_tier	broad_network	fine_cell_type	planned_runs	eligible_runs	skipped_runs	failed_runs	significant_runs	no_significant_runs	candidate_query_genes	effective_query_genes	significant_key_drivers	elapsed_seconds
mitochondrial_kda_qc_summary_v1	primary	Astrocytes	Ast CHI3L1	18	18	0	0	13	5	538	472	65	16.123
mitochondrial_kda_qc_summary_v1	secondary	Astrocytes	Ast CHI3L1	15	15	0	0	9	6	996	830	34	21.697
mitochondrial_kda_qc_summary_v1	primary	Astrocytes	Ast DPP10	18	17	1	0	9	8	482	430	63	12.165
mitochondrial_kda_qc_summary_v1	secondary	Astrocytes	Ast DPP10	15	15	0	0	11	4	895	748	88	17.373
mitochondrial_kda_qc_summary_v1	primary	Astrocytes	Ast GRM3	18	17	1	0	12	5	798	682	104	15.6019999999999
mitochondrial_kda_qc_summary_v1	secondary	Astrocytes	Ast GRM3	15	15	0	0	10	5	1482	1157	119	22.671
mitochondrial_kda_qc_summary_v1	primary	CAMs	CAMs	18	0	18	0	0	0	0	0	0	0
mitochondrial_kda_qc_summary_v1	secondary	CAMs	CAMs	15	0	15	0	0	0	0	0	0	0
mitochondrial_kda_qc_summary_v1	primary	Vasculature_cells	End	18	7	11	0	7	0	78	74	43	0.558999999999998
mitochondrial_kda_qc_summary_v1	secondary	Vasculature_cells	End	15	14	1	0	14	0	149	137	92	1.22399999999996
mitochondrial_kda_qc_summary_v1	primary	Excitatory_neurons	Exc L2-3 CBLN2 LINC02306	18	15	3	0	13	2	1212	1108	305	35.2200000000001
mitochondrial_kda_qc_summary_v1	secondary	Excitatory_neurons	Exc L2-3 CBLN2 LINC02306	15	15	0	0	14	1	2299	1990	432	57.47
mitochondrial_kda_qc_summary_v1	primary	Excitatory_neurons	Exc L3-4 RORB CUX2	18	16	2	0	14	2	1000	808	310	31.309
mitochondrial_kda_qc_summary_v1	secondary	Excitatory_neurons	Exc L3-4 RORB CUX2	15	15	0	0	15	0	1834	1468	458	51.7470000000001
mitochondrial_kda_qc_summary_v1	primary	Excitatory_neurons	Exc L3-5 RORB PLCH1	18	16	2	0	14	2	964	850	224	35.175
mitochondrial_kda_qc_summary_v1	secondary	Excitatory_neurons	Exc L3-5 RORB PLCH1	15	15	0	0	15	0	1805	1568	338	57.4740000000001
mitochondrial_kda_qc_summary_v1	primary	Excitatory_neurons	Exc L4-5 RORB GABRG1	18	15	3	0	15	0	862	756	222	27.616
mitochondrial_kda_qc_summary_v1	secondary	Excitatory_neurons	Exc L4-5 RORB GABRG1	15	15	0	0	15	0	1624	1363	342	43.9249999999999
mitochondrial_kda_qc_summary_v1	primary	Excitatory_neurons	Exc L4-5 RORB IL1RAPL2	18	15	3	0	15	0	960	804	263	33.1909999999999
mitochondrial_kda_qc_summary_v1	secondary	Excitatory_neurons	Exc L4-5 RORB IL1RAPL2	15	15	0	0	15	0	1734	1433	369	53.8690000000002
mitochondrial_kda_qc_summary_v1	primary	Excitatory_neurons	Exc L5 ET	18	9	9	0	4	5	446	388	40	17.4859999999998
mitochondrial_kda_qc_summary_v1	secondary	Excitatory_neurons	Exc L5 ET	15	12	3	0	6	6	882	762	50	33.5439999999999
mitochondrial_kda_qc_summary_v1	primary	Excitatory_neurons	Exc L5-6 RORB LINC02196	18	17	1	0	13	4	524	450	171	25.7910000000004
mitochondrial_kda_qc_summary_v1	secondary	Excitatory_neurons	Exc L5-6 RORB LINC02196	15	15	0	0	13	2	973	831	217	42.4810000000001
