schema_version	kda_run_id	gene	effective_member	exclusion_reason
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e2_AD_up_mito	AGT	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e2_AD_up_mito	ARG2	FALSE	not_in_effective_background
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e2_AD_up_mito	FKBP8	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e2_AD_up_mito	FTH1	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e2_AD_up_mito	MGST1	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e2_AD_up_mito	PARK7	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e2_AD_up_mito	RPL13	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e2_AD_down_mito	ABCB10	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e2_AD_down_mito	APC2	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e2_AD_down_mito	MT-ND4L	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e2_AD_both_mito	ABCB10	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e2_AD_both_mito	AGT	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e2_AD_both_mito	APC2	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e2_AD_both_mito	ARG2	FALSE	not_in_effective_background
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e2_AD_both_mito	FKBP8	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e2_AD_both_mito	FTH1	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e2_AD_both_mito	MGST1	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e2_AD_both_mito	MT-ND4L	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e2_AD_both_mito	PARK7	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e2_AD_both_mito	RPL13	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_up_mito	AIFM3	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_up_mito	AK4	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_up_mito	ALDH18A1	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_up_mito	ANTKMT	FALSE	not_in_effective_background
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_up_mito	APEX1	FALSE	not_in_effective_background
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_up_mito	ASPNAT	FALSE	not_in_effective_background
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_up_mito	BNIP3	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_up_mito	BNIP3L	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_up_mito	COASY	FALSE	not_in_effective_background
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_up_mito	CYC1	FALSE	not_in_effective_background
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_up_mito	DCXR	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_up_mito	ECH1	FALSE	not_in_effective_background
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_up_mito	FAM162A	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_up_mito	FASN	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_up_mito	GCAT	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_up_mito	HAP1	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_up_mito	HES1	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_up_mito	LDHD	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_up_mito	LONP1	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_up_mito	MIEF1	FALSE	not_in_effective_background
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_up_mito	MRPS6	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_up_mito	MT-CO1	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_up_mito	MT-ND2	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_up_mito	MT-ND3	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_up_mito	NARS2	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_up_mito	PDK1	FALSE	not_in_effective_background
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_up_mito	PDK3	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_up_mito	PDK4	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_up_mito	PSAP	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_up_mito	SLC25A48	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_up_mito	TUFM	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_up_mito	UNG	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_up_mito	VDAC1	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_down_mito	AASS	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_down_mito	ATP5F1C	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_down_mito	ATPSCKMT	FALSE	not_in_effective_background
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_down_mito	COX19	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_down_mito	CRY1	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_down_mito	DAP3	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_down_mito	DLST	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_down_mito	FAS	FALSE	not_in_effective_background
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_down_mito	FTH1	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_down_mito	GATB	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_down_mito	IDI1	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_down_mito	MALSU1	TRUE	
