schema_version	check_id	observed	expected	passed
phase19b_sex_apoe_kda_combo_v2_checks	evidence_rows	228	228	True
phase19b_sex_apoe_kda_combo_v2_checks	workbook_available	loaded: data/reference/phase19_genetic_support/source_downloads/unified_AD_loci_xQTL_summary.xlsx	loaded	True
phase19b_sex_apoe_kda_combo_v2_checks	apoe_positive_control	strong	strong	True
phase19b_sex_apoe_kda_combo_v2_checks	grades_assigned	228	228	True
