check	passed	observed
supporting_run_count	True	2
selected_threshold	True	1/2
threshold_2_hit_loss	True	4
node_count	True	23
edge_count	True	23
query_hit_count	True	10
all_direct_incoming	True	1
all_direct_outgoing	True	15
pathway_representative_count	True	3
selected_pathways_fdr_below_0_05	True	0.007220025084031458
pathway_membership_rows	True	18
png_dimensions	True	2385x1464
png_nonempty	True	305660
pdf_nonempty	True	9198
svg_nonempty	True	116333
cytoscape_session_nonempty	True	35022
cytoscape_style_nonempty	True	11908
