schema_version	network	gene	included_reason	directed_depth_from_cox7c	upstream_depth_to_cox7c	is_direct_incoming_neighbor	is_direct_outgoing_neighbor	supporting_neighborhood_occurrence_count	supporting_neighborhood_occurrence_fraction	query_hit_occurrence_count	query_hit_occurrence_fraction	query_hit_display_threshold_count	query_hit_display_threshold_fraction	is_query_hit_meeting_display_threshold	driver_was_self_excluded_from_query_overlap	is_core_mitocarta	hgnc_name	phase08_deg_class	phase08_up_count	phase08_down_count	in_degree_full	out_degree_full	in_degree_display	out_degree_display
phase18_cox7c_astrocyte_consensus_v1	Astrocytes	ATP5F1E	all_direct_outgoing|query_hit_meeting_display_threshold	1.0		False	True	2	1.0	1	0.5	1	0.5	True	False	True	ATP synthase F1 subunit epsilon	down_only	0	1	1	7	1	2
phase18_cox7c_astrocyte_consensus_v1	Astrocytes	ATP5ME	query_hit_meeting_display_threshold	2.0		False	False	2	1.0	2	1.0	1	0.5	True	False	True	ATP synthase membrane subunit e	mixed	1	1	1	0	1	0
phase18_cox7c_astrocyte_consensus_v1	Astrocytes	ATP5PD	all_direct_outgoing	1.0		False	True	0	0.0	0	0.0	1	0.5	False	False	True	ATP synthase peripheral stalk subunit d	not_deg	0	0	1	0	1	0
phase18_cox7c_astrocyte_consensus_v1	Astrocytes	ATP5PF	all_direct_outgoing|query_hit_meeting_display_threshold	1.0		False	True	2	1.0	2	1.0	1	0.5	True	False	True	ATP synthase peripheral stalk subunit F6	mixed	2	1	1	13	1	0
phase18_cox7c_astrocyte_consensus_v1	Astrocytes	C8orf59	all_direct_outgoing	1.0		False	True	0	0.0	0	0.0	1	0.5	False	False	False		up_only	1	0	1	2	1	0
phase18_cox7c_astrocyte_consensus_v1	Astrocytes	CCM2	all_direct_outgoing	1.0		False	True	2	1.0	0	0.0	1	0.5	False	False	False	CCM2 scaffold protein	down_only	0	1	1	0	1	0
phase18_cox7c_astrocyte_consensus_v1	Astrocytes	COMMD6	all_direct_outgoing	1.0		False	True	0	0.0	0	0.0	1	0.5	False	False	False	COMM domain containing 6	down_only	0	1	1	0	1	0
phase18_cox7c_astrocyte_consensus_v1	Astrocytes	COPS9	all_direct_outgoing	1.0		False	True	2	1.0	0	0.0	1	0.5	False	False	False	COP9 signalosome subunit 9	down_only	0	2	1	1	1	0
phase18_cox7c_astrocyte_consensus_v1	Astrocytes	COX5B	query_hit_meeting_display_threshold	2.0		False	False	1	0.5	1	0.5	1	0.5	True	False	True	cytochrome c oxidase subunit 5B	mixed	1	1	2	4	1	0
phase18_cox7c_astrocyte_consensus_v1	Astrocytes	COX6C	query_hit_meeting_display_threshold	2.0		False	False	2	1.0	1	0.5	1	0.5	True	False	True	cytochrome c oxidase subunit 6C	down_only	0	1	1	0	1	0
phase18_cox7c_astrocyte_consensus_v1	Astrocytes	COX7C	driver	0.0		False	False	2	1.0	0	0.0	1	0.5	False	True	True	cytochrome c oxidase subunit 7C	mixed	1	2	1	15	1	15
phase18_cox7c_astrocyte_consensus_v1	Astrocytes	DYNLL1	all_direct_outgoing	1.0		False	True	2	1.0	0	0.0	1	0.5	False	False	False	dynein light chain LC8-type 1	down_only	0	2	1	1	1	1
phase18_cox7c_astrocyte_consensus_v1	Astrocytes	LAMTOR5	all_direct_outgoing	1.0		False	True	1	0.5	0	0.0	1	0.5	False	False	False	late endosomal/lysosomal adaptor, MAPK and MTOR activator 5	not_deg	0	0	1	7	1	1
phase18_cox7c_astrocyte_consensus_v1	Astrocytes	NDUFB4	all_direct_outgoing|query_hit_meeting_display_threshold	1.0		False	True	2	1.0	2	1.0	1	0.5	True	False	True	NADH:ubiquinone oxidoreductase subunit B4	mixed	1	2	1	3	1	0
phase18_cox7c_astrocyte_consensus_v1	Astrocytes	RPL11	upstream_context|all_direct_incoming		1.0	True	False	0	0.0	0	0.0	1	0.5	False	False	False	ribosomal protein L11	mixed	1	1	1	3	1	1
phase18_cox7c_astrocyte_consensus_v1	Astrocytes	RPL27	all_direct_outgoing	1.0		False	True	0	0.0	0	0.0	1	0.5	False	False	False	ribosomal protein L27	not_deg	0	0	2	4	2	0
phase18_cox7c_astrocyte_consensus_v1	Astrocytes	RPL35A	all_direct_outgoing	1.0		False	True	1	0.5	0	0.0	1	0.5	False	False	False	ribosomal protein L35a	mixed	1	2	2	0	1	0
phase18_cox7c_astrocyte_consensus_v1	Astrocytes	RPLP1	upstream_context		2.0	False	False	0	0.0	0	0.0	1	0.5	False	False	False	ribosomal protein lateral stalk subunit P1	mixed	2	2	1	8	0	2
phase18_cox7c_astrocyte_consensus_v1	Astrocytes	SLIRP	query_hit_meeting_display_threshold	2.0		False	False	2	1.0	1	0.5	1	0.5	True	False	True	SRA stem-loop interacting RNA binding protein	down_only	0	1	1	0	1	0
phase18_cox7c_astrocyte_consensus_v1	Astrocytes	SSB	all_direct_outgoing	1.0		False	True	2	1.0	0	0.0	1	0.5	False	False	False	small RNA binding exonuclease protection factor La	down_only	0	1	1	2	1	0
phase18_cox7c_astrocyte_consensus_v1	Astrocytes	TOMM7	all_direct_outgoing|query_hit_meeting_display_threshold	1.0		False	True	1	0.5	1	0.5	1	0.5	True	False	True	translocase of outer mitochondrial membrane 7	mixed	1	1	1	0	1	0
phase18_cox7c_astrocyte_consensus_v1	Astrocytes	UQCRB	all_direct_outgoing|query_hit_meeting_display_threshold	1.0		False	True	2	1.0	2	1.0	1	0.5	True	False	True	ubiquinol-cytochrome c reductase binding protein	mixed	1	1	1	7	1	1
phase18_cox7c_astrocyte_consensus_v1	Astrocytes	UQCRH	query_hit_meeting_display_threshold	2.0		False	False	2	1.0	1	0.5	1	0.5	True	False	True	ubiquinol-cytochrome c reductase hinge protein	down_only	0	1	1	0	1	0
