schema_version	library	network	pathway	pathway_url	background_definition	background_gene_count	displayed_mapped_gene_count	pathway_background_gene_count	overlap_gene_count	overlap_genes	fold_enrichment	raw_hypergeometric_p	bh_fdr	selected_nonredundant_representative	pathway_code	pathway_display_label	pathway_color	selection_rule
phase18_cox7c_astrocyte_consensus_v1	MSigDB C2:CP v2026.1 Hs symbols	Astrocytes	WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA	all astrocyte Bayesian-network genes represented in MSigDB C2:CP	5769	22	70	10	ATP5F1E;ATP5ME;ATP5PD;ATP5PF;COX5B;COX6C;COX7C;NDUFB4;UQCRB;UQCRH	37.46103896103896	2.049574898077206e-14	3.267022387535066e-11	True	O	ETC / oxidative phosphorylation	#0072B2	prespecified nonredundant representative with BH FDR < 0.05
phase18_cox7c_astrocyte_consensus_v1	MSigDB C2:CP v2026.1 Hs symbols	Astrocytes	KEGG_OXIDATIVE_PHOSPHORYLATION	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_OXIDATIVE_PHOSPHORYLATION	all astrocyte Bayesian-network genes represented in MSigDB C2:CP	5769	22	83	10	ATP5F1E;ATP5ME;ATP5PD;ATP5PF;COX5B;COX6C;COX7C;NDUFB4;UQCRB;UQCRH	31.593647316538885	1.2257800741151976e-13	9.769467190698125e-11	False				
phase18_cox7c_astrocyte_consensus_v1	MSigDB C2:CP v2026.1 Hs symbols	Astrocytes	KEGG_PARKINSONS_DISEASE	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_PARKINSONS_DISEASE	all astrocyte Bayesian-network genes represented in MSigDB C2:CP	5769	22	83	9	ATP5F1E;ATP5PD;ATP5PF;COX5B;COX6C;COX7C;NDUFB4;UQCRB;UQCRH	28.434282584884997	7.2511779160374995e-12	3.852792532721258e-09	False				
phase18_cox7c_astrocyte_consensus_v1	MSigDB C2:CP v2026.1 Hs symbols	Astrocytes	KEGG_ALZHEIMERS_DISEASE	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_ALZHEIMERS_DISEASE	all astrocyte Bayesian-network genes represented in MSigDB C2:CP	5769	22	101	9	ATP5F1E;ATP5PD;ATP5PF;COX5B;COX6C;COX7C;NDUFB4;UQCRB;UQCRH	23.366786678667868	4.439537555394197e-11	1.7691557158245876e-08	False				
phase18_cox7c_astrocyte_consensus_v1	MSigDB C2:CP v2026.1 Hs symbols	Astrocytes	KEGG_HUNTINGTONS_DISEASE	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_HUNTINGTONS_DISEASE	all astrocyte Bayesian-network genes represented in MSigDB C2:CP	5769	22	111	9	ATP5F1E;ATP5PD;ATP5PF;COX5B;COX6C;COX7C;NDUFB4;UQCRB;UQCRH	21.261670761670764	1.052311731574436e-10	3.354769800259302e-08	False				
phase18_cox7c_astrocyte_consensus_v1	MSigDB C2:CP v2026.1 Hs symbols	Astrocytes	REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT	all astrocyte Bayesian-network genes represented in MSigDB C2:CP	5769	22	167	10	ATP5F1E;ATP5ME;ATP5PD;ATP5PF;COX5B;COX6C;COX7C;NDUFB4;UQCRB;UQCRH	15.70223189983669	1.5141183602188324e-10	4.022507776981365e-08	False				
phase18_cox7c_astrocyte_consensus_v1	MSigDB C2:CP v2026.1 Hs symbols	Astrocytes	KEGG_CARDIAC_MUSCLE_CONTRACTION	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_CARDIAC_MUSCLE_CONTRACTION	all astrocyte Bayesian-network genes represented in MSigDB C2:CP	5769	22	38	5	COX5B;COX6C;COX7C;UQCRB;UQCRH	34.50358851674641	2.2923997124536197e-07	5.2201216309301e-05	False				
phase18_cox7c_astrocyte_consensus_v1	MSigDB C2:CP v2026.1 Hs symbols	Astrocytes	WP_OXIDATIVE_PHOSPHORYLATION	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_OXIDATIVE_PHOSPHORYLATION	all astrocyte Bayesian-network genes represented in MSigDB C2:CP	5769	22	40	5	ATP5F1E;ATP5ME;ATP5PD;ATP5PF;NDUFB4	32.778409090909086	2.990370451148645e-07	5.958313123913675e-05	False				
phase18_cox7c_astrocyte_consensus_v1	MSigDB C2:CP v2026.1 Hs symbols	Astrocytes	WP_NONALCOHOLIC_FATTY_LIVER_DISEASE	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_NONALCOHOLIC_FATTY_LIVER_DISEASE	all astrocyte Bayesian-network genes represented in MSigDB C2:CP	5769	22	93	6	COX5B;COX6C;COX7C;NDUFB4;UQCRB;UQCRH	16.917888563049853	9.043842509418912e-07	0.00014506318738976144	False				
phase18_cox7c_astrocyte_consensus_v1	MSigDB C2:CP v2026.1 Hs symbols	Astrocytes	REACTOME_CRISTAE_FORMATION	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_CRISTAE_FORMATION	all astrocyte Bayesian-network genes represented in MSigDB C2:CP	5769	22	21	4	ATP5F1E;ATP5ME;ATP5PD;ATP5PF	49.948051948051955	9.100576373259814e-07	0.00014506318738976144	True	C	Cristae formation	#009E73	prespecified nonredundant representative with BH FDR < 0.05
phase18_cox7c_astrocyte_consensus_v1	MSigDB C2:CP v2026.1 Hs symbols	Astrocytes	REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	all astrocyte Bayesian-network genes represented in MSigDB C2:CP	5769	22	101	6	COX5B;COX6C;COX7C;NDUFB4;UQCRB;UQCRH	15.577857785778576	1.4750183212784067e-06	0.00021374356401070732	False				
