schema_version	network	gene	pathway	pathway_code	pathway_display_label	pathway_color	pathway_url	pathway_background_gene_count	display_overlap_gene_count	raw_hypergeometric_p	bh_fdr	fdr_significant_0_05
phase18_cox7c_astrocyte_consensus_v1	Astrocytes	ATP5F1E	WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA	O	ETC / oxidative phosphorylation	#0072B2	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA	70	10	2.049574898077206e-14	3.267022387535066e-11	True
phase18_cox7c_astrocyte_consensus_v1	Astrocytes	ATP5ME	WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA	O	ETC / oxidative phosphorylation	#0072B2	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA	70	10	2.049574898077206e-14	3.267022387535066e-11	True
phase18_cox7c_astrocyte_consensus_v1	Astrocytes	ATP5PD	WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA	O	ETC / oxidative phosphorylation	#0072B2	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA	70	10	2.049574898077206e-14	3.267022387535066e-11	True
phase18_cox7c_astrocyte_consensus_v1	Astrocytes	ATP5PF	WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA	O	ETC / oxidative phosphorylation	#0072B2	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA	70	10	2.049574898077206e-14	3.267022387535066e-11	True
phase18_cox7c_astrocyte_consensus_v1	Astrocytes	COX5B	WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA	O	ETC / oxidative phosphorylation	#0072B2	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA	70	10	2.049574898077206e-14	3.267022387535066e-11	True
phase18_cox7c_astrocyte_consensus_v1	Astrocytes	COX6C	WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA	O	ETC / oxidative phosphorylation	#0072B2	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA	70	10	2.049574898077206e-14	3.267022387535066e-11	True
phase18_cox7c_astrocyte_consensus_v1	Astrocytes	COX7C	WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA	O	ETC / oxidative phosphorylation	#0072B2	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA	70	10	2.049574898077206e-14	3.267022387535066e-11	True
phase18_cox7c_astrocyte_consensus_v1	Astrocytes	NDUFB4	WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA	O	ETC / oxidative phosphorylation	#0072B2	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA	70	10	2.049574898077206e-14	3.267022387535066e-11	True
phase18_cox7c_astrocyte_consensus_v1	Astrocytes	UQCRB	WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA	O	ETC / oxidative phosphorylation	#0072B2	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA	70	10	2.049574898077206e-14	3.267022387535066e-11	True
phase18_cox7c_astrocyte_consensus_v1	Astrocytes	UQCRH	WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA	O	ETC / oxidative phosphorylation	#0072B2	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA	70	10	2.049574898077206e-14	3.267022387535066e-11	True
