schema_version	rds_id	manifest_row	contrast_id	cell_type_high_resolution	sex	apoe_group	yu_stratum	terminal_status	total_rows	assay_feature_rows	reference_only_rows	phase08_returned_rows	filtered_rows	tested_not_significant	significant_up	significant_down	not_in_expression_matrix	contrast_not_estimable	mitocarta_core_rows	mtdna_noncoding_rows	extended_tier_rows
mitochondrial_annotation_qc_v1	astrocytes	1	astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e2	Ast CHI3L1	Female	e2	F_e2x	validated_complete	33564	33538	26	8300	25238	8084	149	67	26	0	1196	24	80
mitochondrial_annotation_qc_v1	astrocytes	2	astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e33	Ast CHI3L1	Female	e33	F_e33	validated_complete	33564	33538	26	8465	25073	7525	538	402	26	0	1196	24	80
mitochondrial_annotation_qc_v1	astrocytes	3	astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e4	Ast CHI3L1	Female	e4	F_e4x	validated_complete	33564	33538	26	8448	25090	6867	668	913	26	0	1196	24	80
mitochondrial_annotation_qc_v1	astrocytes	4	astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e2	Ast CHI3L1	Male	e2	M_e2x	validated_complete	33564	33538	26	6843	26695	6541	169	133	26	0	1196	24	80
mitochondrial_annotation_qc_v1	astrocytes	5	astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e33	Ast CHI3L1	Male	e33	M_e33	validated_complete	33564	33538	26	8438	25100	7855	284	299	26	0	1196	24	80
mitochondrial_annotation_qc_v1	astrocytes	6	astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e4	Ast CHI3L1	Male	e4	M_e4x	validated_complete	33564	33538	26	7185	26353	6183	532	470	26	0	1196	24	80
mitochondrial_annotation_qc_v1	astrocytes	7	astrocytes::Ast DPP10::AD_vs_NCI__Female__e2	Ast DPP10	Female	e2	F_e2x	validated_complete	33564	33538	26	6381	27157	5971	200	210	26	0	1196	24	80
mitochondrial_annotation_qc_v1	astrocytes	8	astrocytes::Ast DPP10::AD_vs_NCI__Female__e33	Ast DPP10	Female	e33	F_e33	validated_complete	33564	33538	26	6650	26888	6353	108	189	26	0	1196	24	80
mitochondrial_annotation_qc_v1	astrocytes	9	astrocytes::Ast DPP10::AD_vs_NCI__Female__e4	Ast DPP10	Female	e4	F_e4x	validated_complete	33564	33538	26	6979	26559	6432	168	379	26	0	1196	24	80
mitochondrial_annotation_qc_v1	astrocytes	10	astrocytes::Ast DPP10::AD_vs_NCI__Male__e2	Ast DPP10	Male	e2	M_e2x	validated_complete	33564	33538	26	6336	27202	4866	1111	359	26	0	1196	24	80
mitochondrial_annotation_qc_v1	astrocytes	11	astrocytes::Ast DPP10::AD_vs_NCI__Male__e33	Ast DPP10	Male	e33	M_e33	validated_complete	33564	33538	26	6567	26971	6382	84	101	26	0	1196	24	80
mitochondrial_annotation_qc_v1	astrocytes	12	astrocytes::Ast DPP10::AD_vs_NCI__Male__e4	Ast DPP10	Male	e4	M_e4x	validated_complete	33564	33538	26	6836	26702	5860	572	404	26	0	1196	24	80
mitochondrial_annotation_qc_v1	astrocytes	13	astrocytes::Ast GRM3::AD_vs_NCI__Female__e2	Ast GRM3	Female	e2	F_e2x	validated_complete	33564	33538	26	7462	26076	6413	677	372	26	0	1196	24	80
mitochondrial_annotation_qc_v1	astrocytes	14	astrocytes::Ast GRM3::AD_vs_NCI__Female__e33	Ast GRM3	Female	e33	F_e33	validated_complete	33564	33538	26	7335	26203	7180	105	50	26	0	1196	24	80
