schema_version	scope	rds_id	metric	value	validation_status
mitochondrial_annotation_qc_v1	rds	oligodendrocytes	significant_up	850	validated_complete
mitochondrial_annotation_qc_v1	rds	oligodendrocytes	significant_down	736	validated_complete
mitochondrial_annotation_qc_v1	rds	oligodendrocytes	filtered_rows	166944	validated_complete
mitochondrial_annotation_qc_v1	rds	vasculature	assay_features	33538	validated_complete
mitochondrial_annotation_qc_v1	rds	vasculature	reference_only_records	26	validated_complete
mitochondrial_annotation_qc_v1	rds	vasculature	mitocarta_core_records	1196	validated_complete
mitochondrial_annotation_qc_v1	rds	vasculature	mtdna_noncoding_records	24	validated_complete
mitochondrial_annotation_qc_v1	rds	vasculature	extended_tier_records	80	validated_complete
mitochondrial_annotation_qc_v1	rds	vasculature	contrast_rows	30	validated_complete
mitochondrial_annotation_qc_v1	rds	vasculature	annotated_grid_rows	1006920	validated_complete
mitochondrial_annotation_qc_v1	rds	vasculature	phase08_returned_rows	157308	validated_complete
mitochondrial_annotation_qc_v1	rds	vasculature	significant_up	341	validated_complete
mitochondrial_annotation_qc_v1	rds	vasculature	significant_down	375	validated_complete
mitochondrial_annotation_qc_v1	rds	vasculature	filtered_rows	815294	validated_complete
