schema_version	candidate_id	gene	category_count	total_returned_calls	best_score	best_display_rank	in_top5_display	in_seaad	priority_tier	mapping_status
phase19b_sex_apoe_kda_combo_v2_candidates	GS19B0001	ACAT2	2	2	0.0424081317294151	15	False	False	P2	mapped_by_symbol
phase19b_sex_apoe_kda_combo_v2_candidates	GS19B0002	AGRN	1	1	0.0363454810750808	2	True	False	P2	mapped_by_symbol
phase19b_sex_apoe_kda_combo_v2_candidates	GS19B0003	AL035071.1	1	1	0.038989239052427	31	False	False	P3	symbol_mapping_failed
phase19b_sex_apoe_kda_combo_v2_candidates	GS19B0004	AL139260.1	1	1	0.0367540345486651	18	False	False	P3	symbol_mapping_failed
phase19b_sex_apoe_kda_combo_v2_candidates	GS19B0005	ALG8	1	1	0.0298040883366208	26	False	False	P3	mapped_by_symbol
phase19b_sex_apoe_kda_combo_v2_candidates	GS19B0006	ANKRD11	2	2	9.36728034085935e-05	3	True	False	P2	mapped_by_symbol
phase19b_sex_apoe_kda_combo_v2_candidates	GS19B0007	ANKRD13A	1	1	0.0390434150407734	26	False	False	P3	mapped_by_symbol
phase19b_sex_apoe_kda_combo_v2_candidates	GS19B0008	AP2M1	1	2	0.002568327007439329	2	True	False	P2	mapped_by_symbol
phase19b_sex_apoe_kda_combo_v2_candidates	GS19B0009	APOE	3	3	0.00363619837189252	1	True	False	P2	mapped_by_symbol
phase19b_sex_apoe_kda_combo_v2_candidates	GS19B0010	ARGLU1	1	1	0.0280586418545553	16	False	False	P3	mapped_by_symbol
phase19b_sex_apoe_kda_combo_v2_candidates	GS19B0011	ARID5A	1	1	0.0314830010642938	1	True	False	P2	mapped_by_symbol
phase19b_sex_apoe_kda_combo_v2_candidates	GS19B0012	ATCAY	1	1	0.0104088744377767	2	True	False	P2	mapped_by_symbol
phase19b_sex_apoe_kda_combo_v2_candidates	GS19B0013	ATG101	3	6	0.00024661622380679293	4	True	False	P2	mapped_by_symbol
phase19b_sex_apoe_kda_combo_v2_candidates	GS19B0014	ATP6AP2	3	6	0.00290894684826011	1	True	False	P2	mapped_by_symbol
