schema_version	candidate_id	gene	broad_network	is_mtdna_gene	baseline_grade	best_extension_grade	best_extension_trait	best_extension_evidence_type	best_route_id	cumulative_phase19_grade	newly_biomarker_supported	traits_with_regional_signal	traits_with_magma_signal	full_phase19_complete	permitted_interpretation
phase19_endophenotype_gwas_qtl_extension_v1	GS001	ANKRD11	OPCs	False	none_found	none_found	csf_abeta42	assessable_no_qualifying_GWAS_signal	NA	none_found	FALSE	none	none	FALSE	No qualifying csf_abeta42 GWAS signal was found for ANKRD11 under the frozen gates.
phase19_endophenotype_gwas_qtl_extension_v1	GS002	APOE	Astrocytes	False	strong	weak	csf_abeta42	corrected_candidate_MAGMA	NA	strong	FALSE	csf_abeta42;csf_ptau181;csf_total_tau	csf_abeta42;csf_ptau181;csf_total_tau	FALSE	APOE has candidate-level statistical support for csf_abeta42, but the causal gene/shared molecular mechanism is not established.
phase19_endophenotype_gwas_qtl_extension_v1	GS003	ATP6V1F	Inhibitory_neurons	False	none_found	none_found	csf_abeta42	assessable_no_qualifying_GWAS_signal	NA	none_found	FALSE	none	none	FALSE	No qualifying csf_abeta42 GWAS signal was found for ATP6V1F under the frozen gates.
phase19_endophenotype_gwas_qtl_extension_v1	GS004	COX4I1	Astrocytes	False	none_found	none_found	csf_abeta42	assessable_no_qualifying_GWAS_signal	NA	none_found	FALSE	none	none	FALSE	No qualifying csf_abeta42 GWAS signal was found for COX4I1 under the frozen gates.
phase19_endophenotype_gwas_qtl_extension_v1	GS005	COX4I1	Excitatory_neurons	False	none_found	none_found	csf_abeta42	assessable_no_qualifying_GWAS_signal	NA	none_found	FALSE	none	none	FALSE	No qualifying csf_abeta42 GWAS signal was found for COX4I1 under the frozen gates.
phase19_endophenotype_gwas_qtl_extension_v1	GS006	COX6B1	Excitatory_neurons	False	none_found	none_found	csf_abeta42	assessable_no_qualifying_GWAS_signal	NA	none_found	FALSE	none	none	FALSE	No qualifying csf_abeta42 GWAS signal was found for COX6B1 under the frozen gates.
phase19_endophenotype_gwas_qtl_extension_v1	GS007	COX7C	Astrocytes	False	weak	none_found	csf_abeta42	assessable_no_qualifying_GWAS_signal	NA	weak	FALSE	none	none	FALSE	No qualifying csf_abeta42 GWAS signal was found for COX7C under the frozen gates.
phase19_endophenotype_gwas_qtl_extension_v1	GS008	COX7C	Inhibitory_neurons	False	weak	none_found	csf_abeta42	assessable_no_qualifying_GWAS_signal	NA	weak	FALSE	none	none	FALSE	No qualifying csf_abeta42 GWAS signal was found for COX7C under the frozen gates.
phase19_endophenotype_gwas_qtl_extension_v1	GS009	DYNLT1	Excitatory_neurons	False	none_found	none_found	csf_abeta42	assessable_no_qualifying_GWAS_signal	NA	none_found	FALSE	none	none	FALSE	No qualifying csf_abeta42 GWAS signal was found for DYNLT1 under the frozen gates.
phase19_endophenotype_gwas_qtl_extension_v1	GS010	FTL	OPCs	False	none_found	none_found	csf_abeta42	assessable_no_qualifying_GWAS_signal	NA	none_found	FALSE	none	none	FALSE	No qualifying csf_abeta42 GWAS signal was found for FTL under the frozen gates.
phase19_endophenotype_gwas_qtl_extension_v1	GS011	LAMTOR5	Excitatory_neurons	False	none_found	none_found	csf_abeta42	assessable_no_qualifying_GWAS_signal	NA	none_found	FALSE	none	none	FALSE	No qualifying csf_abeta42 GWAS signal was found for LAMTOR5 under the frozen gates.
phase19_endophenotype_gwas_qtl_extension_v1	GS012	LAMTOR5	Inhibitory_neurons	False	none_found	none_found	csf_abeta42	assessable_no_qualifying_GWAS_signal	NA	none_found	FALSE	none	none	FALSE	No qualifying csf_abeta42 GWAS signal was found for LAMTOR5 under the frozen gates.
phase19_endophenotype_gwas_qtl_extension_v1	GS013	LAPTM4A	Astrocytes	False	none_found	none_found	csf_abeta42	assessable_no_qualifying_GWAS_signal	NA	none_found	FALSE	none	none	FALSE	No qualifying csf_abeta42 GWAS signal was found for LAPTM4A under the frozen gates.
phase19_endophenotype_gwas_qtl_extension_v1	GS014	MT-ATP6	Astrocytes	True	not_assessable	not_assessable	csf_abeta42	not_applicable_mtdna	NA	not_assessable	FALSE	none	none	FALSE	Nuclear endophenotype GWAS/QTL analysis is not applicable to mtDNA genes.
phase19_endophenotype_gwas_qtl_extension_v1	GS015	MT-ATP6	Vasculature_cells	True	not_assessable	not_assessable	csf_abeta42	not_applicable_mtdna	NA	not_assessable	FALSE	none	none	FALSE	Nuclear endophenotype GWAS/QTL analysis is not applicable to mtDNA genes.
phase19_endophenotype_gwas_qtl_extension_v1	GS016	MT-CO2	Astrocytes	True	not_assessable	not_assessable	csf_abeta42	not_applicable_mtdna	NA	not_assessable	FALSE	none	none	FALSE	Nuclear endophenotype GWAS/QTL analysis is not applicable to mtDNA genes.
phase19_endophenotype_gwas_qtl_extension_v1	GS017	MT-CO2	Excitatory_neurons	True	not_assessable	not_assessable	csf_abeta42	not_applicable_mtdna	NA	not_assessable	FALSE	none	none	FALSE	Nuclear endophenotype GWAS/QTL analysis is not applicable to mtDNA genes.
phase19_endophenotype_gwas_qtl_extension_v1	GS018	MT-CO2	Inhibitory_neurons	True	not_assessable	not_assessable	csf_abeta42	not_applicable_mtdna	NA	not_assessable	FALSE	none	none	FALSE	Nuclear endophenotype GWAS/QTL analysis is not applicable to mtDNA genes.
phase19_endophenotype_gwas_qtl_extension_v1	GS019	MT-CO2	Microglia	True	not_assessable	not_assessable	csf_abeta42	not_applicable_mtdna	NA	not_assessable	FALSE	none	none	FALSE	Nuclear endophenotype GWAS/QTL analysis is not applicable to mtDNA genes.
phase19_endophenotype_gwas_qtl_extension_v1	GS020	MT-CO2	OPCs	True	not_assessable	not_assessable	csf_abeta42	not_applicable_mtdna	NA	not_assessable	FALSE	none	none	FALSE	Nuclear endophenotype GWAS/QTL analysis is not applicable to mtDNA genes.
phase19_endophenotype_gwas_qtl_extension_v1	GS021	MT-CO2	Oligodendrocytes	True	not_assessable	not_assessable	csf_abeta42	not_applicable_mtdna	NA	not_assessable	FALSE	none	none	FALSE	Nuclear endophenotype GWAS/QTL analysis is not applicable to mtDNA genes.
phase19_endophenotype_gwas_qtl_extension_v1	GS022	MT-CO2	Vasculature_cells	True	not_assessable	not_assessable	csf_abeta42	not_applicable_mtdna	NA	not_assessable	FALSE	none	none	FALSE	Nuclear endophenotype GWAS/QTL analysis is not applicable to mtDNA genes.
phase19_endophenotype_gwas_qtl_extension_v1	GS023	MT-CO3	Astrocytes	True	not_assessable	not_assessable	csf_abeta42	not_applicable_mtdna	NA	not_assessable	FALSE	none	none	FALSE	Nuclear endophenotype GWAS/QTL analysis is not applicable to mtDNA genes.
phase19_endophenotype_gwas_qtl_extension_v1	GS024	MT-CO3	Inhibitory_neurons	True	not_assessable	not_assessable	csf_abeta42	not_applicable_mtdna	NA	not_assessable	FALSE	none	none	FALSE	Nuclear endophenotype GWAS/QTL analysis is not applicable to mtDNA genes.
phase19_endophenotype_gwas_qtl_extension_v1	GS025	MT-CO3	OPCs	True	not_assessable	not_assessable	csf_abeta42	not_applicable_mtdna	NA	not_assessable	FALSE	none	none	FALSE	Nuclear endophenotype GWAS/QTL analysis is not applicable to mtDNA genes.
phase19_endophenotype_gwas_qtl_extension_v1	GS026	MT-CO3	Vasculature_cells	True	not_assessable	not_assessable	csf_abeta42	not_applicable_mtdna	NA	not_assessable	FALSE	none	none	FALSE	Nuclear endophenotype GWAS/QTL analysis is not applicable to mtDNA genes.
phase19_endophenotype_gwas_qtl_extension_v1	GS027	MT-CYB	Excitatory_neurons	True	not_assessable	not_assessable	csf_abeta42	not_applicable_mtdna	NA	not_assessable	FALSE	none	none	FALSE	Nuclear endophenotype GWAS/QTL analysis is not applicable to mtDNA genes.
phase19_endophenotype_gwas_qtl_extension_v1	GS028	MT-CYB	Inhibitory_neurons	True	not_assessable	not_assessable	csf_abeta42	not_applicable_mtdna	NA	not_assessable	FALSE	none	none	FALSE	Nuclear endophenotype GWAS/QTL analysis is not applicable to mtDNA genes.
phase19_endophenotype_gwas_qtl_extension_v1	GS029	MT-ND4	Microglia	True	not_assessable	not_assessable	csf_abeta42	not_applicable_mtdna	NA	not_assessable	FALSE	none	none	FALSE	Nuclear endophenotype GWAS/QTL analysis is not applicable to mtDNA genes.
