schema_version	trait_id	trait_label	source_accession	trait_description	trait_type	effect_scale	ancestry	sample_size	genome_build	coordinate_system	raw_file	harmonized_file	raw_md5	source_url	harmonized_url	identity_verified
phase19_endophenotype_gwas_qtl_extension_v1	csf_abeta42	CSF amyloid-beta 42	GCST90726396	Cerebrospinal fluid amyloid beta 42 levels	quantitative	standardized_linear_beta	European	18948	GRCh38	1-based	data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/gwas_raw/GCST90726396.tsv	data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/gwas_normalized/GCST90726396.h.tsv.gz	4cb99e5a870ebf9d6f0d9601f4bbee08	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90726001-GCST90727000/GCST90726396/GCST90726396.tsv	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90726001-GCST90727000/GCST90726396/harmonised/GCST90726396.h.tsv.gz	TRUE
phase19_endophenotype_gwas_qtl_extension_v1	csf_total_tau	CSF total tau	GCST90726397	Cerebrospinal fluid t-tau levels	quantitative	standardized_linear_beta	European	18948	GRCh38	1-based	data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/gwas_raw/GCST90726397.tsv	data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/gwas_normalized/GCST90726397.h.tsv.gz	e54e8dd64b2c9fc8893ddf04f0be5716	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90726001-GCST90727000/GCST90726397/GCST90726397.tsv	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90726001-GCST90727000/GCST90726397/harmonised/GCST90726397.h.tsv.gz	TRUE
phase19_endophenotype_gwas_qtl_extension_v1	csf_ptau181	CSF phosphorylated tau 181	GCST90726398	Cerebrospinal fluid p-tau181 levels	quantitative	standardized_linear_beta	European	18948	GRCh38	1-based	data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/gwas_raw/GCST90726398.tsv	data/reference/phase19_genetic_support/endophenotype_gwas_qtl_extension/gwas_normalized/GCST90726398.h.tsv.gz	e867ec48c1a490be5613746f70a557a8	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90726001-GCST90727000/GCST90726398/GCST90726398.tsv	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90726001-GCST90727000/GCST90726398/harmonised/GCST90726398.h.tsv.gz	TRUE
