schema_version	route_id	gene	ensembl_gene_id	trait_id	source_accession	qtl_source_id	qtl_modality	qtl_context	context_match_level	sample_overlap_state	regional_gwas_signal	qtl_measurement_state	qtl_signal_state	full_regional_qtl_available	compatible_model_or_ld_available	route_terminal_status	coloc_outcome	pp_h0	pp_h1	pp_h2	pp_h3	pp_h4	conditional_h4	method	reason	selection_frozen_before_result
phase19_endophenotype_gwas_qtl_extension_v1	APOE__csf_abeta42__EQTL_Catalogue_r7__eQTL__Astrocytes	APOE	ENSG00000130203	csf_abeta42	GCST90726396	EQTL_Catalogue_r7	eQTL	Astrocytes	registered_exact_lineage_or_bulk	source_specific	TRUE	measured_candidate_trait	source_significant_cis_signal	TRUE	FALSE	model_or_ld_incompatible	NA	0	0.00912393235299539	0	0.99053096598589	0.000345101661025895	0.000348279338147126	coloc.abf_single_signal_sensitivity_only	single_signal_sensitivity_completed_but_primary_multisignal_route_lacks_released_QTL_model_or_QTL_ancestry_matched_LD	TRUE
phase19_endophenotype_gwas_qtl_extension_v1	APOE__csf_abeta42__EQTL_Catalogue_r7__sQTL__Astrocytes	APOE	ENSG00000130203	csf_abeta42	GCST90726396	EQTL_Catalogue_r7	sQTL	Astrocytes	registered_exact_lineage_or_bulk	source_specific	TRUE	measurement_unresolved	not_assessable	FALSE	FALSE	not_assessable	NA							not_run	target_gene_splicing_event_absent_from_conditionally_detected_release_and_measurement_status_unresolved	TRUE
phase19_endophenotype_gwas_qtl_extension_v1	APOE__csf_abeta42__NG00130.v2__pQTL__CSF	APOE	ENSG00000130203	csf_abeta42	GCST90726396	NG00130.v2	pQTL	CSF	gene_level_csf_protein	known_overlap_unquantified	TRUE	measured_candidate_trait	source_significant_cis_signal	TRUE	FALSE	model_or_ld_incompatible	NA	0	2.03132818501707e-09	0	0.000362185064986539	0.999637812903626	0.999637814934278	coloc.abf_single_signal_sensitivity_only	single_signal_sensitivity_completed_but_primary_multisignal_route_lacks_released_QTL_model_or_QTL_ancestry_matched_LD	TRUE
phase19_endophenotype_gwas_qtl_extension_v1	APOE__csf_abeta42__NG00184.v1__eQTL__Astrocytes	APOE	ENSG00000130203	csf_abeta42	GCST90726396	NG00184.v1	eQTL	Astrocytes	exact_lineage_or_bulk_per_fileset	known_ROSMAP_and_other_cohort_overlap	TRUE	measured_candidate_trait	no_source_significant_cis_signal	FALSE	FALSE	no_regional_qtl_signal	NA							released_hmt_and_PIP_credible_set_audit_no_primary_coloc	NG00184_APOE_measured_in_Knight-ADRC,MSBB,ROSMAP_with_finemap_rows=44_but_hmt_significant_rows=0_and_all_released_APOE_rows_are_is_hmt_signif_false	TRUE
phase19_endophenotype_gwas_qtl_extension_v1	APOE__csf_abeta42__NG00184.v1__pQTL__brain_regions	APOE	ENSG00000130203	csf_abeta42	GCST90726396	NG00184.v1	pQTL	brain_regions	bulk_brain_fallback	known_ROSMAP_and_other_cohort_overlap	TRUE	measured_candidate_trait	no_source_significant_cis_signal	FALSE	FALSE	no_regional_qtl_signal	NA							released_hmt_and_PIP_credible_set_audit_no_primary_coloc	NG00184_APOE_measured_in_MSBB,ROSMAP_with_finemap_rows=22_but_hmt_significant_rows=0_and_all_released_APOE_rows_are_is_hmt_signif_false	TRUE
phase19_endophenotype_gwas_qtl_extension_v1	APOE__csf_abeta42__NG00184.v1__sQTL__Astrocytes	APOE	ENSG00000130203	csf_abeta42	GCST90726396	NG00184.v1	sQTL	Astrocytes	exact_lineage_or_bulk_per_fileset	known_ROSMAP_and_other_cohort_overlap	TRUE	measured_candidate_trait	source_significant_cis_signal	FALSE	FALSE	model_or_ld_incompatible	NA							released_hmt_and_PIP_credible_set_audit_no_primary_coloc	NG00184_APOE_signal_present_hmt_rows=189_finemap_rows=245;released_finemapping_contains_PIP_and_credible_set_membership_but_not_a_complete_multisignal_model_or_ancestry_matched_LD_required_for_primary_colocalization	TRUE
phase19_endophenotype_gwas_qtl_extension_v1	APOE__csf_abeta42__NG00184.v1__snuc-eQTL__Astrocytes	APOE	ENSG00000130203	csf_abeta42	GCST90726396	NG00184.v1	snuc-eQTL	Astrocytes	exact_or_lineage	known_ROSMAP_and_other_cohort_overlap	TRUE	measured_candidate_trait	no_source_significant_cis_signal	FALSE	FALSE	no_regional_qtl_signal	NA							released_hmt_and_PIP_credible_set_audit_no_primary_coloc	NG00184_APOE_measured_in_ROSMAP_CUIMC1_2_MIT,ROSMAP_MIT_with_finemap_rows=8_but_hmt_significant_rows=0_and_all_released_APOE_rows_are_is_hmt_signif_false	TRUE
phase19_endophenotype_gwas_qtl_extension_v1	APOE__csf_abeta42__PsychAD_snRNA_eQTL__eQTL__Astrocytes	APOE	ENSG00000130203	csf_abeta42	GCST90726396	PsychAD_snRNA_eQTL	eQTL	Astrocytes	exact_or_lineage	known_overlap_quantified	TRUE	resource_exists_controlled_or_request_access	not_assessable	FALSE	FALSE	not_assessable	NA							not_run	full_candidate_statistics_not_publicly_downloadable_and_ROSMAP_overlap_prevents_independent_validation	TRUE
phase19_endophenotype_gwas_qtl_extension_v1	APOE__csf_abeta42__scMetaBrain_2026__eQTL__Astrocytes	APOE	ENSG00000130203	csf_abeta42	GCST90726396	scMetaBrain_2026	eQTL	Astrocytes	exact_or_lineage	possible_overlap	TRUE	published_resource_no_candidate_complete_model_imported	not_assessable	FALSE	FALSE	not_assessable	NA							not_run	candidate_level_complete_statistics_and_compatible_released_model_not_available_in_public_local_inventory	TRUE
phase19_endophenotype_gwas_qtl_extension_v1	APOE__csf_ptau181__EQTL_Catalogue_r7__eQTL__Astrocytes	APOE	ENSG00000130203	csf_ptau181	GCST90726398	EQTL_Catalogue_r7	eQTL	Astrocytes	registered_exact_lineage_or_bulk	source_specific	TRUE	measured_candidate_trait	source_significant_cis_signal	TRUE	FALSE	model_or_ld_incompatible	NA	4.51654685237541e-169	0.00912384341045249	4.90339744946892e-167	0.990531058292641	0.000345098296882282	0.000348275911764866	coloc.abf_single_signal_sensitivity_only	single_signal_sensitivity_completed_but_primary_multisignal_route_lacks_released_QTL_model_or_QTL_ancestry_matched_LD	TRUE
