schema_version	path	bytes	sha256	rows	validation_state
phase19_endophenotype_gwas_qtl_extension_v1	endophenotype_analysis_manifest.tsv	583	2a2008e297a9ea2a6c3508faa9b85f9a3bae2812f57c6dc23e5cf35e487eb081	1	validated
phase19_endophenotype_gwas_qtl_extension_v1	endophenotype_dataset_registry.tsv	2074	4b13e46963d377055ef741f7e1c37f388abfe37f4744c2a423cfc195cb712287	8	validated
phase19_endophenotype_gwas_qtl_extension_v1	endophenotype_request_manifest.tsv	8845	a324010ff466f6211e7f95a7a452f47a18dfc319dfaaa3f90cbaa988dc6bab2e	30	validated
phase19_endophenotype_gwas_qtl_extension_v1	endophenotype_input_inventory.tsv	10906	1a3100dd913aa49162bfda69c4033215fa581312c981351fecef4b9147ce01bf	29	validated
phase19_endophenotype_gwas_qtl_extension_v1	endophenotype_source_checks.tsv	25145	2ea8aba73867fc84cb56722e886ffb2665c1b89bbf1a2df3aa320e51aaec155e	69	validated
phase19_endophenotype_gwas_qtl_extension_v1	endophenotype_candidate_manifest.tsv	8190	55dcfd03e829e26935caa7030cbbbd5de2eaa641f8d0f2feaedd49d206af757b	47	validated
phase19_endophenotype_gwas_qtl_extension_v1	endophenotype_biomarker_manifest.tsv	2292	dd1bf01315bc184800ff1f7a26e724c5ea9c638d8e37bd0fd584db33194471d1	3	validated
phase19_endophenotype_gwas_qtl_extension_v1	endophenotype_screening_units.tsv	11879	5ddf2d83ea6990a76b1e40da6e91786923e806d780c9ef5cea4ca9318e1ef139	75	validated
phase19_endophenotype_gwas_qtl_extension_v1	endophenotype_gwas_qc.tsv	535	8f4872f85ae0eac6065be8aefbbe8053c6b70eac62eb01fc5b126af7a8af6da5	3	validated
phase19_endophenotype_gwas_qtl_extension_v1	endophenotype_regional_gwas_summary.tsv	19739	be1afbc060ed4b658ea837d396c8a81557e1b2908c4ef8ff0af59833cbffd260	75	validated
phase19_endophenotype_gwas_qtl_extension_v1	endophenotype_regional_gwas.tsv.gz	9511614	0e6b2b5c7954e5365fc37809f1221e6f068e71a51f422327cf7558f8b0079df4	325713	validated
phase19_endophenotype_gwas_qtl_extension_v1	endophenotype_magma_results.tsv	12225648	9f21a94f2eee60873133583270b708df403cc7340c8a6e93d44794bad54fd02e	56111	validated
phase19_endophenotype_gwas_qtl_extension_v1	endophenotype_magma_conditional.tsv	1054	cd9ccbdcf0be1d6592100fa813f73eaf01561e8ff5499090ef6cb33106e3501f	3	validated
phase19_endophenotype_gwas_qtl_extension_v1	endophenotype_gate_decisions.tsv	13808	425d618d1c2b68099264ebeb5896122e04f161ad0c438eb4352b0822b2c8427c	57	validated
phase19_endophenotype_gwas_qtl_extension_v1	endophenotype_qtl_coverage.tsv	11449	25c7a33c98abe5ba130b3aa9369d02272a9a242fe903666e0339b405ee8236c7	27	validated
phase19_endophenotype_gwas_qtl_extension_v1	endophenotype_route_manifest.tsv	14655	44ef6cb8ff18e7aa03755174f2996180bd85b0a78d62a03487870a80623d10f8	27	validated
phase19_endophenotype_gwas_qtl_extension_v1	endophenotype_sample_overlap_audit.tsv	7898	0c002b249e9f25d2752aa13b438883395e17c894cbf9ca02a30a1cc978f02ebb	27	validated
phase19_endophenotype_gwas_qtl_extension_v1	endophenotype_variant_harmonization.tsv.gz	121491	0bd90cef94b0dea172649f810479f5325ce5a86029c5e4956b63134f23fff29e	25612	validated
phase19_endophenotype_gwas_qtl_extension_v1	endophenotype_variant_harmonization_summary.tsv	8221	54479ce6dfcd9e04e6a1ef55255c96af4d3d4cb0dede5927a59e1d5c66036b69	27	validated
phase19_endophenotype_gwas_qtl_extension_v1	endophenotype_ld_qc.tsv	8046	a50079b1b2047878b8564d64834d0ebfe3e9c6d69ca83856807b73ed9dbcd35a	27	validated
phase19_endophenotype_gwas_qtl_extension_v1	endophenotype_gwas_finemapping.tsv.gz	102	3ccb485296d310380829a248bb6fe175019ccd54643f816e25ca7b00ad0eadea	0	validated
phase19_endophenotype_gwas_qtl_extension_v1	endophenotype_qtl_finemapping.tsv.gz	102	3ccb485296d310380829a248bb6fe175019ccd54643f816e25ca7b00ad0eadea	0	validated
phase19_endophenotype_gwas_qtl_extension_v1	endophenotype_colocalization.tsv.gz	135	7cca0ef6b2e76dda8d9620d2095aa530d34622d297132e0968f4fef840682156	0	validated
phase19_endophenotype_gwas_qtl_extension_v1	endophenotype_colocalization_qc.tsv	7784	094d92d790e3ea20744d09fd1c4b7586180ab0e63d3fa3326db57139ffb20e3f	27	validated
phase19_endophenotype_gwas_qtl_extension_v1	endophenotype_prior_sensitivity.tsv.gz	2603	b0c65bb7b1582a1a3ad22af986f0f4c89811f695bda67168dc50f5b1c33904f1	45	validated
phase19_endophenotype_gwas_qtl_extension_v1	endophenotype_twas_pwas_followup.tsv	12027	48cd29d32832889d6ccbcd7164d7a95becacc8cfe5b8ce5a81ec0e21deb1e5f0	57	validated
phase19_endophenotype_gwas_qtl_extension_v1	endophenotype_assessability.tsv	19022	54f60c00ce21514d1a02d54284cad0bb51ec1d48f27c7470e43243db5a708523	84	validated
phase19_endophenotype_gwas_qtl_extension_v1	endophenotype_evidence_summary.tsv	12630	5dcefcba339daa877b63f6898879302371259777fedd85f468ba1bfb6ae41230	47	validated
phase19_endophenotype_gwas_qtl_extension_v1	endophenotype_context_biomarker_matrix.tsv	48173	3fd8d7e58185d5af0560d4a36ff94f34d7f937dfcac1938437512613b95c0b91	141	validated
phase19_endophenotype_gwas_qtl_extension_v1	endophenotype_figure_data.tsv.gz	1403	6809e99d7edccc240e4da3c157b419d3254c8d4386b23cd134c8dd125ee12ff4	141	validated
phase19_endophenotype_gwas_qtl_extension_v1	endophenotype_evidence_matrix.pdf	6044	4f69d6ed8868b03fd2e6b5ada9c602f1e27df1cac413c74872dde14b11103be0	NA	validated
phase19_endophenotype_gwas_qtl_extension_v1	endophenotype_evidence_matrix.png	167113	a151121d6b13f26784233987c0fb27dc9fcb2eb39bb79b10cd1f11dd9d50be2e	NA	validated
phase19_endophenotype_gwas_qtl_extension_v1	endophenotype_locus_plots.pdf	7853	3b1529367da3dc96b3d8dd7741897ef908202a5313fed41be7182c37321c1af1	NA	validated
phase19_endophenotype_gwas_qtl_extension_v1	endophenotype_checks.tsv	1464	c21a02e05bc6a8c9611ab84f124572a33a874fb89b8341579922ab39bbc7c071	14	validated
