schema_version	check_id	passed	blocking	observed	expected	detail
phase15_checks_v1	phase13_validated_complete	TRUE	TRUE	validated_complete	validated_complete	
phase15_checks_v1	phase13_artifact_hashes	TRUE	TRUE	validated	validated	
phase15_checks_v1	seven_contexts	TRUE	TRUE	7	7	
phase15_checks_v1	selected_module_count	TRUE	TRUE	2	2	
phase15_checks_v1	selected_membership_count	TRUE	TRUE	99	99	
phase15_checks_v1	score_keys_unique	TRUE	TRUE	0	0	
phase15_checks_v1	score_pairs_same_donor_context	TRUE	TRUE	paired	paired	
phase15_checks_v1	stored_scores_reconstruct	TRUE	TRUE	1.6431301e-14	<=1e-8	
phase15_checks_v1	primary_secondary_roles	TRUE	TRUE	3|4	3 primary|4 secondary	
phase15_checks_v1	no_pilot_fixture	TRUE	TRUE	absent	absent	
phase15_checks_v1	production_approval	TRUE	TRUE	TRUE	TRUE	
phase15_checks_v1	endpoint_dimensions	TRUE	TRUE	production_observed	pass	
phase15_checks_v1	gate_dimensions	TRUE	TRUE	production_observed	pass	
phase15_checks_v1	stability_rows_complete	TRUE	TRUE	production_observed	pass	
phase15_checks_v1	stability_units_whole_donor	TRUE	TRUE	production_observed	pass	
phase15_checks_v1	crossfit_no_leakage	TRUE	TRUE	production_observed	pass	
phase15_checks_v1	reference_assignments_complete	TRUE	TRUE	production_observed	pass	
phase15_checks_v1	influence_rows_complete	TRUE	TRUE	production_observed	pass	
phase15_checks_v1	all_endpoint_statuses_terminal	TRUE	TRUE	production_observed	pass	
phase15_checks_v1	all_gate_statuses_terminal	TRUE	TRUE	production_observed	pass	
phase15_checks_v1	declared_output_count	TRUE	TRUE	production_observed	pass	
