schema_version	context_id	assignment_id	model_id	fold	coefficient	estimate	design_rank	residual_df	training_donors	training_original_ids_hash	heldout_training_overlap	model_status
phase15_reference_models_v1	astrocytes	0	fold_1	1	(Intercept)	-0.122073397782368	10	103	113	d1ee4073b1b54fc06cd06474a7b246e9a9234b91019b6a345fb6adcdeee11f6c	0	estimated
phase15_reference_models_v1	astrocytes	0	fold_1	1	N	0.0977831756298222	10	103	113	d1ee4073b1b54fc06cd06474a7b246e9a9234b91019b6a345fb6adcdeee11f6c	0	estimated
phase15_reference_models_v1	astrocytes	0	fold_1	1	sex_APOE_stratumFemale__e33	0.0701731910844564	10	103	113	d1ee4073b1b54fc06cd06474a7b246e9a9234b91019b6a345fb6adcdeee11f6c	0	estimated
phase15_reference_models_v1	astrocytes	0	fold_1	1	sex_APOE_stratumFemale__e4	0.517450061654787	10	103	113	d1ee4073b1b54fc06cd06474a7b246e9a9234b91019b6a345fb6adcdeee11f6c	0	estimated
phase15_reference_models_v1	astrocytes	0	fold_1	1	sex_APOE_stratumMale__e2	0.417016717484754	10	103	113	d1ee4073b1b54fc06cd06474a7b246e9a9234b91019b6a345fb6adcdeee11f6c	0	estimated
phase15_reference_models_v1	astrocytes	0	fold_1	1	sex_APOE_stratumMale__e33	0.0307822052096965	10	103	113	d1ee4073b1b54fc06cd06474a7b246e9a9234b91019b6a345fb6adcdeee11f6c	0	estimated
phase15_reference_models_v1	astrocytes	0	fold_1	1	sex_APOE_stratumMale__e4	-0.256899765313045	10	103	113	d1ee4073b1b54fc06cd06474a7b246e9a9234b91019b6a345fb6adcdeee11f6c	0	estimated
phase15_reference_models_v1	astrocytes	0	fold_1	1	age_death_scaled	0.0728404050689287	10	103	113	d1ee4073b1b54fc06cd06474a7b246e9a9234b91019b6a345fb6adcdeee11f6c	0	estimated
phase15_reference_models_v1	astrocytes	0	fold_1	1	pmi_scaled	0.200217643967513	10	103	113	d1ee4073b1b54fc06cd06474a7b246e9a9234b91019b6a345fb6adcdeee11f6c	0	estimated
phase15_reference_models_v1	astrocytes	0	fold_1	1	studyROS	0.2610772304522	10	103	113	d1ee4073b1b54fc06cd06474a7b246e9a9234b91019b6a345fb6adcdeee11f6c	0	estimated
phase15_reference_models_v1	astrocytes	0	fold_2	2	(Intercept)	-0.300388749834037	10	103	113	a5a8ccf0e19bd3dfa99d175cc0b9f50af2b640c24de8c59307d91de421e1bcf7	0	estimated
phase15_reference_models_v1	astrocytes	0	fold_2	2	N	0.0713308865713163	10	103	113	a5a8ccf0e19bd3dfa99d175cc0b9f50af2b640c24de8c59307d91de421e1bcf7	0	estimated
phase15_reference_models_v1	astrocytes	0	fold_2	2	sex_APOE_stratumFemale__e33	0.0280561412484019	10	103	113	a5a8ccf0e19bd3dfa99d175cc0b9f50af2b640c24de8c59307d91de421e1bcf7	0	estimated
phase15_reference_models_v1	astrocytes	0	fold_2	2	sex_APOE_stratumFemale__e4	0.55694434050753	10	103	113	a5a8ccf0e19bd3dfa99d175cc0b9f50af2b640c24de8c59307d91de421e1bcf7	0	estimated
phase15_reference_models_v1	astrocytes	0	fold_2	2	sex_APOE_stratumMale__e2	0.695027633094433	10	103	113	a5a8ccf0e19bd3dfa99d175cc0b9f50af2b640c24de8c59307d91de421e1bcf7	0	estimated
phase15_reference_models_v1	astrocytes	0	fold_2	2	sex_APOE_stratumMale__e33	0.0251125162430054	10	103	113	a5a8ccf0e19bd3dfa99d175cc0b9f50af2b640c24de8c59307d91de421e1bcf7	0	estimated
phase15_reference_models_v1	astrocytes	0	fold_2	2	sex_APOE_stratumMale__e4	0.0332133212684095	10	103	113	a5a8ccf0e19bd3dfa99d175cc0b9f50af2b640c24de8c59307d91de421e1bcf7	0	estimated
phase15_reference_models_v1	astrocytes	0	fold_2	2	age_death_scaled	-0.0588118741029325	10	103	113	a5a8ccf0e19bd3dfa99d175cc0b9f50af2b640c24de8c59307d91de421e1bcf7	0	estimated
phase15_reference_models_v1	astrocytes	0	fold_2	2	pmi_scaled	0.0536432960805325	10	103	113	a5a8ccf0e19bd3dfa99d175cc0b9f50af2b640c24de8c59307d91de421e1bcf7	0	estimated
phase15_reference_models_v1	astrocytes	0	fold_2	2	studyROS	0.382692732603241	10	103	113	a5a8ccf0e19bd3dfa99d175cc0b9f50af2b640c24de8c59307d91de421e1bcf7	0	estimated
phase15_reference_models_v1	astrocytes	0	fold_3	3	(Intercept)	-0.105706524343091	10	103	113	a3f306a5787df6bbe091ba5ed82124ea62c69ea442fbcddf0b6cc4c9f5908eb1	0	estimated
phase15_reference_models_v1	astrocytes	0	fold_3	3	N	0.0681325197118657	10	103	113	a3f306a5787df6bbe091ba5ed82124ea62c69ea442fbcddf0b6cc4c9f5908eb1	0	estimated
phase15_reference_models_v1	astrocytes	0	fold_3	3	sex_APOE_stratumFemale__e33	-0.0813142545867118	10	103	113	a3f306a5787df6bbe091ba5ed82124ea62c69ea442fbcddf0b6cc4c9f5908eb1	0	estimated
phase15_reference_models_v1	astrocytes	0	fold_3	3	sex_APOE_stratumFemale__e4	0.315630069634434	10	103	113	a3f306a5787df6bbe091ba5ed82124ea62c69ea442fbcddf0b6cc4c9f5908eb1	0	estimated
phase15_reference_models_v1	astrocytes	0	fold_3	3	sex_APOE_stratumMale__e2	0.440105987506682	10	103	113	a3f306a5787df6bbe091ba5ed82124ea62c69ea442fbcddf0b6cc4c9f5908eb1	0	estimated
phase15_reference_models_v1	astrocytes	0	fold_3	3	sex_APOE_stratumMale__e33	-0.199063061626452	10	103	113	a3f306a5787df6bbe091ba5ed82124ea62c69ea442fbcddf0b6cc4c9f5908eb1	0	estimated
phase15_reference_models_v1	astrocytes	0	fold_3	3	sex_APOE_stratumMale__e4	0.0603635776032417	10	103	113	a3f306a5787df6bbe091ba5ed82124ea62c69ea442fbcddf0b6cc4c9f5908eb1	0	estimated
phase15_reference_models_v1	astrocytes	0	fold_3	3	age_death_scaled	-0.0994768445627289	10	103	113	a3f306a5787df6bbe091ba5ed82124ea62c69ea442fbcddf0b6cc4c9f5908eb1	0	estimated
phase15_reference_models_v1	astrocytes	0	fold_3	3	pmi_scaled	0.101166057551397	10	103	113	a3f306a5787df6bbe091ba5ed82124ea62c69ea442fbcddf0b6cc4c9f5908eb1	0	estimated
phase15_reference_models_v1	astrocytes	0	fold_3	3	studyROS	0.344234263236669	10	103	113	a3f306a5787df6bbe091ba5ed82124ea62c69ea442fbcddf0b6cc4c9f5908eb1	0	estimated
phase15_reference_models_v1	astrocytes	0	fold_4	4	(Intercept)	-0.222820517885939	10	104	114	c25dfee4af617ac90e64f8bc22e19cd67721dfdffeebf92ebaf843c7bc999cdc	0	estimated
phase15_reference_models_v1	astrocytes	0	fold_4	4	N	0.0035708143519274	10	104	114	c25dfee4af617ac90e64f8bc22e19cd67721dfdffeebf92ebaf843c7bc999cdc	0	estimated
phase15_reference_models_v1	astrocytes	0	fold_4	4	sex_APOE_stratumFemale__e33	0.0342238960743898	10	104	114	c25dfee4af617ac90e64f8bc22e19cd67721dfdffeebf92ebaf843c7bc999cdc	0	estimated
phase15_reference_models_v1	astrocytes	0	fold_4	4	sex_APOE_stratumFemale__e4	0.451327422145748	10	104	114	c25dfee4af617ac90e64f8bc22e19cd67721dfdffeebf92ebaf843c7bc999cdc	0	estimated
phase15_reference_models_v1	astrocytes	0	fold_4	4	sex_APOE_stratumMale__e2	-0.0672996443507261	10	104	114	c25dfee4af617ac90e64f8bc22e19cd67721dfdffeebf92ebaf843c7bc999cdc	0	estimated
phase15_reference_models_v1	astrocytes	0	fold_4	4	sex_APOE_stratumMale__e33	0.0556783034969484	10	104	114	c25dfee4af617ac90e64f8bc22e19cd67721dfdffeebf92ebaf843c7bc999cdc	0	estimated
phase15_reference_models_v1	astrocytes	0	fold_4	4	sex_APOE_stratumMale__e4	0.0954893050969211	10	104	114	c25dfee4af617ac90e64f8bc22e19cd67721dfdffeebf92ebaf843c7bc999cdc	0	estimated
