schema_version	context_id	module_id	pc1_success	pc1_failure_reason	nci_mean_z_pc1_correlation	variance_explained_pc1	pc1_reliable	omission_units	omission_sign_reversals	omission_fraction_retain_half_magnitude	most_influential_omission	stored_score_reconstruction_max_abs_error	mtdna_genes	nuclear_genes
phase15_score_reliability_v1	astrocytes	mtdna_oxphos_13	TRUE		0.997351186690964	0.756201487040433	TRUE	13	0	0.846153846153846	gene:MT-ND6	1.64313007644523e-14	13	86
phase15_score_reliability_v1	astrocytes	nuclear_oxphos_structural_86	TRUE		0.977174114176916	0.349113665245505	TRUE	5	0	0.6	complex_IV	1.64313007644523e-14	13	86
phase15_score_reliability_v1	excitatory_neurons	mtdna_oxphos_13	TRUE		0.997140688491182	0.769162937354508	TRUE	13	0	0.923076923076923	gene:MT-ND6	1.64313007644523e-14	13	86
phase15_score_reliability_v1	excitatory_neurons	nuclear_oxphos_structural_86	TRUE		0.99603805157347	0.639504629277498	TRUE	5	1	0.8	complex_II	1.64313007644523e-14	13	86
phase15_score_reliability_v1	inhibitory_neurons	mtdna_oxphos_13	TRUE		0.996806504675456	0.748546184461643	TRUE	13	0	1	gene:MT-ND2	1.64313007644523e-14	13	86
phase15_score_reliability_v1	inhibitory_neurons	nuclear_oxphos_structural_86	TRUE		0.995750752641785	0.555770402215137	TRUE	5	0	0.8	complex_I	1.64313007644523e-14	13	86
phase15_score_reliability_v1	immune_cells	mtdna_oxphos_13	TRUE		0.993640148953465	0.597392070023283	TRUE	13	0	1	gene:MT-ND6	1.64313007644523e-14	13	86
phase15_score_reliability_v1	immune_cells	nuclear_oxphos_structural_86	TRUE		0.945465686747791	0.207106866629797	TRUE	5	3	0.8	complex_I	1.64313007644523e-14	13	86
phase15_score_reliability_v1	opcs	mtdna_oxphos_13	TRUE		0.993223209089743	0.636738252519182	TRUE	13	0	1	gene:MT-ATP8	1.64313007644523e-14	13	86
phase15_score_reliability_v1	opcs	nuclear_oxphos_structural_86	TRUE		0.986453088632062	0.412476440162215	TRUE	5	0	1	complex_V	1.64313007644523e-14	13	86
phase15_score_reliability_v1	oligodendrocytes	mtdna_oxphos_13	TRUE		0.994949321683196	0.604129178636286	TRUE	13	0	0.846153846153846	gene:MT-ND6	1.64313007644523e-14	13	86
phase15_score_reliability_v1	oligodendrocytes	nuclear_oxphos_structural_86	TRUE		0.984631028815933	0.52997809863299	TRUE	5	0	1	complex_IV	1.64313007644523e-14	13	86
phase15_score_reliability_v1	vasculature	mtdna_oxphos_13	TRUE		0.999085180170822	0.702570018537702	TRUE	12	0	0.916666666666667	gene:MT-ND5	1.64313007644523e-14	13	86
phase15_score_reliability_v1	vasculature	nuclear_oxphos_structural_86	TRUE		0.994141836118957	0.361837041146158	TRUE	5	1	0.8	complex_I	1.64313007644523e-14	13	86
