schema_version	scope_id	context_id	endpoint_id	contrast_id	sensitivity_type	context_role	estimate	standard_error	ci_low	ci_high	p_value	model_status	failure_reason	repetition_id	primary_estimate	direction_retained	relative_magnitude	sensitivity_status	common_range_low	common_range_high	trimmed_donors	common_range_estimate	common_range_status	common_range_direction_retained	common_range_relative_magnitude	quadratic_contrast_estimate	quadratic_contrast_p_value	quadratic_shape_flag	slope_rewiring_observed	slope_sensitivity_pass
phase15_qc_normalization_v1	general	astrocytes	nci_reference_residual	general_equal_stratum_AD_minus_NCI	fifty_nucleus	primary_confirmatory	-0.00937765356947998	0.209479390355778	-0.42199632943375	0.40324102229479	0.964330063118005	estimated		NA	0.0683703036637361	FALSE	0.137159747243509	estimated	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
phase15_qc_normalization_v1	general	astrocytes	nci_reference_residual	general_equal_stratum_AD_minus_NCI	reference_fold_assignment	primary_confirmatory	0.0828347174846841	0.196768963439258	-0.304650103414936	0.470319538384304	0.674125526255646	estimated		48	0.0683703036637361	TRUE	1.21155988851663	estimated	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
phase15_qc_normalization_v1	general	astrocytes	nci_reference_residual	general_equal_stratum_AD_minus_NCI	reference_fold_assignment	primary_confirmatory	0.0725935454902543	0.200350164689317	-0.321943511192541	0.467130602173049	0.717400714157814	estimated		38	0.0683703036637361	TRUE	1.06177011948476	estimated	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
phase15_qc_normalization_v1	general	astrocytes	nci_reference_residual	general_equal_stratum_AD_minus_NCI	reference_fold_assignment	primary_confirmatory	0.0753949220655469	0.19433069353275	-0.307288366308239	0.458078210439333	0.698357705129199	estimated		25	0.0683703036637361	TRUE	1.10274370633718	estimated	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
phase15_qc_normalization_v1	general	astrocytes	nci_reference_residual	general_equal_stratum_AD_minus_NCI	reference_fold_assignment	primary_confirmatory	0.083105739761585	0.198972244990659	-0.308717865783813	0.474929345306983	0.676533460037461	estimated		12	0.0683703036637361	TRUE	1.21552392351981	estimated	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
phase15_qc_normalization_v1	general	astrocytes	nci_reference_residual	general_equal_stratum_AD_minus_NCI	reference_fold_assignment	primary_confirmatory	0.0566888926049742	0.190742615179966	-0.318928617337086	0.432306402547035	0.766553148529593	estimated		4	0.0683703036637361	TRUE	0.829144958661961	estimated	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
phase15_qc_normalization_v1	general	astrocytes	nci_reference_residual	general_equal_stratum_AD_minus_NCI	severe_QC_exclusion	primary_confirmatory	-0.018682242801175	0.192235967637266	-0.397298068349287	0.359933582746937	0.922658524535281	estimated		NA	0.0683703036637361	FALSE	0.273250838449678	estimated	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
phase15_qc_normalization_v1	general	astrocytes	nci_reference_residual	general_equal_stratum_AD_minus_NCI	reference_fold_assignment	primary_confirmatory	0.0771786681095452	0.193312662311908	-0.303499875011824	0.457857211230914	0.690045947015529	estimated		20	0.0683703036637361	TRUE	1.12883319180694	estimated	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
phase15_qc_normalization_v1	general	astrocytes	nci_reference_residual	general_equal_stratum_AD_minus_NCI	reference_fold_assignment	primary_confirmatory	0.0686568662955523	0.195764412672822	-0.316849755567932	0.454163488159037	0.726091959877155	estimated		7	0.0683703036637361	TRUE	1.00419133185697	estimated	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
phase15_qc_normalization_v1	general	astrocytes	nci_reference_residual	general_equal_stratum_AD_minus_NCI	reference_fold_assignment	primary_confirmatory	0.0678874937846799	0.189649851256922	-0.305578104465591	0.441353092034951	0.72066536279987	estimated		41	0.0683703036637361	TRUE	0.992938310155374	estimated	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
