schema_version	scope_id	context_id	endpoint_id	contrast_id	primary_estimate	bootstrap_planned	bootstrap_successful	bootstrap_median	bootstrap_ci_low	bootstrap_ci_high	bootstrap_same_direction_fraction	bootstrap_pass	balance_planned	balance_successful	balance_same_direction_fraction	balance_pass	loo_planned	loo_successful	loo_sign_reversals	loo_largest_absolute_change	loo_largest_change_donor	loo_pass	stability_pass
phase15_general_stability_v1	general	astrocytes	standardized_difference	general_equal_stratum_AD_minus_NCI	0.224421741513251	1000	1000	0.216643267139843	-0.197997301421354	0.665172099222873	0.859	TRUE	1000	1000	0.945	TRUE	276	276	0	0.0759340263021832	10102206	TRUE	TRUE
phase15_general_stability_v1	general	astrocytes	nci_reference_residual	general_equal_stratum_AD_minus_NCI	0.0683703036637361	1000	1000	0.066265601053192	-0.263401701383707	0.406821103968547	0.666	FALSE	1000	1000	0.86	TRUE	276	276	0	0.0785627352876265	50102114	TRUE	FALSE
phase15_general_stability_v1	general	astrocytes	coupling_slope_change	general_equal_stratum_AD_minus_NCI	0.0988886269175117	1000	995	0.0840996248148523	-0.35208398139091	0.692557445893633	0.673366834170854	FALSE	1000	1000	0.802	TRUE	276	276	0	0.0978472688402487	34726040	TRUE	FALSE
phase15_general_stability_v1	general	excitatory_neurons	standardized_difference	general_equal_stratum_AD_minus_NCI	0.275728846717872	1000	1000	0.279919144991085	-0.179353096537951	0.766798292048745	0.89	TRUE	1000	1000	0.994	TRUE	276	276	0	0.09520963187967	66406040	TRUE	TRUE
phase15_general_stability_v1	general	excitatory_neurons	nci_reference_residual	general_equal_stratum_AD_minus_NCI	0.214232448047023	1000	1000	0.195263074962412	-0.115729807693635	0.512267080587359	0.895	TRUE	1000	1000	0.997	TRUE	276	276	0	0.0632266294084483	66406040	TRUE	TRUE
phase15_general_stability_v1	general	excitatory_neurons	coupling_slope_change	general_equal_stratum_AD_minus_NCI	0.0290144646666473	1000	997	0.0326210599481824	-0.317665013841186	0.427930782107444	0.579739217652959	FALSE	1000	1000	0.677	FALSE	276	276	3	0.0516582745662668	34726040	FALSE	FALSE
phase15_general_stability_v1	general	inhibitory_neurons	standardized_difference	general_equal_stratum_AD_minus_NCI	0.199453704891536	1000	1000	0.207967980743329	-0.222777462715309	0.674244876746831	0.829	TRUE	1000	1000	0.975	TRUE	276	276	0	0.0920019110295907	50102114	TRUE	TRUE
phase15_general_stability_v1	general	inhibitory_neurons	nci_reference_residual	general_equal_stratum_AD_minus_NCI	0.140118971778829	1000	1000	0.12750384648929	-0.184127066908272	0.433469701841028	0.803	TRUE	1000	1000	0.967	TRUE	276	276	0	0.0427821793580797	50102114	TRUE	TRUE
phase15_general_stability_v1	general	inhibitory_neurons	coupling_slope_change	general_equal_stratum_AD_minus_NCI	0.23418519979293	1000	997	0.214378109509581	-0.14347252331288	0.574818099587286	0.899699097291876	TRUE	1000	1000	0.944	TRUE	276	276	0	0.105554665201079	34726040	TRUE	TRUE
phase15_general_stability_v1	general	immune_cells	standardized_difference	general_equal_stratum_AD_minus_NCI	0.211638355899561	1000	1000	0.213138012026744	-0.217337650547832	0.722387064984874	0.832	TRUE	1000	1000	0.929	TRUE	276	276	0	0.138621622448769	34726040	TRUE	TRUE
phase15_general_stability_v1	general	immune_cells	nci_reference_residual	general_equal_stratum_AD_minus_NCI	0.203131255314714	1000	995	0.177980814510686	-0.154323153960452	0.532917310724624	0.862311557788945	TRUE	1000	1000	0.973	TRUE	276	276	0	0.0662319633558613	50400835	TRUE	TRUE
phase15_general_stability_v1	general	immune_cells	coupling_slope_change	general_equal_stratum_AD_minus_NCI	0.194832396175474	1000	922	0.228135365054473	-0.307698119012075	0.698834001653959	0.819956616052061	FALSE	1000	1000	0.896	TRUE	276	276	0	0.159203227928019	51826377	TRUE	FALSE
phase15_general_stability_v1	general	opcs	standardized_difference	general_equal_stratum_AD_minus_NCI	0.136352321023657	1000	1000	0.139183140109999	-0.335896577914144	0.660445580521772	0.727	FALSE	1000	1000	0.833	TRUE	276	276	0	0.119658802236667	34726040	TRUE	FALSE
phase15_general_stability_v1	general	opcs	nci_reference_residual	general_equal_stratum_AD_minus_NCI	0.0678673275262275	1000	995	0.0621138023735082	-0.305598798993972	0.423340036533896	0.646231155778894	FALSE	1000	1000	0.799	FALSE	276	276	1	0.0850867499686547	50400835	FALSE	FALSE
phase15_general_stability_v1	general	opcs	coupling_slope_change	general_equal_stratum_AD_minus_NCI	-0.0106685123641794	1000	930	-0.0219539745829315	-0.427345786296032	0.396837504310926	0.547311827956989	FALSE	1000	1000	0.485	FALSE	276	276	85	0.0925468828522204	34726040	FALSE	FALSE
phase15_general_stability_v1	general	oligodendrocytes	standardized_difference	general_equal_stratum_AD_minus_NCI	0.0403784170913413	1000	1000	0.0632065465953879	-0.44815659289296	0.553739685894306	0.587	FALSE	1000	1000	0.563	FALSE	276	276	6	0.116399867990346	34726040	FALSE	FALSE
phase15_general_stability_v1	general	oligodendrocytes	nci_reference_residual	general_equal_stratum_AD_minus_NCI	-0.150970522763799	1000	1000	-0.133531500367569	-0.456069396670552	0.163241090392236	0.828	TRUE	1000	1000	0.939	TRUE	276	276	0	0.0590395716763659	11399871	TRUE	TRUE
phase15_general_stability_v1	general	oligodendrocytes	coupling_slope_change	general_equal_stratum_AD_minus_NCI	-0.249089627177135	1000	997	-0.222564827329038	-0.678999646635845	0.283911765637027	0.83851554663992	TRUE	1000	1000	0.947	TRUE	276	276	0	0.180813113696145	20288196	TRUE	TRUE
phase15_general_stability_v1	general	vasculature	standardized_difference	general_equal_stratum_AD_minus_NCI	-0.186555498087158	1000	757	-0.169784706884429	-0.676695911125256	0.269257250192018	0.752972258916777	FALSE	1000	1000	0.939	TRUE	276	276	0	0.147864373191419	34726040	TRUE	FALSE
