schema_version	input_id	path	exists	bytes	sha256	usage
phase15_input_inventory_v1	phase15_config	/sc/arion/work/zhuane01/alzheimer/config/phase15_mitonuclear_coupling.yml	TRUE	4774	bfb5b797db46ea462b35f3f03a9a184ac3bc0ead45296ab2a36523c180038ad5	frozen_phase15_design
phase15_input_inventory_v1	phase13_config	/sc/arion/work/zhuane01/alzheimer/config/phase13_respiratory_modifier.yml	TRUE	7934	9dc208a386f8fea8179035b596411498cd325f39e788d5b7d722a6f07f9067ed	inherited_definitions
phase15_input_inventory_v1	local_module_members	/sc/arion/work/zhuane01/alzheimer/config/phase13_respiratory_modules.tsv	TRUE	55405	4c4f445687ccd86d6b84b27d98d16bc4586a84304932963449291812ef55dd33	local_membership_identity
phase15_input_inventory_v1	phase15_production_implementation	/sc/arion/work/zhuane01/alzheimer/scripts/15_run_mitonuclear_coupling_production.R	TRUE	84717	61fb89025406ec5cbebed333501fdb9f9a0c97c2ae6892de6869bdcd570fc129	production_implementation
phase15_input_inventory_v1	phase13_respiratory_analysis_manifest	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/13_respiratory_modifier/respiratory_analysis_manifest.tsv	TRUE	977	6112d01597ac787e4757395bd1ce3f818c4840f7002d09d013572656e554a132	validated_phase13_input
phase15_input_inventory_v1	phase13_respiratory_cell_context_manifest	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/13_respiratory_modifier/respiratory_cell_context_manifest.tsv	TRUE	839	dc01397475bbce1deb8140f7f381cfaac8f4cd20b44fddb3d4bfff363466e3bd	validated_phase13_input
phase15_input_inventory_v1	phase13_respiratory_contrast_manifest	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/13_respiratory_modifier/respiratory_contrast_manifest.tsv	TRUE	1883	a9b5ed5c62a90afd2b526bcb83d05b887df0c45a5cddf014d9b253842d972b13	validated_phase13_input
phase15_input_inventory_v1	phase13_respiratory_module_manifest	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/13_respiratory_modifier/respiratory_module_manifest.tsv	TRUE	1014	55e58b749e4a4d4a1cbcb5a830c49a60db161e7d30a144dea0204f94cb750077	validated_phase13_input
phase15_input_inventory_v1	phase13_respiratory_module_members	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/13_respiratory_modifier/respiratory_module_members.tsv	TRUE	55405	4c4f445687ccd86d6b84b27d98d16bc4586a84304932963449291812ef55dd33	validated_phase13_input
phase15_input_inventory_v1	phase13_respiratory_donor_samples	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/13_respiratory_modifier/respiratory_donor_samples.tsv.gz	TRUE	117861	a7590a0197d8ff09ef1a02e7cf6f3bef955f4b75af08241ec3d1b45d68f216cd	validated_phase13_input
phase15_input_inventory_v1	phase13_respiratory_pseudobulk_counts	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/13_respiratory_modifier/respiratory_pseudobulk_counts.rds	TRUE	150280172	8b6da34c2dc83d546b4c2cf3cb8564e597e64ce311822119b8f93a6c834faa97	validated_phase13_input
phase15_input_inventory_v1	phase13_respiratory_expression_bundle	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/13_respiratory_modifier/respiratory_expression_bundle.rds	TRUE	87262617	4999ac90ac73a938cdd5cafcb4865416a15f94df920914cbdd700d694b8fb648	validated_phase13_input
phase15_input_inventory_v1	phase13_respiratory_module_coverage	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/13_respiratory_modifier/respiratory_module_coverage.tsv	TRUE	27491	6e4523e334e8005d9c4b915b51202789b9fe01876ae8c3e63b67a7fb77587c4e	validated_phase13_input
phase15_input_inventory_v1	phase13_respiratory_nci_reference_parameters	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/13_respiratory_modifier/respiratory_nci_reference_parameters.tsv.gz	TRUE	46726	1716f1a80c9302bac3927d18fb11b0bd264338ad79814803b0ac0a6d1f220e50	validated_phase13_input
phase15_input_inventory_v1	phase13_respiratory_donor_module_scores	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/13_respiratory_modifier/respiratory_donor_module_scores.tsv.gz	TRUE	276618	94471610265f656fa0833af7ef7dd80c364d76f66776698346256b36d0d97d8a	validated_phase13_input
phase15_input_inventory_v1	phase13_respiratory_pc1_loadings	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/13_respiratory_modifier/respiratory_pc1_loadings.tsv.gz	TRUE	44121	6dbbb3bc5017b063465b251be1b3ed24dfe3a586590cd9a4900bb26565ab26e4	validated_phase13_input
phase15_input_inventory_v1	phase13_respiratory_module_reliability	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/13_respiratory_modifier/respiratory_module_reliability.tsv	TRUE	4318	8ed5ef0918ee2d6059be74d2690e8b0d4d09f1c57719a64799ad7d01e5243979	validated_phase13_input
phase15_input_inventory_v1	phase13_respiratory_module_results	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/13_respiratory_modifier/respiratory_module_results.tsv	TRUE	102621	326ebdcc995be6dadb68af354b14b11ebb60a40cf60531a368ccf77c7f25f74c	validated_phase13_input
phase15_input_inventory_v1	phase13_respiratory_gate_decisions	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/13_respiratory_modifier/respiratory_gate_decisions.tsv	TRUE	205576	442be9981ab129ab272fbadb4fbc78f72d7a9cd4ff1ee7fd95cdb3557f8c59aa	validated_phase13_input
phase15_input_inventory_v1	phase13_respiratory_checks	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/13_respiratory_modifier/respiratory_checks.tsv	TRUE	10030	da9dc74f525aa3946de6f4026930c2c5326aa9b66d79c2ff2e8ff180a1079787	validated_phase13_input
phase15_input_inventory_v1	phase13_respiratory_artifacts	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/13_respiratory_modifier/respiratory_artifacts.tsv	TRUE	10498	e654b4e491feb4f19feed10c9f54c713cc1ef09999b5c9263375c75079d08a85	validated_phase13_input
phase15_input_inventory_v1	phase13_respiratory_status	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/13_respiratory_modifier/respiratory_status.tsv	TRUE	1398	1502f0c003a9df63fec57e784da9d3eb64d6d925847bc6c0af2d58ec340e3d03	validated_phase13_input
