schema_version	context_id	group_id	donors	minimum_nuclei	eligible_20	eligible_50	mtdna_coverage_pass	nuclear_coverage_pass	nuclear_variance	nuclear_distinct_values
phase15_donor_eligibility_v1	astrocytes	NCI__Female__e2	17	22	17	16	TRUE	TRUE	1.50307617125406	17
phase15_donor_eligibility_v1	astrocytes	AD__Female__e2	7	52	7	7	TRUE	TRUE	1.97702000691285	7
phase15_donor_eligibility_v1	astrocytes	NCI__Female__e33	45	46	45	44	TRUE	TRUE	0.702683960698284	45
phase15_donor_eligibility_v1	astrocytes	AD__Female__e33	37	52	37	37	TRUE	TRUE	0.886745741541434	37
phase15_donor_eligibility_v1	astrocytes	NCI__Female__e4	11	183	11	11	TRUE	TRUE	0.490359760111859	11
phase15_donor_eligibility_v1	astrocytes	AD__Female__e4	26	34	26	25	TRUE	TRUE	1.34105042019775	26
phase15_donor_eligibility_v1	astrocytes	NCI__Male__e2	6	40	6	5	TRUE	TRUE	2.9389152357203	6
phase15_donor_eligibility_v1	astrocytes	AD__Male__e2	7	36	7	6	TRUE	TRUE	0.677371433824105	7
phase15_donor_eligibility_v1	astrocytes	NCI__Male__e33	53	23	53	50	TRUE	TRUE	1.07507701412167	53
phase15_donor_eligibility_v1	astrocytes	AD__Male__e33	28	25	28	25	TRUE	TRUE	2.24155958471671	28
phase15_donor_eligibility_v1	astrocytes	NCI__Male__e4	10	42	10	9	TRUE	TRUE	0.767366218996309	10
phase15_donor_eligibility_v1	astrocytes	AD__Male__e4	25	31	25	24	TRUE	TRUE	0.458593285401382	25
phase15_donor_eligibility_v1	excitatory_neurons	NCI__Female__e2	17	452	17	17	TRUE	TRUE	1.80076436754199	17
phase15_donor_eligibility_v1	excitatory_neurons	AD__Female__e2	8	302	8	8	TRUE	TRUE	3.99855769992377	8
phase15_donor_eligibility_v1	excitatory_neurons	NCI__Female__e33	45	257	45	45	TRUE	TRUE	0.474097399459353	45
phase15_donor_eligibility_v1	excitatory_neurons	AD__Female__e33	37	147	37	37	TRUE	TRUE	0.561914705828685	37
phase15_donor_eligibility_v1	excitatory_neurons	NCI__Female__e4	11	746	11	11	TRUE	TRUE	0.325790491338231	11
phase15_donor_eligibility_v1	excitatory_neurons	AD__Female__e4	26	21	26	25	TRUE	TRUE	1.01136202484726	26
phase15_donor_eligibility_v1	excitatory_neurons	NCI__Male__e2	6	590	6	6	TRUE	TRUE	2.07774770856556	6
phase15_donor_eligibility_v1	excitatory_neurons	AD__Male__e2	7	377	7	7	TRUE	TRUE	1.01238695792388	7
phase15_donor_eligibility_v1	excitatory_neurons	NCI__Male__e33	53	184	53	53	TRUE	TRUE	1.03107464066563	53
