schema_version	artifact_file	artifact_role	path	records	bytes	sha256	validation_status
phase15_artifacts_v1	mitonuclear_stability_replicates.tsv.gz	scientific	results/minerva_production/15_mitonuclear_coupling/mitonuclear_stability_replicates.tsv.gz	382368	9542998	89f5d61bd2e2127b18cdd7b734af4854eea11075ba2bd2409607b2acdc28d3f3	validated_complete
phase15_artifacts_v1	mitonuclear_general_stability_summary.tsv	scientific	results/minerva_production/15_mitonuclear_coupling/mitonuclear_general_stability_summary.tsv	21	6271	5d713f7c8eb1173da2f1c754629d2c3276b2db46264e03abb6cef742b4b63502	validated_complete
phase15_artifacts_v1	mitonuclear_modifier_stability_summary.tsv	scientific	results/minerva_production/15_mitonuclear_coupling/mitonuclear_modifier_stability_summary.tsv	147	39661	78c3a062294571423b3ac8d6a508376932a8b16cb68b87f8b638bdcf0d13889c	validated_complete
phase15_artifacts_v1	mitonuclear_gene_complex_influence.tsv	scientific	results/minerva_production/15_mitonuclear_coupling/mitonuclear_gene_complex_influence.tsv	3864	793977	dd34546fe34e1e05549cb71e0dd08b933cade783603ebae5e071c3f46d16d2eb	validated_complete
phase15_artifacts_v1	mitonuclear_qc_normalization_sensitivity.tsv	scientific	results/minerva_production/15_mitonuclear_coupling/mitonuclear_qc_normalization_sensitivity.tsv	4200	1390264	b563ab43d709999e9ae573f8b0c4e378614c49ae8e06a0ce917ba85c9dd9321b	validated_complete
phase15_artifacts_v1	mitonuclear_general_gate_decisions.tsv	scientific	results/minerva_production/15_mitonuclear_coupling/mitonuclear_general_gate_decisions.tsv	7	1204	442e27949a41fd8b7ff5207d58f1fa86c1f6bf0454da02519cd73d1d514a4af0	validated_complete
phase15_artifacts_v1	mitonuclear_modifier_gate_decisions.tsv	scientific	results/minerva_production/15_mitonuclear_coupling/mitonuclear_modifier_gate_decisions.tsv	49	6585	e89cff3c5e7a4bbd2988f68fa4f40d5cb113b7a848d2db244a3695a32c6d7590	validated_complete
phase15_artifacts_v1	mitonuclear_claim_summary.tsv	scientific	results/minerva_production/15_mitonuclear_coupling/mitonuclear_claim_summary.tsv	6	709	79a2fb7c7d50fff94ec93a0aa52d6b4f6021b6db922aaa832adb15df482aadba	validated_complete
phase15_artifacts_v1	mitonuclear_figure_data.tsv.gz	scientific	results/minerva_production/15_mitonuclear_coupling/mitonuclear_figure_data.tsv.gz	4039	92860	b9877305d2574cbbfc2bb3d71b2852a0e66dc0877ee9a911fc78c0f362963ded	validated_complete
phase15_artifacts_v1	mitonuclear_stage_status.tsv	control	results/minerva_production/15_mitonuclear_coupling/mitonuclear_stage_status.tsv	7	833	e36261f6acfbdc26a8206c2734855de492228f7a572979b2cc3e3be937bbf672	validated_complete
phase15_artifacts_v1	mitonuclear_checks.tsv	control	results/minerva_production/15_mitonuclear_coupling/mitonuclear_checks.tsv	21	1578	18053d70d783aa69d4c371bff03ac1fc48ea4a413d956c8c54883919ced206a6	validated_complete
