record_type	test_id	context_id	context_order	contrast_id	contrast_order	module_id	module_order	check_id	check_label	check_order	passed	eligibility_status	scientific_status	schema_version	pc1_success	pc1_failure_reason	nci_mean_z_pc1_correlation	variance_explained_pc1	pc1_reliable	omission_units	omission_sign_reversals	omission_fraction_retain_half_magnitude	most_influential_omission
stability_check	astrocytes::sex_F_minus_M__e2::mtdna_oxphos_13	astrocytes	1	sex_F_minus_M__e2	1	mtdna_oxphos_13	1	bootstrap_direction_pass	Bootstrap	1	FALSE	eligible	inconclusive	phase13_stability_atlas_plot_v1	NA	NA	NA	NA	NA	NA	NA	NA	NA
stability_check	astrocytes::sex_F_minus_M__e33::mtdna_oxphos_13	astrocytes	1	sex_F_minus_M__e33	2	mtdna_oxphos_13	1	bootstrap_direction_pass	Bootstrap	1	FALSE	eligible	inconclusive	phase13_stability_atlas_plot_v1	NA	NA	NA	NA	NA	NA	NA	NA	NA
stability_check	astrocytes::sex_F_minus_M__e4::mtdna_oxphos_13	astrocytes	1	sex_F_minus_M__e4	3	mtdna_oxphos_13	1	bootstrap_direction_pass	Bootstrap	1	FALSE	eligible	inconclusive	phase13_stability_atlas_plot_v1	NA	NA	NA	NA	NA	NA	NA	NA	NA
stability_check	astrocytes::apoe_e2_minus_e33__Female::mtdna_oxphos_13	astrocytes	1	apoe_e2_minus_e33__Female	4	mtdna_oxphos_13	1	bootstrap_direction_pass	Bootstrap	1	TRUE	eligible	inconclusive	phase13_stability_atlas_plot_v1	NA	NA	NA	NA	NA	NA	NA	NA	NA
stability_check	astrocytes::apoe_e2_minus_e33__Male::mtdna_oxphos_13	astrocytes	1	apoe_e2_minus_e33__Male	5	mtdna_oxphos_13	1	bootstrap_direction_pass	Bootstrap	1	TRUE	eligible	inconclusive	phase13_stability_atlas_plot_v1	NA	NA	NA	NA	NA	NA	NA	NA	NA
stability_check	astrocytes::apoe_e4_minus_e33__Female::mtdna_oxphos_13	astrocytes	1	apoe_e4_minus_e33__Female	6	mtdna_oxphos_13	1	bootstrap_direction_pass	Bootstrap	1	TRUE	eligible	inconclusive	phase13_stability_atlas_plot_v1	NA	NA	NA	NA	NA	NA	NA	NA	NA
stability_check	astrocytes::apoe_e4_minus_e33__Male::mtdna_oxphos_13	astrocytes	1	apoe_e4_minus_e33__Male	7	mtdna_oxphos_13	1	bootstrap_direction_pass	Bootstrap	1	FALSE	eligible	inconclusive	phase13_stability_atlas_plot_v1	NA	NA	NA	NA	NA	NA	NA	NA	NA
stability_check	astrocytes::sex_F_minus_M__e2::nuclear_oxphos_structural_86	astrocytes	1	sex_F_minus_M__e2	1	nuclear_oxphos_structural_86	2	bootstrap_direction_pass	Bootstrap	1	TRUE	eligible	inconclusive	phase13_stability_atlas_plot_v1	NA	NA	NA	NA	NA	NA	NA	NA	NA
stability_check	astrocytes::sex_F_minus_M__e33::nuclear_oxphos_structural_86	astrocytes	1	sex_F_minus_M__e33	2	nuclear_oxphos_structural_86	2	bootstrap_direction_pass	Bootstrap	1	FALSE	eligible	inconclusive	phase13_stability_atlas_plot_v1	NA	NA	NA	NA	NA	NA	NA	NA	NA
stability_check	astrocytes::sex_F_minus_M__e4::nuclear_oxphos_structural_86	astrocytes	1	sex_F_minus_M__e4	3	nuclear_oxphos_structural_86	2	bootstrap_direction_pass	Bootstrap	1	FALSE	eligible	inconclusive	phase13_stability_atlas_plot_v1	NA	NA	NA	NA	NA	NA	NA	NA	NA
