PIGC	TMPRSS11D
PIGC	DIMT1
PIGC	UST-AS1
PIGC	SHOC1
PIGC	G2E3-AS1
PIGC	UCKL1
GAS5	TMEM18
GAS5	VAMP5
GAS5	CDC37
CACYBP	HIST2H2BF
CACYBP	HSPE1
KIAA0040	RELL1
KIAA0040	TNFRSF11B
ANGPTL1	CDKN2AIPNL
APOBEC4	DCDC1
PDC	GBP2
PDC	NGF-AS1
PDC	MMP21
PDC	C12orf56
PDC	TRMT2B-AS1
INAVA	KCNN2
TMEM9	SDR39U1
IPO9-AS1	LINC02777
IPO9-AS1	NOSTRIN
IPO9-AS1	SUMF1
IPO9-AS1	BTD
IPO9-AS1	LRTM1
IPO9-AS1	CP
IPO9-AS1	APOBEC2
IPO9-AS1	EYS
IPO9-AS1	LRP4-AS1
IPO9-AS1	FAM186A
IPO9-AS1	FAM227B
IPO9-AS1	LINC01572
IPO9-AS1	LINC02003
SHISA4	TSC22D4
SHISA4	PPP1R14B
SHISA4	TRAPPC1
GPR37L1	SAPCD2
GPR37L1	ASIC1
PRELP	OPTC
PRELP	GABRR1
SNRPE	DEDD
SNRPE	TMEM70
CR1L	ABRAXAS1
KCNH1	CAMK2D
LYPLAL1-AS1	TMEM213
LYPLAL1-AS1	CALB1
LYPLAL1-AS1	GIHCG
LYPLAL1-AS1	TSHR
LYPLAL1-AS1	DNAH3
LYPLAL1-AS1	SLC47A2
DEGS1	TRAPPC4
PYCR2	RPL22L1
PYCR2	USE1
H3F3A	SBDS
H3F3A	SRI
H3F3A	ARL6IP1
H3F3A	HNRNPH2
LINC01703	SDR42E2
ACBD3-AS1	XRCC3
C1orf35	ROGDI
MRPL55	GLMP
MRPL55	SLC25A22
IRF2BP2	PLEKHF2
IRF2BP2	TTC12
GGPS1	COX17
ACTN2	EMP1
RYR2	ST6GALNAC5
RYR2	TENM3
RYR2	CDH9
RYR2	KCNQ5
RYR2	LINGO2
RYR2	DCLK1
RYR2	NRXN3
RYR2	FRMPD4
CATSPERE	BDNF-AS
KIF26B-AS1	KAZN-AS1
KIF26B-AS1	VSIG8
KIF26B-AS1	FN1
KIF26B-AS1	KHDC1
KIF26B-AS1	TYMP
OR2L5	OR2L2
OR2M4	OR2L5
OR2M4	OR2L2
OR2M4	OR2L3
RPS7	RPL5
RPS7	GNL3
RPS7	COPS6
RPS7	RPS15A
RPS7	ATP6AP2
RNF144A	ZBTB18
RNF144A	LINC02058
RNF144A	CRTAC1
RNF144A	BLOC1S2
RNF144A	GRIA4
RNF144A	TMEM272
RNF144A	DOCK9
RNF144A	ZNF469
RNF144A	PLXDC1
RNF144A	HAP1
RNF144A	MAP2K6
ID2	TCAF2
VSNL1	CREG2
VSNL1	ENC1
VSNL1	CAMK2A
VSNL1	NECAB1
VSNL1	PLS3
LAPTM4A	PNMA2
FKBP1B	SLC25A21-AS1
NCOA1	AHCYL1
NCOA1	TRIM56
NCOA1	ANKRD10-IT1
NCOA1	ACAN
CENPO	SLC1A6
CENPO	TMEM187
DRC1	SLC26A4-AS1
AGBL5	AC016747.2
AGBL5	LTB
AGBL5	WDR93
OST4	SRSF8
ATRAID	PSENEN
CRIM1-DT	DUSP23
CRIM1-DT	PP2D1
CDKL4	ACTA2-AS1
SLC8A1-AS1	MCFD2
SLC8A1-AS1	CNTN4-AS2
SLC8A1-AS1	ANKUB1
SLC8A1-AS1	FGF12-AS3
SLC8A1-AS1	POLR1C
SLC8A1-AS1	PDCD2
SLC8A1-AS1	DOCK4-AS1
SLC8A1-AS1	ATP6V1D
SLC8A1-AS1	PAXBP1-AS1
MCFD2	TCTA
MCFD2	MRPL54
KCNK12	CNIH2
KCNK12	ZNF584
AC009975.1	STON1-GTF2A1L
AC009975.1	FSHR
FSHR	LHCGR
CHAC2	AP4B1-AS1
CHAC2	CAV3
CHAC2	OPA1-AS1
CHAC2	DNAJC2
MDH1	PSMG1
ANKRD53	LINC02576
SPR	HEXD-IT1
PRADC1	AGPAT1
INO80B	FBL
MOGS	FAHD2A
MOGS	PCDHB4
TACR1	IGSF22
MRPL19	TCEAL6
TMSB10	MRPL20
TMSB10	CALY
ATOH8	NBAT1
COX5B	SSR2
COX5B	SF3B5
COX5B	CLEC2D
COX5B	NDUFA3
TXNDC9	ZNF829
TXNDC9	ASIP
NPAS2	NUMBL
MFSD9	LINC01562
MFSD9	STON2
LINC01102	KCNMB2
LINC01103	MMP19
ST6GAL2	ADD3-AS1
MIR4435-2HG	YPEL4
PAX8-AS1	PAX8
AC017074.1	MGAM
LINC01191	PRSS27
DDX18	EMG1
DDX18	N4BP2L2-IT2
DDX18	DDX24
DDX18	CTU2
C1QL2	CTSF
C1QL2	TXN2
DBI	PSMB10
GPR17	SIRT2
CCDC115	SEPHS2
NCKAP5-AS1	LNX1-AS1
NCKAP5-AS1	GPC6-AS1
NCKAP5-AS1	ITPK1-AS1
NCKAP5-AS1	USHBP1
ACMSD	ERI2
LINC01931	FGL2
LINC01931	PLPP6
AC009227.1	NAALADL2-AS3
AC009227.1	CCNE2
TBR1	IGF1
KCNH7	DAPK1
TTC21B-AS1	NCBP2AS2
TTC21B-AS1	LINC02294
SCN1A-AS1	GJB7
