node_order	source_symbol
0	LINC01128
1	LINC00115
2	FAM41C
3	NOC2L
4	KLHL17
5	HES4
6	ISG15
7	B3GALT6
8	LINC01786
9	SCNN1D
10	PUSL1
11	CPTP
12	AURKAIP1
13	MRPL20-AS1
14	MRPL20
15	ANKRD65
16	VWA1
17	ATAD3C
18	ATAD3B
19	ATAD3A
20	TMEM240
21	SSU72
22	FNDC10
23	MMP23B
24	CDK11B
25	CDK11A
26	CFAP74
27	GABRD
28	MORN1
29	PEX10
30	PLCH2
31	PANK4
32	HES5
33	TNFRSF14
34	PRXL2B
35	TTC34
36	PRDM16-DT
37	PRDM16
38	MEGF6
39	TPRG1L
40	WRAP73
41	TP73
42	DFFB
43	C1orf174
44	AJAP1
45	KCNAB2
46	CHD5
47	RPL22
48	RNF207
49	ICMT
50	GPR153
51	HES2
52	TNFRSF25
53	PLEKHG5
54	TAS1R1
55	ZBTB48
56	KLHL21
57	PHF13
58	THAP3
59	CAMTA1-DT
60	AL512330.1
61	PARK7
62	SLC45A1
63	RERE-AS1
64	ENO1
65	SLC2A5
66	GPR157
67	MIR34AHG
68	LNCTAM34A
69	SPSB1
70	LINC02606
71	TMEM201
72	PIK3CD
73	NMNAT1
74	RBP7
75	PGD
76	CENPS
77	CORT
78	CASZ1
79	MASP2
80	SRM
81	MTOR-AS1
82	ANGPTL7
83	DISP3
84	FBXO2
85	FBXO6
86	MAD2L2
87	DRAXIN
88	AGTRAP
89	NPPA
90	PLOD1
91	MIIP
92	TNFRSF1B
93	DHRS3
94	LRRC38
95	PDPN
96	KAZN-AS1
97	TMEM51-AS1
98	TMEM51
99	C1orf195
100	FHAD1
101	EFHD2
102	CELA2B
103	AGMAT
104	SLC25A34
105	FBLIM1
106	UQCRHL
107	ZBTB17
108	FAM131C
109	ARHGEF19
110	SPATA21
111	NECAP2
112	LINC01772
113	NBPF1
114	CROCC
115	PADI2
116	IGSF21-AS1
117	ALDH4A1
118	IFFO2
119	MRTO4
120	AKR7A3
121	AKR7A2
122	SLC66A1
123	MICOS10
124	NBL1
125	TMCO4
126	OTUD3
127	UBXN10
128	LINC01141
129	CAMK2N1
130	MUL1
131	PINK1
132	PINK1-AS
133	DDOST
134	KIF17
135	SH2D5
136	HP1BP3
137	ECE1
138	ALPL
139	RAP1GAP
140	HSPG2
141	LINC00339
142	CDC42-AS1
143	CDC42-IT1
144	WNT4
145	ZBTB40
146	C1QC
147	C1QB
148	EPHB2
149	ZNF436
150	ZNF436-AS1
151	TCEA3
152	ASAP3
153	RPL11
154	ELOA-AS1
155	LYPLA2
156	GALE
157	FUCA1
158	CNR2
159	PNRC2
160	IFNLR1
161	LINC02800
162	STPG1
163	RCAN3
164	CLIC4
165	SYF2
166	RHD
167	RHCE
168	LDLRAP1
169	MTFR1L
170	AUNIP
171	PAQR7
172	STMN1
173	PAFAH2
174	EXTL1
175	ZNF593
176	CNKSR1
177	CEP85
178	SH3BGRL3
179	UBXN11
180	HMGN2
181	RPS6KA1
182	PIGV
183	ZDHHC18
184	GPN2
185	GPATCH3
186	TRNP1
187	SLC9A1
188	MAP3K6
189	GPR3
190	IFI6
191	FAM76A
192	PPP1R8
193	THEMIS2
194	RPA2
195	XKR8
196	PTAFR
197	ATP5IF1
198	SESN2
199	MED18
200	RCC1
201	SNHG3
202	SNHG12
203	LINC01715
204	GMEB1
205	OPRD1
206	EPB41
207	MATN1
208	MATN1-AS1
209	LAPTM5
210	NKAIN1
211	FABP3
212	PEF1
213	SPOCD1
214	CCDC28B
215	IQCC
216	DCDC2B
217	TMEM234
218	EIF3I
219	MARCKSL1
220	TSSK3
221	FAM229A
222	SYNC
223	KIAA1522
224	FNDC5
225	HPCA
226	TMEM54
227	RNF19B
228	AZIN2
229	ZSCAN20
230	CSMD2-AS1
231	C1orf94
232	SMIM12
233	DLGAP3
234	TMEM35B
235	ZMYM4-AS1
236	NCDN
237	TFAP2E
238	C1orf216
239	CLSPN
240	ADPRHL2
241	SH3D21
242	STK40
243	LSM10
244	OSCP1
245	MRPS15
246	CSF3R
247	GRIK3
