schema_version	figure_id	case_id	atlas_display_order	current_symbol	network_order	broad_network	context_display_order	network_label	network_color	circle_displayed	within_case_rank	signature_direction	direction_label	direction_order	signature_group	group_label	group_order	column_order	eligible_query_count	usable_query_count	explicit_query_count	implicit_query_count	missing_query_count	coverage_fraction	conservative_support_count	support_fraction	stratum_acat_p	stratum_missing_as_one_acat_p	negative_log10_stratum_acat_p	capped_negative_log10_stratum_acat_p	cell_state
phase18_sex_apoe_non_mt_v1_plot_data_v1	phase18_sex_apoe_non_mt	non_mt_driver	1	RPL11	1	Astrocytes	1	Astrocytes	#009E73	TRUE	1	AD_down_mito	AD-down mitochondrial query	2	M_e33	APOE ε3/ε3	5	11	1	1	1	0	0	1.0	0	0.0	1.0	1.0	-0.0	-0.0	tested_zero_support
phase18_sex_apoe_non_mt_v1_plot_data_v1	phase18_sex_apoe_non_mt	non_mt_driver	1	RPL11	1	Astrocytes	1	Astrocytes	#009E73	TRUE	1	AD_down_mito	AD-down mitochondrial query	2	M_e4	APOE ε4	6	12	2	2	2	0	0	1.0	1	0.5	0.00022416712264326615	0.00022416712264326615	3.649428082649293	3.649428082649293	supporting_tested
phase18_sex_apoe_non_mt_v1_plot_data_v1	phase18_sex_apoe_non_mt	non_mt_driver	1	RPL11	2	Excitatory_neurons	2	Excitatory neurons	#E69F00	TRUE	1	AD_up_mito	AD-up mitochondrial query	1	F_e2	APOE ε2	1	1	12	12	10	2	0	1.0	5	0.4166666666666667	5.221867366293104e-12	5.221867366293104e-12	11.282174163309426	8.0	supporting_tested
phase18_sex_apoe_non_mt_v1_plot_data_v1	phase18_sex_apoe_non_mt	non_mt_driver	1	RPL11	2	Excitatory_neurons	2	Excitatory neurons	#E69F00	TRUE	1	AD_up_mito	AD-up mitochondrial query	1	F_e33	APOE ε3/ε3	2	2	13	13	9	4	0	1.0	1	0.07692307692307693	0.0003832628039561234	0.0003832628039561234	3.416503327420476	3.416503327420476	supporting_tested
phase18_sex_apoe_non_mt_v1_plot_data_v1	phase18_sex_apoe_non_mt	non_mt_driver	1	RPL11	2	Excitatory_neurons	2	Excitatory neurons	#E69F00	TRUE	1	AD_up_mito	AD-up mitochondrial query	1	F_e4	APOE ε4	3	3	2	2	1	1	0	1.0	0	0.0	0.26527551952923206	0.26527551952923206	0.5763028262480475	0.5763028262480475	tested_zero_support
phase18_sex_apoe_non_mt_v1_plot_data_v1	phase18_sex_apoe_non_mt	non_mt_driver	1	RPL11	2	Excitatory_neurons	2	Excitatory neurons	#E69F00	TRUE	1	AD_up_mito	AD-up mitochondrial query	1	M_e2	APOE ε2	4	4	12	12	6	6	0	1.0	0	0.0	0.0019544632149567118	0.0019544632149567118	2.708972499031506	2.708972499031506	tested_zero_support
phase18_sex_apoe_non_mt_v1_plot_data_v1	phase18_sex_apoe_non_mt	non_mt_driver	1	RPL11	2	Excitatory_neurons	2	Excitatory neurons	#E69F00	TRUE	1	AD_up_mito	AD-up mitochondrial query	1	M_e33	APOE ε3/ε3	5	5	8	8	3	5	0	1.0	1	0.125	0.0023084883267745597	0.0023084883267745597	2.6366723171839737	2.6366723171839737	supporting_tested
phase18_sex_apoe_non_mt_v1_plot_data_v1	phase18_sex_apoe_non_mt	non_mt_driver	1	RPL11	2	Excitatory_neurons	2	Excitatory neurons	#E69F00	TRUE	1	AD_up_mito	AD-up mitochondrial query	1	M_e4	APOE ε4	6	6	10	10	3	7	0	1.0	0	0.0	0.5689574271724172	0.5689574271724172	0.2449202289227068	0.2449202289227068	tested_zero_support
phase18_sex_apoe_non_mt_v1_plot_data_v1	phase18_sex_apoe_non_mt	non_mt_driver	1	RPL11	2	Excitatory_neurons	2	Excitatory neurons	#E69F00	TRUE	1	AD_down_mito	AD-down mitochondrial query	2	F_e2	APOE ε2	1	7	2	2	1	1	0	1.0	0	0.0	0.13686823727293393	0.13686823727293393	0.8636973259900961	0.8636973259900961	tested_zero_support
phase18_sex_apoe_non_mt_v1_plot_data_v1	phase18_sex_apoe_non_mt	non_mt_driver	1	RPL11	2	Excitatory_neurons	2	Excitatory neurons	#E69F00	TRUE	1	AD_down_mito	AD-down mitochondrial query	2	F_e33	APOE ε3/ε3	2	8	2	2	1	1	0	1.0	0	0.0	0.2595682993493045	0.2595682993493045	0.5857483483059197	0.5857483483059197	tested_zero_support
phase18_sex_apoe_non_mt_v1_plot_data_v1	phase18_sex_apoe_non_mt	non_mt_driver	1	RPL11	2	Excitatory_neurons	2	Excitatory neurons	#E69F00	TRUE	1	AD_down_mito	AD-down mitochondrial query	2	F_e4	APOE ε4	3	9	11	11	8	3	0	1.0	4	0.36363636363636365	8.811265094528869e-12	8.811265094528869e-12	11.054961732435988	8.0	supporting_tested
phase18_sex_apoe_non_mt_v1_plot_data_v1	phase18_sex_apoe_non_mt	non_mt_driver	1	RPL11	2	Excitatory_neurons	2	Excitatory neurons	#E69F00	TRUE	1	AD_down_mito	AD-down mitochondrial query	2	M_e2	APOE ε2	4	10	13	13	11	2	0	1.0	8	0.6153846153846154	8.928074433464802e-14	8.928074433464802e-14	13.049242197673042	8.0	supporting_tested
