SCNN1D	GALE
AURKAIP1	STOML2
TMEM240	TESK1
TMEM240	CSRP2
CFAP74	DMKN
CHD5	ADGRA1
CHD5	GALNT9
CHD5	CACNA1I
RPL22	CDC42EP2
PLEKHG5	CYP1B1-AS1
KLHL21	SS18L2
CAMTA1-DT	COMMD6
AL512330.1	VIL1
PARK7	SF3B6
ERRFI1	PMP2
ERRFI1	SPRY2
ERRFI1	SPRED1
RERE-AS1	LINC01103
RERE-AS1	CTBP1-AS
RERE-AS1	GNRHR
RERE-AS1	ACSM6
SLC2A5	CRISPLD1
LINC02606	MANEA-DT
RBP7	RAI1
RBP7	RAB11FIP4
RBP7	ZNF155
MASP2	AC011443.1
ANGPTL7	SLC27A5
LINC01772	KLF7-IT1
RCC2	STARD5
IGSF21	RERG
MICOS10	PRR7
MICOS10	DNPH1
MICOS10	ENDOG
PINK1	TMEM9
CDC42-AS1	NEU1
ZBTB40	KLRG1
ZBTB40	TENT4B
ZNF436-AS1	SNHG19
MDS2	C2CD4D-AS1
RPL11	SNAPIN
RPL11	TMEM179B
RPL11	TIMM8B
NCMAP	TMEM53
HMGN2	GTF2IRD2
HMGN2	MTMR2
HMGN2	KLRK1
HMGN2	GDPD1
HMGN2	EBF4
TRNP1	NEURL1
ATP5IF1	WDFY3-AS2
ATP5IF1	ESYT1
SESN2	CKS2
LINC01715	HIPK1-AS1
LINC01715	ETFBKMT
LINC01715	C17orf58
LINC01715	ANKRD54
OPRD1	C4orf50
OPRD1	UTRN
IQCC	DPCD
IQCC	SPI1
IQCC	CCDC157
MARCKSL1	KCNK12
MARCKSL1	MRPL35
MARCKSL1	MYLK
MARCKSL1	S100B
SYNC	KHDRBS3
YARS	MARS
HPCA	IFI6
HPCA	RNF208
RNF19B	BLID
AZIN2	LINC00174
ZSCAN20	FAP
ZSCAN20	ANXA2R
ZSCAN20	PCDH1
ZSCAN20	PSPH
ZSCAN20	SND1-IT1
ZSCAN20	PKIA
ZSCAN20	ITGB1-DT
ZSCAN20	SFXN2
