schema_version	background_id	comparison_order	comparison_id	analysis_universe	universe_role	ranking_eligible_feature_rows	mapped_feature_rows	mapped_unique_background_genes	background_size	unmapped_feature_count	unmapped_feature_ids	duplicate_symbol_collapses	phase10_results_sha256	validation_status
pathway_background_manifest_v1	female_vs_male_all_apoe::all_mito_related	1	female_vs_male_all_apoe	all_mito_related	inclusive_sensitivity	766	766	766	766	0		0	31d677d35beeb528841e8113d34644d401b5cddff1c5c3a772bc2ad085dc073a	validated_complete
pathway_background_manifest_v1	female_vs_male_all_apoe::core_mito	1	female_vs_male_all_apoe	core_mito	primary	700	700	700	700	0		0	31d677d35beeb528841e8113d34644d401b5cddff1c5c3a772bc2ad085dc073a	validated_complete
pathway_background_manifest_v1	e2_vs_e33_all_sexes::all_mito_related	2	e2_vs_e33_all_sexes	all_mito_related	inclusive_sensitivity	775	775	775	775	0		0	31d677d35beeb528841e8113d34644d401b5cddff1c5c3a772bc2ad085dc073a	validated_complete
pathway_background_manifest_v1	e2_vs_e33_all_sexes::core_mito	2	e2_vs_e33_all_sexes	core_mito	primary	708	708	708	708	0		0	31d677d35beeb528841e8113d34644d401b5cddff1c5c3a772bc2ad085dc073a	validated_complete
pathway_background_manifest_v1	e4_vs_e33_all_sexes::all_mito_related	3	e4_vs_e33_all_sexes	all_mito_related	inclusive_sensitivity	751	751	751	751	0		0	31d677d35beeb528841e8113d34644d401b5cddff1c5c3a772bc2ad085dc073a	validated_complete
pathway_background_manifest_v1	e4_vs_e33_all_sexes::core_mito	3	e4_vs_e33_all_sexes	core_mito	primary	686	686	686	686	0		0	31d677d35beeb528841e8113d34644d401b5cddff1c5c3a772bc2ad085dc073a	validated_complete
pathway_background_manifest_v1	female_vs_male_e2::all_mito_related	4	female_vs_male_e2	all_mito_related	inclusive_sensitivity	798	798	798	798	0		0	31d677d35beeb528841e8113d34644d401b5cddff1c5c3a772bc2ad085dc073a	validated_complete
pathway_background_manifest_v1	female_vs_male_e2::core_mito	4	female_vs_male_e2	core_mito	primary	732	732	732	732	0		0	31d677d35beeb528841e8113d34644d401b5cddff1c5c3a772bc2ad085dc073a	validated_complete
pathway_background_manifest_v1	female_vs_male_e33::all_mito_related	5	female_vs_male_e33	all_mito_related	inclusive_sensitivity	770	770	770	770	0		0	31d677d35beeb528841e8113d34644d401b5cddff1c5c3a772bc2ad085dc073a	validated_complete
pathway_background_manifest_v1	female_vs_male_e33::core_mito	5	female_vs_male_e33	core_mito	primary	705	705	705	705	0		0	31d677d35beeb528841e8113d34644d401b5cddff1c5c3a772bc2ad085dc073a	validated_complete
pathway_background_manifest_v1	female_vs_male_e4::all_mito_related	6	female_vs_male_e4	all_mito_related	inclusive_sensitivity	743	743	743	743	0		0	31d677d35beeb528841e8113d34644d401b5cddff1c5c3a772bc2ad085dc073a	validated_complete
pathway_background_manifest_v1	female_vs_male_e4::core_mito	6	female_vs_male_e4	core_mito	primary	679	679	679	679	0		0	31d677d35beeb528841e8113d34644d401b5cddff1c5c3a772bc2ad085dc073a	validated_complete
