schema_version	pathway_collection	collection_order	release	species	identifier_namespace	source_path	source_url	source_sha256	source_bytes	source_pathways	normalized_pathways	source_memberships	normalized_memberships	within_pathway_duplicates_removed	unique_symbols	blank_rows_discarded	validation_status
pathway_reference_manifest_v1	msigdb_c2_cp_v2026_1	1	2026.1.Hs	Human	HGNC_gene_symbols	data/reference/msigdb/c2.cp.v2026.1.Hs.symbols.gmt	https://www.gsea-msigdb.org/gsea/msigdb/collections.jsp	af1b31c091f5d296438f6ca20fba0286ca31fd8ae84efd6317675e6579968093	1677390	4115	4115	179627	179627	0	13957	0	validated_complete
pathway_reference_manifest_v1	mitocarta_mitopathways_v3_0	2	MitoCarta3.0	Human	HGNC_gene_symbols	data/reference/Human.MitoCarta3.0.xls	NA	e6ada0ae8dcd5447a5efb6f77c69a1c10b1ffa66521540a1e81b92c61e5505f2	10179584	149	149	3904	3904	0	1035	5	validated_complete
