schema_version	gene	route	search_date	query	terminal_status	source
human_genetic_support_tier1_v1	ANKRD11	common_variant	2026-08-16	FunGen-xQTL unified AD locus target_gene=ANKRD11	no_direct_entry_in_filtered_summary	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	ANKRD11	colocalization	2026-08-16	FunGen-xQTL ADxQTL/CL target_gene=ANKRD11	no_direct_entry_in_filtered_summary	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	ANKRD11	rare_variant	2026-08-16	FunGen AD GVC gene_name=ANKRD11	no_direct_entry_in_filtered_summary	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	ANKRD11	mtdna	2026-08-16	registered mtDNA-specific source gene=ANKRD11	not_applicable	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	APOE	common_variant	2026-08-16	FunGen-xQTL unified AD locus target_gene=APOE	reported_entry_found	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	APOE	colocalization	2026-08-16	FunGen-xQTL ADxQTL/CL target_gene=APOE	reported_entry_found	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	APOE	rare_variant	2026-08-16	FunGen AD GVC gene_name=APOE	reported_entry_found	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	APOE	mtdna	2026-08-16	registered mtDNA-specific source gene=APOE	not_applicable	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	ATP6V1F	common_variant	2026-08-16	FunGen-xQTL unified AD locus target_gene=ATP6V1F	no_direct_entry_in_filtered_summary	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	ATP6V1F	colocalization	2026-08-16	FunGen-xQTL ADxQTL/CL target_gene=ATP6V1F	no_direct_entry_in_filtered_summary	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	ATP6V1F	rare_variant	2026-08-16	FunGen AD GVC gene_name=ATP6V1F	no_direct_entry_in_filtered_summary	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	ATP6V1F	mtdna	2026-08-16	registered mtDNA-specific source gene=ATP6V1F	not_applicable	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	COX4I1	common_variant	2026-08-16	FunGen-xQTL unified AD locus target_gene=COX4I1	no_direct_entry_in_filtered_summary	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	COX4I1	colocalization	2026-08-16	FunGen-xQTL ADxQTL/CL target_gene=COX4I1	no_direct_entry_in_filtered_summary	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	COX4I1	rare_variant	2026-08-16	FunGen AD GVC gene_name=COX4I1	no_direct_entry_in_filtered_summary	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	COX4I1	mtdna	2026-08-16	registered mtDNA-specific source gene=COX4I1	not_applicable	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	COX6B1	common_variant	2026-08-16	FunGen-xQTL unified AD locus target_gene=COX6B1	no_direct_entry_in_filtered_summary	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	COX6B1	colocalization	2026-08-16	FunGen-xQTL ADxQTL/CL target_gene=COX6B1	no_direct_entry_in_filtered_summary	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	COX6B1	rare_variant	2026-08-16	FunGen AD GVC gene_name=COX6B1	no_direct_entry_in_filtered_summary	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	COX6B1	mtdna	2026-08-16	registered mtDNA-specific source gene=COX6B1	not_applicable	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	COX7C	common_variant	2026-08-16	FunGen-xQTL unified AD locus target_gene=COX7C	reported_entry_found	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	COX7C	colocalization	2026-08-16	FunGen-xQTL ADxQTL/CL target_gene=COX7C	reported_entry_found	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	COX7C	rare_variant	2026-08-16	FunGen AD GVC gene_name=COX7C	no_direct_entry_in_filtered_summary	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	COX7C	mtdna	2026-08-16	registered mtDNA-specific source gene=COX7C	not_applicable	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	DYNLT1	common_variant	2026-08-16	FunGen-xQTL unified AD locus target_gene=DYNLT1	no_direct_entry_in_filtered_summary	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	DYNLT1	colocalization	2026-08-16	FunGen-xQTL ADxQTL/CL target_gene=DYNLT1	no_direct_entry_in_filtered_summary	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	DYNLT1	rare_variant	2026-08-16	FunGen AD GVC gene_name=DYNLT1	no_direct_entry_in_filtered_summary	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	DYNLT1	mtdna	2026-08-16	registered mtDNA-specific source gene=DYNLT1	not_applicable	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	FTL	common_variant	2026-08-16	FunGen-xQTL unified AD locus target_gene=FTL	no_direct_entry_in_filtered_summary	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	FTL	colocalization	2026-08-16	FunGen-xQTL ADxQTL/CL target_gene=FTL	no_direct_entry_in_filtered_summary	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	FTL	rare_variant	2026-08-16	FunGen AD GVC gene_name=FTL	no_direct_entry_in_filtered_summary	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	FTL	mtdna	2026-08-16	registered mtDNA-specific source gene=FTL	not_applicable	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	LAMTOR5	common_variant	2026-08-16	FunGen-xQTL unified AD locus target_gene=LAMTOR5	no_direct_entry_in_filtered_summary	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	LAMTOR5	colocalization	2026-08-16	FunGen-xQTL ADxQTL/CL target_gene=LAMTOR5	no_direct_entry_in_filtered_summary	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	LAMTOR5	rare_variant	2026-08-16	FunGen AD GVC gene_name=LAMTOR5	no_direct_entry_in_filtered_summary	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	LAMTOR5	mtdna	2026-08-16	registered mtDNA-specific source gene=LAMTOR5	not_applicable	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	LAPTM4A	common_variant	2026-08-16	FunGen-xQTL unified AD locus target_gene=LAPTM4A	no_direct_entry_in_filtered_summary	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	LAPTM4A	colocalization	2026-08-16	FunGen-xQTL ADxQTL/CL target_gene=LAPTM4A	no_direct_entry_in_filtered_summary	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	LAPTM4A	rare_variant	2026-08-16	FunGen AD GVC gene_name=LAPTM4A	no_direct_entry_in_filtered_summary	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	LAPTM4A	mtdna	2026-08-16	registered mtDNA-specific source gene=LAPTM4A	not_applicable	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	MT-ATP6	common_variant	2026-08-16	FunGen-xQTL unified AD locus target_gene=MT-ATP6	no_direct_entry_in_filtered_summary	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	MT-ATP6	colocalization	2026-08-16	FunGen-xQTL ADxQTL/CL target_gene=MT-ATP6	no_direct_entry_in_filtered_summary	FunGen-xQTL public snapshot
