schema_version	figure_id	directory	plot_data_rows	validation_status
phase20_simple_aggr_non_mt_figure_v1_manifest_v1	driver_recurrence	/Users/rzhuang/Documents/VscodeProjects/alzheimer/results/figures/analysis/phase_20_sex_apoe_simple_aggr/driver_recurrence	20	validated_complete
phase20_simple_aggr_non_mt_figure_v1_manifest_v1	top5_candidates	/Users/rzhuang/Documents/VscodeProjects/alzheimer/results/figures/analysis/phase_20_sex_apoe_simple_aggr/top5_candidates	149	validated_complete
