schema_version	broad_network	driver	complex_v_target	qualifying_calls	ad_up_calls	ad_down_calls	fine_cell_types	shortest_path_distance	shortest_path	driver_in_degree	driver_out_degree	driver_total_degree	driver_degree_percentile	run_ids
phase12_kda_network_figures_v1	Astrocytes	APOE	ATP5F1A	1	0	1	1	2	APOE;LDHB;ATP5F1A	2	11	13	0.9862401931200966	primary_Ast_GRM3_M_e2_AD_down_mito
phase12_kda_network_figures_v1	Astrocytes	APOE	ATP5PB	2	0	2	2	1	APOE;ATP5PB	2	11	13	0.9862401931200966	primary_Ast_DPP10_M_e2_AD_down_mito;primary_Ast_GRM3_M_e2_AD_down_mito
phase12_kda_network_figures_v1	Astrocytes	CKB	ATP5PB	1	0	1	1	2	CKB;APOE;ATP5PB	1	14	15	0.9905853952926976	primary_Ast_DPP10_M_e2_AD_down_mito
phase12_kda_network_figures_v1	Astrocytes	EIF4A2	ATP5F1B	1	0	1	1	1	EIF4A2;ATP5F1B	1	3	4	0.9060953530476765	primary_Ast_DPP10_F_e4_AD_down_mito
phase12_kda_network_figures_v1	Astrocytes	ITM2B	ATP5PB	1	0	1	1	3	ITM2B;LAPTM4A;APOE;ATP5PB	0	14	14	0.988292094146047	primary_Ast_DPP10_M_e2_AD_down_mito
phase12_kda_network_figures_v1	Astrocytes	LAPTM4A	ATP5F1A	1	0	1	1	3	LAPTM4A;APOE;LDHB;ATP5F1A	1	13	14	0.988292094146047	primary_Ast_GRM3_M_e2_AD_down_mito
phase12_kda_network_figures_v1	Astrocytes	LAPTM4A	ATP5PB	2	0	2	2	2	LAPTM4A;APOE;ATP5PB	1	13	14	0.988292094146047	primary_Ast_DPP10_M_e2_AD_down_mito;primary_Ast_GRM3_M_e2_AD_down_mito
phase12_kda_network_figures_v1	Astrocytes	RPL11	ATP5F1E	1	0	1	1	2	RPL11;COX7C;ATP5F1E	1	3	4	0.9060953530476765	primary_Ast_GRM3_M_e2_AD_down_mito
phase12_kda_network_figures_v1	Astrocytes	RPL11	ATP5ME	1	0	1	1	3	RPL11;COX7C;ATP5F1E;ATP5ME	1	3	4	0.9060953530476765	primary_Ast_GRM3_M_e2_AD_down_mito
phase12_kda_network_figures_v1	Astrocytes	RPL11	ATP5PF	2	1	1	1	2	RPL11;COX7C;ATP5PF	1	3	4	0.9060953530476765	primary_Ast_GRM3_F_e2_AD_up_mito;primary_Ast_GRM3_M_e2_AD_down_mito
