schema_version	figure	panel	kda_run_id	broad_network	fine_cell_type	sex	apoe_group	driver	gene	layer	x	y	in_degree	out_degree	total_degree	degree_percentile	node_size_area	logFC	fdr_bh_within_contrast	paper_deg	donors_ad	donors_nci	is_driver	is_overlap	is_complex_v	is_candidate	display_label	active_in_run	comparison_row	condition
phase12_kda_network_figures_v1	sex_reversal_networks	A	primary_Ast_GRM3_F_e2_AD_up_mito	Astrocytes	Ast GRM3	Female	e2	APOE	AGT	2	0.9	0.0	1	1	2	0.8094146047073023	205.086207670785	0.377507765000128	5.76172797857062e-11	FALSE	8	17	FALSE	FALSE	FALSE	TRUE	AGT	FALSE	APOE | Ast GRM3	Female AD-up
phase12_kda_network_figures_v1	sex_reversal_networks	A	primary_Ast_GRM3_F_e2_AD_up_mito	Astrocytes	Ast GRM3	Female	e2	APOE	APOE	0	-0.9	0.0	2	11	13	0.9862401931200966	331.4027010284512	0.785256217574942	2.2063607228026e-26	TRUE	8	17	TRUE	FALSE	FALSE	TRUE	APOE	TRUE	APOE | Ast GRM3	Female AD-up
phase12_kda_network_figures_v1	sex_reversal_networks	A	primary_Ast_GRM3_F_e2_AD_up_mito	Astrocytes	Ast GRM3	Female	e2	APOE	ATP5F1A	2	0.9	0.184	1	0	1	0.6774894387447193	171.8380688059155	0.280441160187668	0.000353497316163208	FALSE	8	17	FALSE	FALSE	TRUE	TRUE	ATP5F1A	FALSE	APOE | Ast GRM3	Female AD-up
phase12_kda_network_figures_v1	sex_reversal_networks	A	primary_Ast_GRM3_F_e2_AD_up_mito	Astrocytes	Ast GRM3	Female	e2	APOE	ATP5PB	1	0.0	0.0	1	1	2	0.8094146047073023	205.086207670785	0.152917280048719	0.00785871890888468	FALSE	8	17	FALSE	FALSE	TRUE	TRUE	ATP5PB	TRUE	APOE | Ast GRM3	Female AD-up
phase12_kda_network_figures_v1	sex_reversal_networks	A	primary_Ast_GRM3_F_e2_AD_up_mito	Astrocytes	Ast GRM3	Female	e2	APOE	CHCHD10	1	0.0	0.23	1	2	3	0.8719372359686179	228.67613761183102	0.387067958874686	2.62655301094439e-05	TRUE	8	17	FALSE	TRUE	FALSE	TRUE	CHCHD10	TRUE	APOE | Ast GRM3	Female AD-up
phase12_kda_network_figures_v1	sex_reversal_networks	A	primary_Ast_GRM3_F_e2_AD_up_mito	Astrocytes	Ast GRM3	Female	e2	APOE	CST3	1	0.0	-0.46	1	6	7	0.9560651780325891	285.51420641774655	0.797601297567145	4.01082773150633e-31	TRUE	8	17	FALSE	FALSE	FALSE	FALSE		TRUE	APOE | Ast GRM3	Female AD-up
phase12_kda_network_figures_v1	sex_reversal_networks	A	primary_Ast_GRM3_F_e2_AD_up_mito	Astrocytes	Ast GRM3	Female	e2	APOE	GJB6	2	0.9	-0.184	2	6	8	0.9642727821363911	295.17241534157	0.494104545719199	1.55711978381987e-10	TRUE	8	17	FALSE	FALSE	FALSE	FALSE		FALSE	APOE | Ast GRM3	Female AD-up
phase12_kda_network_figures_v1	sex_reversal_networks	A	primary_Ast_GRM3_F_e2_AD_up_mito	Astrocytes	Ast GRM3	Female	e2	APOE	HLA-A	1	0.0	0.6900000000000001	1	0	1	0.6774894387447193	171.8380688059155	0.966481335673999	9.8767158612201e-09	TRUE	8	17	FALSE	FALSE	FALSE	FALSE		TRUE	APOE | Ast GRM3	Female AD-up
phase12_kda_network_figures_v1	sex_reversal_networks	A	primary_Ast_GRM3_F_e2_AD_up_mito	Astrocytes	Ast GRM3	Female	e2	APOE	LDHB	1	0.0	-0.23	1	5	6	0.9425467712733856	274.5646322225357	0.437290025307617	8.75450689625122e-06	TRUE	8	17	FALSE	TRUE	FALSE	TRUE	LDHB	TRUE	APOE | Ast GRM3	Female AD-up
phase12_kda_network_figures_v1	sex_reversal_networks	A	primary_Ast_GRM3_F_e2_AD_up_mito	Astrocytes	Ast GRM3	Female	e2	APOE	NME3	2	0.9	0.368	1	7	8	0.9642727821363911	295.17241534157	0.302478013486361	0.000150096867497553	FALSE	8	17	FALSE	FALSE	FALSE	FALSE		FALSE	APOE | Ast GRM3	Female AD-up
phase12_kda_network_figures_v1	sex_reversal_networks	A	primary_Ast_GRM3_F_e2_AD_up_mito	Astrocytes	Ast GRM3	Female	e2	APOE	PLTP	1	0.0	-0.6900000000000001	1	0	1	0.6774894387447193	171.8380688059155	0.351972486764367	0.000335072579439986	FALSE	8	17	FALSE	FALSE	FALSE	FALSE		TRUE	APOE | Ast GRM3	Female AD-up
phase12_kda_network_figures_v1	sex_reversal_networks	A	primary_Ast_GRM3_F_e2_AD_up_mito	Astrocytes	Ast GRM3	Female	e2	APOE	RMDN3	2	0.9	-0.368	1	0	1	0.6774894387447193	171.8380688059155	-0.403319123177424	0.0102858636322277	TRUE	8	17	FALSE	FALSE	FALSE	FALSE		FALSE	APOE | Ast GRM3	Female AD-up
