schema_version	broad_network	key_driver	mean_of_log_score	mean_of_log_score_standardized	ranking_runs	eligible_directional_runs	ranking_coverage_fraction	primary_directional_significant_runs	primary_directional_recurrence_fraction	mtDNA_encoded	in_degree	out_degree	total_degree	degree_percentile	node_size_area
phase12_kda_network_figures_v1	Excitatory_neurons	CYP20A1	0.032652985811198	0.00622166633103221	120	133	0.902255639097744	0	0.0	FALSE	1	2	3	0.7729144717938895	100.0
phase12_kda_network_figures_v1	Excitatory_neurons	PIK3CA	0.0326195171123083	0.00621528923957021	133	133	1.0	1	0.0075187969924812	FALSE	2	4	6	0.9292213389522076	169.0
phase12_kda_network_figures_v1	Excitatory_neurons	ZNF532	0.0325987233355787	0.00621132721473973	133	133	1.0	0	0.0	FALSE	1	11	12	0.9904223733358873	361.0
phase12_kda_network_figures_v1	Excitatory_neurons	SCO1	0.03257692304572	0.00620717340993287	116	133	0.87218045112782	0	0.0	FALSE	1	2	3	0.7729144717938895	100.0
phase12_kda_network_figures_v1	Excitatory_neurons	PSMG3-AS1	0.0325479114363259	0.00620164556771899	108	133	0.81203007518797	1	0.00925925925925926	FALSE	1	1	2	0.6445742744947802	81.0
phase12_kda_network_figures_v1	Excitatory_neurons	EP400	0.0324584455114497	0.00618459882241382	133	133	1.0	0	0.0	FALSE	2	6	8	0.965807872809118	225.0
phase12_kda_network_figures_v1	Excitatory_neurons	NBL1	0.0323045634249977	0.00615527828793764	129	133	0.969924812030075	0	0.0	FALSE	1	6	7	0.9521118666794368	196.0
phase12_kda_network_figures_v1	Excitatory_neurons	SUFU	0.032276097900738	0.0061498544962236	124	133	0.932330827067669	0	0.0	FALSE	2	6	8	0.965807872809118	225.0
phase12_kda_network_figures_v1	Excitatory_neurons	EXD3	0.0322744978102915	0.0061495496166357	126	133	0.947368421052632	0	0.0	FALSE	2	3	5	0.8979982760272005	144.0
phase12_kda_network_figures_v1	Excitatory_neurons	RBM12B	0.0322496678454971	0.00614481854068279	126	133	0.947368421052632	0	0.0	FALSE	3	5	8	0.965807872809118	225.0
phase12_kda_network_figures_v1	Excitatory_neurons	DVL2	0.0320946065107563	0.00611527331345058	116	133	0.87218045112782	0	0.0	FALSE	1	2	3	0.7729144717938895	100.0
phase12_kda_network_figures_v1	Excitatory_neurons	AC012184.2	0.0318236602203457	0.00606364748595925	102	133	0.766917293233083	0	0.0	FALSE	2	6	8	0.965807872809118	225.0
phase12_kda_network_figures_v1	Excitatory_neurons	CACNA2D3	0.0317829131696499	0.00605588358483032	133	133	1.0	0	0.0	FALSE	0	3	3	0.7729144717938895	100.0
phase12_kda_network_figures_v1	Excitatory_neurons	TMCC1	0.0317183581110247	0.00604358333035837	133	133	1.0	0	0.0	FALSE	1	12	13	0.9932956613351211	400.0
phase12_kda_network_figures_v1	Excitatory_neurons	RC3H1	0.031701977750289	0.00604046223327192	133	133	1.0	1	0.0075187969924812	FALSE	2	1	3	0.7729144717938895	100.0
phase12_kda_network_figures_v1	Excitatory_neurons	ANKRD11	0.0315683083434737	0.00601499300198383	133	133	1.0	0	0.0	FALSE	1	5	6	0.9292213389522076	169.0
phase12_kda_network_figures_v1	Excitatory_neurons	C2CD5	0.0315256472274189	0.00600686439681011	133	133	1.0	0	0.0	FALSE	1	5	6	0.9292213389522076	169.0
phase12_kda_network_figures_v1	Excitatory_neurons	ME3	0.0314665824634027	0.0059956102574259	133	133	1.0	0	0.0	FALSE	1	13	14	0.9956900680011493	441.0
phase12_kda_network_figures_v1	Excitatory_neurons	ST7L	0.0314522781137814	0.00599288472136189	128	133	0.962406015037594	0	0.0	FALSE	2	5	7	0.9521118666794368	196.0
phase12_kda_network_figures_v1	Excitatory_neurons	CLIP3	0.0314481472466356	0.00599209763018475	133	133	1.0	0	0.0	FALSE	2	3	5	0.8979982760272005	144.0
phase12_kda_network_figures_v1	Excitatory_neurons	SUGCT	0.031385118113504	0.00598008812398687	114	133	0.857142857142857	0	0.0	FALSE	1	1	2	0.6445742744947802	81.0
