schema_version	artifact_role	path	sha256	bytes	timestamp_utc
phase12_kda_network_figures_v1	figure_3_atp_convergence	results/figures/analysis/phase12_kda/network_figures/phase12_kda_atp_convergence.pdf	464bce64be8160e8545ae5a7b18d97d79b6834107bdd9b9f09c7ac6c69a33777	31567	2026-08-10T00:24:48Z
phase12_kda_network_figures_v1	figure_3_atp_convergence	results/figures/analysis/phase12_kda/network_figures/phase12_kda_atp_convergence.png	24e803485c0bbef944f129ed66327c0dceabe59d02a9b1950db2752dcc1dda13	884431	2026-08-10T00:24:48Z
phase12_kda_network_figures_v1	figure_3_atp_convergence	results/figures/analysis/phase12_kda/network_figures/phase12_kda_atp_convergence.svg	8f10861f3aedb753f5f6e9d93dbb0e9d61f79d6b9c11adb86f05351eee9ccb3a	45840	2026-08-10T00:24:48Z
phase12_kda_network_figures_v1	figure_3_atp_convergence	results/figures/analysis/phase12_kda/network_figures/phase12_kda_atp_convergence_complete.pdf	8ecb9507815b694a73e89933dd0eff7e0dc45a3b91926a63bba30e942f517b7f	47152	2026-08-10T00:24:48Z
phase12_kda_network_figures_v1	figure_3_atp_convergence	results/figures/analysis/phase12_kda/network_figures/phase12_kda_atp_convergence_complete_layout.tsv	cb75157f26955a3c7f202257744e043b1bc72cfbd0dfd47ea6d9ec419ad89e83	9528	2026-08-10T00:24:48Z
phase12_kda_network_figures_v1	figure_3_atp_convergence	results/figures/analysis/phase12_kda/network_figures/phase12_kda_atp_convergence_layout.tsv	479b5e887db853940fa64b9fa3a55da7359a6b49dd59125eecc55c6a7a304adf	2553	2026-08-10T00:24:48Z
phase12_kda_network_figures_v1	prepared_data	results/figures/analysis/phase12_kda/network_figures/phase12_kda_atp_convergence_pairs.tsv	b025ef83d820df0e568846639e724e89f0ee314a6ff71ac8ce6c059c95bb2499	23133	2026-08-10T00:01:45Z
phase12_kda_network_figures_v1	prepared_data	results/figures/analysis/phase12_kda/network_figures/phase12_kda_complex_v_genes.tsv	8983725396d9a82f2b0a9df935304c4e0d1c722d975cb7e1c6605231a7e2a1f3	1047	2026-08-10T00:01:45Z
phase12_kda_network_figures_v1	figure_4_connectivity_evidence	results/figures/analysis/phase12_kda/network_figures/phase12_kda_connectivity_evidence.pdf	400640496eea9a6e5f5932cf16e12a028117ba7e13a231551f38d197d0146605	119367	2026-08-10T00:06:49Z
phase12_kda_network_figures_v1	figure_4_connectivity_evidence	results/figures/analysis/phase12_kda/network_figures/phase12_kda_connectivity_evidence.png	bb824ee49b8555fa1f399b5fc11a933844af0eb674a4f35b55a1c71783e10c41	704949	2026-08-10T00:06:49Z
phase12_kda_network_figures_v1	figure_4_connectivity_evidence	results/figures/analysis/phase12_kda/network_figures/phase12_kda_connectivity_evidence.svg	407bf7f4f53e56b8b6761e632f633eed971b216409c7c130c8bdecdd29b043cf	153877	2026-08-10T00:06:49Z
phase12_kda_network_figures_v1	figure_4_connectivity_evidence	results/figures/analysis/phase12_kda/network_figures/phase12_kda_connectivity_evidence_by_network.pdf	d14845706a64fa09cb722a945d3912982d82006cac81d031058547da6a892f5f	218302	2026-08-10T00:06:49Z
phase12_kda_network_figures_v1	figure_4_connectivity_evidence	results/figures/analysis/phase12_kda/network_figures/phase12_kda_connectivity_evidence_correlations.tsv	2d96c3cdf91358272744e02b95647182a398418036161a8380d9eb689ba84a8e	664	2026-08-10T00:06:49Z
phase12_kda_network_figures_v1	figure_4_connectivity_evidence	results/figures/analysis/phase12_kda/network_figures/phase12_kda_connectivity_evidence_labels.tsv	7084f048d6fbc93107e041b5049c20f9001f512d57b6f2ca687ac2232b801bff	1997	2026-08-10T00:06:49Z
phase12_kda_network_figures_v1	prepared_data	results/figures/analysis/phase12_kda/network_figures/phase12_kda_connectivity_evidence_points.tsv	ee61854bc73f4fd311375189245085b0d10c4ec3963be257862d9612e824b604	5778715	2026-08-10T00:01:45Z
phase12_kda_network_figures_v1	prepared_data	results/figures/analysis/phase12_kda/network_figures/phase12_kda_network_data_checks.tsv	7c08dd518f6818ebe0f7a64bd56e1da5eda1b5f3ee05391ace2aa08420e77ce8	536	2026-08-10T00:01:45Z
phase12_kda_network_figures_v1	prepared_data	results/figures/analysis/phase12_kda/network_figures/phase12_kda_network_degrees.tsv	f6650df02b967d9c52f6ff47599d3e7ca96cecc90958c8dc359736bfab206edf	7132371	2026-08-10T00:01:45Z
phase12_kda_network_figures_v1	figure_2_sex_reversal	results/figures/analysis/phase12_kda/network_figures/phase12_kda_sex_reversal_networks.pdf	4ea06290d843aa51fdb2df21e52ae88cf7aeed2bdadd5fbf8554bfbee7a94e3a	89153	2026-08-10T00:13:30Z
phase12_kda_network_figures_v1	figure_2_sex_reversal	results/figures/analysis/phase12_kda/network_figures/phase12_kda_sex_reversal_networks.png	3c097450552e8f8a034155ba8fee0fe903c03758f7a3bb6a0b9726f91e1b4bb1	1608497	2026-08-10T00:13:30Z
phase12_kda_network_figures_v1	figure_2_sex_reversal	results/figures/analysis/phase12_kda/network_figures/phase12_kda_sex_reversal_networks.svg	de8f94bcc004f06628eef460d283bb67486800d755b9ac5181bd54733cd317b7	288859	2026-08-10T00:13:30Z
phase12_kda_network_figures_v1	figure_2_sex_reversal	results/figures/analysis/phase12_kda/network_figures/phase12_kda_sex_reversal_networks_edges.tsv	2508f5c98d586e99d98e8507d045c5bc580d38933b78d2be0abb14d0b569624a	30035	2026-08-10T00:13:30Z
phase12_kda_network_figures_v1	figure_2_sex_reversal	results/figures/analysis/phase12_kda/network_figures/phase12_kda_sex_reversal_networks_nodes.tsv	b198af62dec85b082c1e8b42ab0db05458e9dcac5b30dc28c8744dd9ddd92c4a	67351	2026-08-10T00:13:30Z
phase12_kda_network_figures_v1	figure_2_sex_reversal	results/figures/analysis/phase12_kda/network_figures/phase12_kda_sex_reversal_networks_paths.tsv	166b776cba976a26283561ced3526ec595ec081b04a33c901de0f97248393380	2112	2026-08-10T00:13:30Z
phase12_kda_network_figures_v1	figure_1_wang_subnetworks	results/figures/analysis/phase12_kda/network_figures/phase12_kda_wang_subnetworks.pdf	ff549697665218245a6ee5d2b77305ad47bef23e45c982312311c844c5ed1d62	61449	2026-08-10T00:59:51Z
phase12_kda_network_figures_v1	figure_1_wang_subnetworks	results/figures/analysis/phase12_kda/network_figures/phase12_kda_wang_subnetworks.png	f57e16a3a5a8be644e188d0c32697d9c5682de8ef86c04ba735dc1fb4acbde45	979745	2026-08-10T00:59:51Z
phase12_kda_network_figures_v1	figure_1_wang_subnetworks	results/figures/analysis/phase12_kda/network_figures/phase12_kda_wang_subnetworks.svg	5d24b555ef6f215421d4005edc7391f8271b8258577a254f58088a773de0b346	155871	2026-08-10T00:59:51Z
phase12_kda_network_figures_v1	figure_1_wang_subnetworks	results/figures/analysis/phase12_kda/network_figures/phase12_kda_wang_subnetworks_edges.tsv	33e70aa2bc063e849d8add2cd2f7a60f710e409cc1f99f48ff60ea15121c8bca	14016	2026-08-10T00:59:51Z
phase12_kda_network_figures_v1	figure_1_wang_subnetworks	results/figures/analysis/phase12_kda/network_figures/phase12_kda_wang_subnetworks_nodes.tsv	afad0324432f1caec24cd4925ae8d669fb21b485c98cc70cdf3f063fba946c29	26175	2026-08-10T00:59:51Z
phase12_kda_network_figures_v1	figure_1_wang_subnetworks	results/figures/analysis/phase12_kda/network_figures/phase12_kda_wang_subnetworks_paths.tsv	7407451fe6ee48ea9ab1eae834373a24467d7b9e7f035193cfa8211c0e8f5fe0	640	2026-08-10T00:59:51Z
