schema_version	broad_network	gene	in_degree	out_degree	total_degree	degree_percentile	network_nodes	network_edges
phase12_kda_network_figures_v1	Astrocytes	A2ML1-AS1	2	8	10	0.9752564876282438	8285	8881
phase12_kda_network_figures_v1	Astrocytes	AAAS	1	0	1	0.6774894387447193	8285	8881
phase12_kda_network_figures_v1	Astrocytes	AACS	1	0	1	0.6774894387447193	8285	8881
phase12_kda_network_figures_v1	Astrocytes	AAGAB	1	0	1	0.6774894387447193	8285	8881
phase12_kda_network_figures_v1	Astrocytes	AAK1	1	1	2	0.8094146047073023	8285	8881
phase12_kda_network_figures_v1	Astrocytes	AAMDC	1	0	1	0.6774894387447193	8285	8881
phase12_kda_network_figures_v1	Astrocytes	AAMP	1	0	1	0.6774894387447193	8285	8881
phase12_kda_network_figures_v1	Astrocytes	AARS	1	1	2	0.8094146047073023	8285	8881
phase12_kda_network_figures_v1	Astrocytes	AASDH	1	0	1	0.6774894387447193	8285	8881
phase12_kda_network_figures_v1	Astrocytes	AASDHPPT	1	0	1	0.6774894387447193	8285	8881
phase12_kda_network_figures_v1	Astrocytes	AASS	1	3	4	0.9060953530476765	8285	8881
phase12_kda_network_figures_v1	Astrocytes	AATF	1	0	1	0.6774894387447193	8285	8881
phase12_kda_network_figures_v1	Astrocytes	AATK	1	0	1	0.6774894387447193	8285	8881
phase12_kda_network_figures_v1	Astrocytes	ABAT	1	0	1	0.6774894387447193	8285	8881
phase12_kda_network_figures_v1	Astrocytes	ABCA1	1	0	1	0.6774894387447193	8285	8881
phase12_kda_network_figures_v1	Astrocytes	ABCA2	1	1	2	0.8094146047073023	8285	8881
phase12_kda_network_figures_v1	Astrocytes	ABCA3	2	3	5	0.9269764634882317	8285	8881
phase12_kda_network_figures_v1	Astrocytes	ABCA7	1	1	2	0.8094146047073023	8285	8881
phase12_kda_network_figures_v1	Astrocytes	ABCB10	1	0	1	0.6774894387447193	8285	8881
phase12_kda_network_figures_v1	Astrocytes	ABCB7	1	0	1	0.6774894387447193	8285	8881
phase12_kda_network_figures_v1	Astrocytes	ABCB8	1	0	1	0.6774894387447193	8285	8881
phase12_kda_network_figures_v1	Astrocytes	ABCB9	1	0	1	0.6774894387447193	8285	8881
phase12_kda_network_figures_v1	Astrocytes	ABCC1	2	1	3	0.8719372359686179	8285	8881
phase12_kda_network_figures_v1	Astrocytes	ABCC10	1	0	1	0.6774894387447193	8285	8881
phase12_kda_network_figures_v1	Astrocytes	ABCC4	1	0	1	0.6774894387447193	8285	8881
phase12_kda_network_figures_v1	Astrocytes	ABCC5	1	1	2	0.8094146047073023	8285	8881
phase12_kda_network_figures_v1	Astrocytes	ABCC8	1	1	2	0.8094146047073023	8285	8881
phase12_kda_network_figures_v1	Astrocytes	ABCC9	1	1	2	0.8094146047073023	8285	8881
phase12_kda_network_figures_v1	Astrocytes	ABCD2	1	0	1	0.6774894387447193	8285	8881
phase12_kda_network_figures_v1	Astrocytes	ABCD3	1	0	1	0.6774894387447193	8285	8881
phase12_kda_network_figures_v1	Astrocytes	ABCD4	1	0	1	0.6774894387447193	8285	8881
phase12_kda_network_figures_v1	Astrocytes	ABCE1	1	0	1	0.6774894387447193	8285	8881
phase12_kda_network_figures_v1	Astrocytes	ABCF1	1	0	1	0.6774894387447193	8285	8881
phase12_kda_network_figures_v1	Astrocytes	ABHD12	1	0	1	0.6774894387447193	8285	8881
phase12_kda_network_figures_v1	Astrocytes	ABHD13	1	0	1	0.6774894387447193	8285	8881
phase12_kda_network_figures_v1	Astrocytes	ABHD15-AS1	1	0	1	0.6774894387447193	8285	8881
phase12_kda_network_figures_v1	Astrocytes	ABHD17A	1	0	1	0.6774894387447193	8285	8881
phase12_kda_network_figures_v1	Astrocytes	ABHD17B	1	0	1	0.6774894387447193	8285	8881
phase12_kda_network_figures_v1	Astrocytes	ABHD17C	1	0	1	0.6774894387447193	8285	8881
phase12_kda_network_figures_v1	Astrocytes	ABHD18	1	0	1	0.6774894387447193	8285	8881
phase12_kda_network_figures_v1	Astrocytes	ABHD2	1	1	2	0.8094146047073023	8285	8881
phase12_kda_network_figures_v1	Astrocytes	ABHD3	1	0	1	0.6774894387447193	8285	8881
phase12_kda_network_figures_v1	Astrocytes	ABHD5	1	0	1	0.6774894387447193	8285	8881
phase12_kda_network_figures_v1	Astrocytes	ABHD6	1	0	1	0.6774894387447193	8285	8881
phase12_kda_network_figures_v1	Astrocytes	ABHD8	1	0	1	0.6774894387447193	8285	8881
phase12_kda_network_figures_v1	Astrocytes	ABI1	2	1	3	0.8719372359686179	8285	8881
phase12_kda_network_figures_v1	Astrocytes	ABI2	1	0	1	0.6774894387447193	8285	8881
phase12_kda_network_figures_v1	Astrocytes	ABL1	1	0	1	0.6774894387447193	8285	8881
phase12_kda_network_figures_v1	Astrocytes	ABL2	1	0	1	0.6774894387447193	8285	8881
phase12_kda_network_figures_v1	Astrocytes	ABLIM1	1	37	38	0.9993964996982498	8285	8881
phase12_kda_network_figures_v1	Astrocytes	ABLIM2	1	0	1	0.6774894387447193	8285	8881
phase12_kda_network_figures_v1	Astrocytes	ABR	2	22	24	0.9972238986119493	8285	8881
phase12_kda_network_figures_v1	Astrocytes	ABRAXAS2	1	0	1	0.6774894387447193	8285	8881
phase12_kda_network_figures_v1	Astrocytes	ABTB1	2	0	2	0.8094146047073023	8285	8881
phase12_kda_network_figures_v1	Astrocytes	ABTB2	1	0	1	0.6774894387447193	8285	8881
phase12_kda_network_figures_v1	Astrocytes	AC001226.2	1	0	1	0.6774894387447193	8285	8881
phase12_kda_network_figures_v1	Astrocytes	AC002429.2	1	3	4	0.9060953530476765	8285	8881
phase12_kda_network_figures_v1	Astrocytes	AC003991.1	1	1	2	0.8094146047073023	8285	8881
phase12_kda_network_figures_v1	Astrocytes	AC004076.1	1	0	1	0.6774894387447193	8285	8881
phase12_kda_network_figures_v1	Astrocytes	AC004158.1	2	2	4	0.9060953530476765	8285	8881
phase12_kda_network_figures_v1	Astrocytes	AC004805.1	1	0	1	0.6774894387447193	8285	8881
phase12_kda_network_figures_v1	Astrocytes	AC004951.1	1	0	1	0.6774894387447193	8285	8881
phase12_kda_network_figures_v1	Astrocytes	AC005154.6	1	0	1	0.6774894387447193	8285	8881
phase12_kda_network_figures_v1	Astrocytes	AC005162.3	1	0	1	0.6774894387447193	8285	8881
phase12_kda_network_figures_v1	Astrocytes	AC005225.2	1	2	3	0.8719372359686179	8285	8881
phase12_kda_network_figures_v1	Astrocytes	AC005261.1	1	0	1	0.6774894387447193	8285	8881
phase12_kda_network_figures_v1	Astrocytes	AC005332.5	1	0	1	0.6774894387447193	8285	8881
phase12_kda_network_figures_v1	Astrocytes	AC005476.2	1	0	1	0.6774894387447193	8285	8881
phase12_kda_network_figures_v1	Astrocytes	AC005480.1	1	0	1	0.6774894387447193	8285	8881
phase12_kda_network_figures_v1	Astrocytes	AC005498.3	1	0	1	0.6774894387447193	8285	8881
phase12_kda_network_figures_v1	Astrocytes	AC005670.2	1	0	1	0.6774894387447193	8285	8881
phase12_kda_network_figures_v1	Astrocytes	AC005726.1	1	0	1	0.6774894387447193	8285	8881
phase12_kda_network_figures_v1	Astrocytes	AC005833.2	1	0	1	0.6774894387447193	8285	8881
phase12_kda_network_figures_v1	Astrocytes	AC006059.1	2	1	3	0.8719372359686179	8285	8881
phase12_kda_network_figures_v1	Astrocytes	AC006115.3	1	0	1	0.6774894387447193	8285	8881
phase12_kda_network_figures_v1	Astrocytes	AC006148.1	1	1	2	0.8094146047073023	8285	8881
phase12_kda_network_figures_v1	Astrocytes	AC006480.2	1	4	5	0.9269764634882317	8285	8881
phase12_kda_network_figures_v1	Astrocytes	AC006504.5	1	0	1	0.6774894387447193	8285	8881
phase12_kda_network_figures_v1	Astrocytes	AC006978.2	1	0	1	0.6774894387447193	8285	8881
phase12_kda_network_figures_v1	Astrocytes	AC007038.1	1	0	1	0.6774894387447193	8285	8881
phase12_kda_network_figures_v1	Astrocytes	AC007193.2	1	2	3	0.8719372359686179	8285	8881
phase12_kda_network_figures_v1	Astrocytes	AC007216.4	1	0	1	0.6774894387447193	8285	8881
phase12_kda_network_figures_v1	Astrocytes	AC007262.2	1	2	3	0.8719372359686179	8285	8881
phase12_kda_network_figures_v1	Astrocytes	AC007285.1	1	0	1	0.6774894387447193	8285	8881
phase12_kda_network_figures_v1	Astrocytes	AC007388.1	1	0	1	0.6774894387447193	8285	8881
phase12_kda_network_figures_v1	Astrocytes	AC007405.1	1	0	1	0.6774894387447193	8285	8881
phase12_kda_network_figures_v1	Astrocytes	AC007495.1	1	0	1	0.6774894387447193	8285	8881
phase12_kda_network_figures_v1	Astrocytes	AC007566.1	1	0	1	0.6774894387447193	8285	8881
phase12_kda_network_figures_v1	Astrocytes	AC008014.1	1	0	1	0.6774894387447193	8285	8881
phase12_kda_network_figures_v1	Astrocytes	AC008050.1	1	0	1	0.6774894387447193	8285	8881
phase12_kda_network_figures_v1	Astrocytes	AC008124.1	1	1	2	0.8094146047073023	8285	8881
phase12_kda_network_figures_v1	Astrocytes	AC008438.1	1	0	1	0.6774894387447193	8285	8881
phase12_kda_network_figures_v1	Astrocytes	AC008537.1	1	0	1	0.6774894387447193	8285	8881
phase12_kda_network_figures_v1	Astrocytes	AC008629.1	1	0	1	0.6774894387447193	8285	8881
phase12_kda_network_figures_v1	Astrocytes	AC008758.6	1	0	1	0.6774894387447193	8285	8881
phase12_kda_network_figures_v1	Astrocytes	AC008957.2	3	14	17	0.9932407966203983	8285	8881
phase12_kda_network_figures_v1	Astrocytes	AC009093.2	1	0	1	0.6774894387447193	8285	8881
phase12_kda_network_figures_v1	Astrocytes	AC009126.1	1	0	1	0.6774894387447193	8285	8881
phase12_kda_network_figures_v1	Astrocytes	AC009133.1	1	0	1	0.6774894387447193	8285	8881
phase12_kda_network_figures_v1	Astrocytes	AC009403.1	1	0	1	0.6774894387447193	8285	8881
phase12_kda_network_figures_v1	Astrocytes	AC009690.1	1	0	1	0.6774894387447193	8285	8881
phase12_kda_network_figures_v1	Astrocytes	AC009948.1	1	0	1	0.6774894387447193	8285	8881
phase12_kda_network_figures_v1	Astrocytes	AC009961.1	1	0	1	0.6774894387447193	8285	8881
phase12_kda_network_figures_v1	Astrocytes	AC010099.4	1	0	1	0.6774894387447193	8285	8881
phase12_kda_network_figures_v1	Astrocytes	AC010226.1	1	0	1	0.6774894387447193	8285	8881
phase12_kda_network_figures_v1	Astrocytes	AC010615.4	1	0	1	0.6774894387447193	8285	8881
phase12_kda_network_figures_v1	Astrocytes	AC010618.3	1	0	1	0.6774894387447193	8285	8881
phase12_kda_network_figures_v1	Astrocytes	AC011477.4	1	0	1	0.6774894387447193	8285	8881
phase12_kda_network_figures_v1	Astrocytes	AC011997.1	1	1	2	0.8094146047073023	8285	8881
phase12_kda_network_figures_v1	Astrocytes	AC012435.2	1	0	1	0.6774894387447193	8285	8881
phase12_kda_network_figures_v1	Astrocytes	AC012593.1	1	5	6	0.9425467712733856	8285	8881
