schema_version	check	passed	observed	expected	detail
broad_deg_pathway_checks_v1	broad_release_validated	TRUE	validated_complete	validated_complete	
broad_deg_pathway_checks_v1	broad_release_provenance_hashes	TRUE	TRUE	TRUE	
broad_deg_pathway_checks_v1	reference_input_count	TRUE	70	70	
broad_deg_pathway_checks_v1	planned_contrast_count	TRUE	42	42	
broad_deg_pathway_checks_v1	completed_contrast_count	TRUE	40	40	
broad_deg_pathway_checks_v1	nonestimable_contrast_count	TRUE	2	2	
broad_deg_pathway_checks_v1	broad_result_row_count	TRUE	786242	786242	
broad_deg_pathway_checks_v1	physical_slices_reconstruct_combined_results	TRUE	TRUE	TRUE	Every downstream-consumed DEG column compared at tolerance zero
broad_deg_pathway_checks_v1	deg_direction_labels_match_logfc	TRUE	TRUE	TRUE	
broad_deg_pathway_checks_v1	strict_deg_flags_reproduced	TRUE	TRUE	TRUE	
broad_deg_pathway_checks_v1	relaxed_deg_flags_reproduced	TRUE	TRUE	TRUE	
broad_deg_pathway_checks_v1	exploratory_deg_flags_reproduced	TRUE	TRUE	TRUE	
broad_deg_pathway_checks_v1	core_mito_rows	TRUE	41520	41520	
broad_deg_pathway_checks_v1	core_mito_unique_symbols	TRUE	1136	1136	
broad_deg_pathway_checks_v1	core_mito_symbols_in_phase09_authority	TRUE	TRUE	TRUE	
broad_deg_pathway_checks_v1	mitocarta_exact_reconciliation	TRUE	TRUE	TRUE	
broad_deg_pathway_checks_v1	fine_program_manifest_reconciles	TRUE	TRUE	TRUE	
broad_deg_pathway_checks_v1	program_count_legacy_four	TRUE	4	4	
broad_deg_pathway_checks_v1	program_count_mitocarta_broad_46	TRUE	46	46	
broad_deg_pathway_checks_v1	program_count_mitocarta_complete_149	TRUE	149	149	
broad_deg_pathway_checks_v1	background_sizes_exact	TRUE	1084,1134,1113,1033,1070,1104,573	1084,1134,1113,1033,1070,1104,573	
broad_deg_pathway_checks_v1	primary_rank_manifest_rows	TRUE	42	42	
broad_deg_pathway_checks_v1	primary_rank_gene_rows	TRUE	41520	41520	
broad_deg_pathway_checks_v1	primary_tiny_negative_f_clamped	TRUE	1	1	Tolerance=1e-08; materially_negative=0
broad_deg_pathway_checks_v1	ora_query_definition_rows	TRUE	378	378	
broad_deg_pathway_checks_v1	eligible_query_slots_strict_AD_any_mito	TRUE	6	6	
broad_deg_pathway_checks_v1	eligible_query_slots_strict_AD_up_mito	TRUE	1	1	
broad_deg_pathway_checks_v1	eligible_query_slots_strict_AD_down_mito	TRUE	5	5	
broad_deg_pathway_checks_v1	eligible_query_slots_relaxed_AD_any_mito	TRUE	7	7	
broad_deg_pathway_checks_v1	eligible_query_slots_relaxed_AD_up_mito	TRUE	1	1	
broad_deg_pathway_checks_v1	eligible_query_slots_relaxed_AD_down_mito	TRUE	6	6	
broad_deg_pathway_checks_v1	eligible_query_slots_exploratory_AD_any_mito	TRUE	10	10	
broad_deg_pathway_checks_v1	eligible_query_slots_exploratory_AD_up_mito	TRUE	5	5	
broad_deg_pathway_checks_v1	eligible_query_slots_exploratory_AD_down_mito	TRUE	7	7	
broad_deg_pathway_checks_v1	primary_gsea_grid_rows	TRUE	8358	8358	
broad_deg_pathway_checks_v1	primary_gsea_probabilities_valid	TRUE	6228	all tested rows valid	
broad_deg_pathway_checks_v1	broad46_raw_gsea_reused_from_complete149	TRUE	TRUE	TRUE	
broad_deg_pathway_checks_v1	ora_grid_rows	TRUE	75222	75222	
broad_deg_pathway_checks_v1	ora_probabilities_valid	TRUE	7664	all tested rows valid	
broad_deg_pathway_checks_v1	hypergeometric_toy_case	TRUE	0.00663791289711761	0.00663791289711761	
broad_deg_pathway_checks_v1	composition_rank_manifest_rows	TRUE	42	42	
broad_deg_pathway_checks_v1	composition_annotation_join_exact	TRUE	TRUE	TRUE	
broad_deg_pathway_checks_v1	composition_completed_contrasts	TRUE	28	28	
broad_deg_pathway_checks_v1	composition_not_applicable_contrasts	TRUE	12	12	
broad_deg_pathway_checks_v1	composition_nonestimable_contrasts	TRUE	2	2	
broad_deg_pathway_checks_v1	composition_rank_gene_rows	TRUE	28476	28476	
broad_deg_pathway_checks_v1	composition_tiny_negative_f_clamped	TRUE	0	0	Tolerance=1e-08; materially_negative=0
broad_deg_pathway_checks_v1	composition_gsea_grid_rows	TRUE	8358	8358	
broad_deg_pathway_checks_v1	composition_concordance_rows	TRUE	8358	8358	
broad_deg_pathway_checks_v1	broad_vs_fine_rows	TRUE	25074	25074	
broad_deg_pathway_checks_v1	broad_vs_fine_categories_valid	TRUE	fine_only,neither,not_comparable	concordant_support,broad_only,fine_only,neither,not_comparable	
broad_deg_pathway_checks_v1	redundancy_pair_rows	TRUE	11026	11026	
broad_deg_pathway_checks_v1	structural_unavailable_records_preserved	TRUE	398	all explicit and not tested	
