schema_version	query_order	query_id	background_id	contrast_id	broad_cell_type	group_id	sex	apoe_group	deg_tier	tier_order	tier_role	query_mode	query_mode_order	structural_status	structurally_available	query_size	upregulated_query_genes	downregulated_query_genes	query_status
broad_deg_pathway_ora_query_manifest_v1	16	Astrocytes::AD_vs_NCI__Female__e33::exploratory::AD_any_mito	Astrocytes::AD_vs_NCI__Female__e33	Astrocytes::AD_vs_NCI__Female__e33	Astrocytes	F_e33	Female	e33	exploratory	3	hypothesis_generation_only	AD_any_mito	1	validated_complete	TRUE	9	5	4	eligible_for_pathway_testing
broad_deg_pathway_ora_query_manifest_v1	17	Astrocytes::AD_vs_NCI__Female__e33::exploratory::AD_up_mito	Astrocytes::AD_vs_NCI__Female__e33	Astrocytes::AD_vs_NCI__Female__e33	Astrocytes	F_e33	Female	e33	exploratory	3	hypothesis_generation_only	AD_up_mito	2	validated_complete	TRUE	5	5	0	eligible_for_pathway_testing
broad_deg_pathway_ora_query_manifest_v1	18	Astrocytes::AD_vs_NCI__Female__e33::exploratory::AD_down_mito	Astrocytes::AD_vs_NCI__Female__e33	Astrocytes::AD_vs_NCI__Female__e33	Astrocytes	F_e33	Female	e33	exploratory	3	hypothesis_generation_only	AD_down_mito	3	validated_complete	TRUE	4	0	4	eligible_for_pathway_testing
broad_deg_pathway_ora_query_manifest_v1	19	Astrocytes::AD_vs_NCI__Female__e4::strict::AD_any_mito	Astrocytes::AD_vs_NCI__Female__e4	Astrocytes::AD_vs_NCI__Female__e4	Astrocytes	F_e4	Female	e4	strict	1	confirmatory_thresholded_companion	AD_any_mito	1	validated_complete	TRUE	11	0	11	eligible_for_pathway_testing
broad_deg_pathway_ora_query_manifest_v1	20	Astrocytes::AD_vs_NCI__Female__e4::strict::AD_up_mito	Astrocytes::AD_vs_NCI__Female__e4	Astrocytes::AD_vs_NCI__Female__e4	Astrocytes	F_e4	Female	e4	strict	1	confirmatory_thresholded_companion	AD_up_mito	2	validated_complete	TRUE	0	0	0	empty_query
broad_deg_pathway_ora_query_manifest_v1	21	Astrocytes::AD_vs_NCI__Female__e4::strict::AD_down_mito	Astrocytes::AD_vs_NCI__Female__e4	Astrocytes::AD_vs_NCI__Female__e4	Astrocytes	F_e4	Female	e4	strict	1	confirmatory_thresholded_companion	AD_down_mito	3	validated_complete	TRUE	11	0	11	eligible_for_pathway_testing
broad_deg_pathway_ora_query_manifest_v1	22	Astrocytes::AD_vs_NCI__Female__e4::relaxed::AD_any_mito	Astrocytes::AD_vs_NCI__Female__e4	Astrocytes::AD_vs_NCI__Female__e4	Astrocytes	F_e4	Female	e4	relaxed	2	prespecified_sensitivity	AD_any_mito	1	validated_complete	TRUE	20	2	18	eligible_for_pathway_testing
broad_deg_pathway_ora_query_manifest_v1	23	Astrocytes::AD_vs_NCI__Female__e4::relaxed::AD_up_mito	Astrocytes::AD_vs_NCI__Female__e4	Astrocytes::AD_vs_NCI__Female__e4	Astrocytes	F_e4	Female	e4	relaxed	2	prespecified_sensitivity	AD_up_mito	2	validated_complete	TRUE	2	2	0	query_below_minimum
broad_deg_pathway_ora_query_manifest_v1	24	Astrocytes::AD_vs_NCI__Female__e4::relaxed::AD_down_mito	Astrocytes::AD_vs_NCI__Female__e4	Astrocytes::AD_vs_NCI__Female__e4	Astrocytes	F_e4	Female	e4	relaxed	2	prespecified_sensitivity	AD_down_mito	3	validated_complete	TRUE	18	0	18	eligible_for_pathway_testing
broad_deg_pathway_ora_query_manifest_v1	25	Astrocytes::AD_vs_NCI__Female__e4::exploratory::AD_any_mito	Astrocytes::AD_vs_NCI__Female__e4	Astrocytes::AD_vs_NCI__Female__e4	Astrocytes	F_e4	Female	e4	exploratory	3	hypothesis_generation_only	AD_any_mito	1	validated_complete	TRUE	35	2	33	eligible_for_pathway_testing
