schema_version	analysis_profile	rank_order	rank_id	contrast_id	broad_cell_type	group_id	sex	apoe_group	structural_status	structurally_available	source_rows	finite_rank_rows	duplicate_symbols	tiny_negative_f_clamped	materially_negative_f	rank_size	rank_status	rank_statistic	negative_f_tolerance	deterministic_tie_break
broad_deg_pathway_rank_manifest_v1	primary	27	OPCs::AD_vs_NCI__Female__e4	OPCs::AD_vs_NCI__Female__e4	OPCs	F_e4	Female	e4	validated_complete	TRUE	1070	1070	0	0	0	1070	available	sign(logFC)*sqrt(max(F,0))	1e-08	rank_score_desc;logFC_desc;symbol_asc
broad_deg_pathway_rank_manifest_v1	primary	28	OPCs::AD_vs_NCI__Male__e2	OPCs::AD_vs_NCI__Male__e2	OPCs	M_e2	Male	e2	validated_complete	TRUE	1070	1070	0	0	0	1070	available	sign(logFC)*sqrt(max(F,0))	1e-08	rank_score_desc;logFC_desc;symbol_asc
broad_deg_pathway_rank_manifest_v1	primary	29	OPCs::AD_vs_NCI__Male__e33	OPCs::AD_vs_NCI__Male__e33	OPCs	M_e33	Male	e33	validated_complete	TRUE	1070	1070	0	0	0	1070	available	sign(logFC)*sqrt(max(F,0))	1e-08	rank_score_desc;logFC_desc;symbol_asc
broad_deg_pathway_rank_manifest_v1	primary	30	OPCs::AD_vs_NCI__Male__e4	OPCs::AD_vs_NCI__Male__e4	OPCs	M_e4	Male	e4	validated_complete	TRUE	1070	1070	0	0	0	1070	available	sign(logFC)*sqrt(max(F,0))	1e-08	rank_score_desc;logFC_desc;symbol_asc
broad_deg_pathway_rank_manifest_v1	primary	31	Oligodendrocytes::AD_vs_NCI__Female__e2	Oligodendrocytes::AD_vs_NCI__Female__e2	Oligodendrocytes	F_e2	Female	e2	validated_complete	TRUE	1104	1104	0	0	0	1104	available	sign(logFC)*sqrt(max(F,0))	1e-08	rank_score_desc;logFC_desc;symbol_asc
broad_deg_pathway_rank_manifest_v1	primary	32	Oligodendrocytes::AD_vs_NCI__Female__e33	Oligodendrocytes::AD_vs_NCI__Female__e33	Oligodendrocytes	F_e33	Female	e33	validated_complete	TRUE	1104	1104	0	0	0	1104	available	sign(logFC)*sqrt(max(F,0))	1e-08	rank_score_desc;logFC_desc;symbol_asc
broad_deg_pathway_rank_manifest_v1	primary	33	Oligodendrocytes::AD_vs_NCI__Female__e4	Oligodendrocytes::AD_vs_NCI__Female__e4	Oligodendrocytes	F_e4	Female	e4	validated_complete	TRUE	1104	1104	0	0	0	1104	available	sign(logFC)*sqrt(max(F,0))	1e-08	rank_score_desc;logFC_desc;symbol_asc
broad_deg_pathway_rank_manifest_v1	primary	34	Oligodendrocytes::AD_vs_NCI__Male__e2	Oligodendrocytes::AD_vs_NCI__Male__e2	Oligodendrocytes	M_e2	Male	e2	validated_complete	TRUE	1104	1104	0	0	0	1104	available	sign(logFC)*sqrt(max(F,0))	1e-08	rank_score_desc;logFC_desc;symbol_asc
broad_deg_pathway_rank_manifest_v1	primary	35	Oligodendrocytes::AD_vs_NCI__Male__e33	Oligodendrocytes::AD_vs_NCI__Male__e33	Oligodendrocytes	M_e33	Male	e33	validated_complete	TRUE	1104	1104	0	0	0	1104	available	sign(logFC)*sqrt(max(F,0))	1e-08	rank_score_desc;logFC_desc;symbol_asc
broad_deg_pathway_rank_manifest_v1	primary	36	Oligodendrocytes::AD_vs_NCI__Male__e4	Oligodendrocytes::AD_vs_NCI__Male__e4	Oligodendrocytes	M_e4	Male	e4	validated_complete	TRUE	1104	1104	0	0	0	1104	available	sign(logFC)*sqrt(max(F,0))	1e-08	rank_score_desc;logFC_desc;symbol_asc
broad_deg_pathway_rank_manifest_v1	primary	37	Vasculature_cells::AD_vs_NCI__Female__e2	Vasculature_cells::AD_vs_NCI__Female__e2	Vasculature_cells	F_e2	Female	e2	contrast_not_estimable	FALSE	0	0	0	0	0	0	contrast_not_estimable	sign(logFC)*sqrt(max(F,0))	1e-08	rank_score_desc;logFC_desc;symbol_asc
broad_deg_pathway_rank_manifest_v1	primary	38	Vasculature_cells::AD_vs_NCI__Female__e33	Vasculature_cells::AD_vs_NCI__Female__e33	Vasculature_cells	F_e33	Female	e33	validated_complete	TRUE	573	573	0	0	0	573	available	sign(logFC)*sqrt(max(F,0))	1e-08	rank_score_desc;logFC_desc;symbol_asc
broad_deg_pathway_rank_manifest_v1	primary	39	Vasculature_cells::AD_vs_NCI__Female__e4	Vasculature_cells::AD_vs_NCI__Female__e4	Vasculature_cells	F_e4	Female	e4	validated_complete	TRUE	573	573	0	0	0	573	available	sign(logFC)*sqrt(max(F,0))	1e-08	rank_score_desc;logFC_desc;symbol_asc
broad_deg_pathway_rank_manifest_v1	primary	40	Vasculature_cells::AD_vs_NCI__Male__e2	Vasculature_cells::AD_vs_NCI__Male__e2	Vasculature_cells	M_e2	Male	e2	contrast_not_estimable	FALSE	0	0	0	0	0	0	contrast_not_estimable	sign(logFC)*sqrt(max(F,0))	1e-08	rank_score_desc;logFC_desc;symbol_asc
broad_deg_pathway_rank_manifest_v1	primary	41	Vasculature_cells::AD_vs_NCI__Male__e33	Vasculature_cells::AD_vs_NCI__Male__e33	Vasculature_cells	M_e33	Male	e33	validated_complete	TRUE	573	573	0	0	0	573	available	sign(logFC)*sqrt(max(F,0))	1e-08	rank_score_desc;logFC_desc;symbol_asc
broad_deg_pathway_rank_manifest_v1	primary	42	Vasculature_cells::AD_vs_NCI__Male__e4	Vasculature_cells::AD_vs_NCI__Male__e4	Vasculature_cells	M_e4	Male	e4	validated_complete	TRUE	573	573	0	0	0	573	available	sign(logFC)*sqrt(max(F,0))	1e-08	rank_score_desc;logFC_desc;symbol_asc
