schema_version	artifact	path	bytes	sha256	records	output_schema	validation_status
broad_deg_pathway_artifacts_v1	broad_deg_pathway_checks.tsv	results/minerva_production/11_pathway_deg_broad/broad_deg_pathway_checks.tsv	4332	ee71bffda0b2467910f5c50efedb2de36282f1c366562bbe603c424d215cddbf	53	broad_deg_pathway_checks_v1	validated_complete
broad_deg_pathway_artifacts_v1	broad_deg_pathway_reference_manifest.tsv	results/minerva_production/11_pathway_deg_broad/broad_deg_pathway_reference_manifest.tsv	20113	0fb57e53cda7b23dcc860f40d602737c815e235b9a9faf7eeffb7a9d496ca390	70	broad_deg_pathway_reference_manifest_v1	validated_complete
broad_deg_pathway_artifacts_v1	broad_deg_pathway_program_manifest.tsv	results/minerva_production/11_pathway_deg_broad/broad_deg_pathway_program_manifest.tsv	62560	4ae162f6bd66ce770b7904041ac37239ff41043bf0f31e478c5ba909dc84d144	199	broad_deg_pathway_program_manifest_v1	validated_complete
broad_deg_pathway_artifacts_v1	broad_deg_pathway_contrast_manifest.tsv	results/minerva_production/11_pathway_deg_broad/broad_deg_pathway_contrast_manifest.tsv	8753	765b8cfc1a4fa40d052d00ebcfb479bd1e8337452a1423bc957150fcf49c8d46	42	broad_deg_pathway_contrast_manifest_v1	validated_complete
broad_deg_pathway_artifacts_v1	broad_deg_pathway_rank_manifest.tsv	results/minerva_production/11_pathway_deg_broad/broad_deg_pathway_rank_manifest.tsv	11814	abc31481c260cb9e559b59a6fdaa8d085fb05adf445e3627b4611ca3172732e4	42	broad_deg_pathway_rank_manifest_v1	validated_complete
broad_deg_pathway_artifacts_v1	broad_deg_pathway_ranked_genes.tsv.gz	results/minerva_production/11_pathway_deg_broad/broad_deg_pathway_ranked_genes.tsv.gz	2136667	1ee1733d76cd9211ba662479bbeafc1ec50296c0bcc001c7cca66a973cecbe6a	41520	broad_deg_pathway_ranked_genes_v1	validated_complete
broad_deg_pathway_artifacts_v1	broad_deg_pathway_gsea.tsv.gz	results/minerva_production/11_pathway_deg_broad/broad_deg_pathway_gsea.tsv.gz	861636	a5bab580d61a3f63fe426df11be24cc6c810b957527dab0bf48064e5d955e94c	8358	broad_deg_pathway_gsea_v1	validated_complete
broad_deg_pathway_artifacts_v1	broad_deg_pathway_significant_gsea.tsv.gz	results/minerva_production/11_pathway_deg_broad/broad_deg_pathway_significant_gsea.tsv.gz	22967	d212ab1af24761f3814a95c8d2d780e2069bdc2c9c522d317da82a7901d05dba	213	broad_deg_pathway_significant_gsea_v1	validated_complete
broad_deg_pathway_artifacts_v1	broad_deg_pathway_background_manifest.tsv	results/minerva_production/11_pathway_deg_broad/broad_deg_pathway_background_manifest.tsv	7954	b0af02b8dd2dd2f9c23c3e956e56188336e5868cfeb200a84a9e777373c3336a	42	broad_deg_pathway_background_manifest_v1	validated_complete
broad_deg_pathway_artifacts_v1	broad_deg_pathway_background_genes.tsv.gz	results/minerva_production/11_pathway_deg_broad/broad_deg_pathway_background_genes.tsv.gz	184291	8ff52fb5a44f0bc6b2af1744068c338ba010cc39b572d5bc962a125dca09ee9d	42666	broad_deg_pathway_background_genes_v1	validated_complete
broad_deg_pathway_artifacts_v1	broad_deg_pathway_ora_query_manifest.tsv	results/minerva_production/11_pathway_deg_broad/broad_deg_pathway_ora_query_manifest.tsv	115619	b0b25b263fb0f304ebb9a6b944e75799273057f5b42d1ecce250ea0533dda610	378	broad_deg_pathway_ora_query_manifest_v1	validated_complete
broad_deg_pathway_artifacts_v1	broad_deg_pathway_ora_query_genes.tsv.gz	results/minerva_production/11_pathway_deg_broad/broad_deg_pathway_ora_query_genes.tsv.gz	10034	eb43a507a258050b99b475572502a8c3a3236fdfcf6005bee77951ea8df211ed	498	broad_deg_pathway_ora_query_genes_v1	validated_complete
broad_deg_pathway_artifacts_v1	broad_deg_pathway_ora.tsv.gz	results/minerva_production/11_pathway_deg_broad/broad_deg_pathway_ora.tsv.gz	3368195	399a5b9873fddb5dcd8ddd35b012a7ad690f3c358a91ce02f31a1927b60b715d	75222	broad_deg_pathway_ora_v1	validated_complete
broad_deg_pathway_artifacts_v1	broad_deg_pathway_significant_ora.tsv.gz	results/minerva_production/11_pathway_deg_broad/broad_deg_pathway_significant_ora.tsv.gz	1173	aa78c3dda79945d84137be9b8c16dab2655d9452add6e05a3dc2bb53c92d2c9a	6	broad_deg_pathway_significant_ora_v1	validated_complete
broad_deg_pathway_artifacts_v1	broad_deg_pathway_composition_rank_manifest.tsv	results/minerva_production/11_pathway_deg_broad/broad_deg_pathway_composition_rank_manifest.tsv	14112	d8c5d32fc8b15ac51fdbcf02dfb1ead99d91417180f404fdd02b87355e964ef8	42	broad_deg_pathway_composition_rank_manifest_v1	validated_complete
broad_deg_pathway_artifacts_v1	broad_deg_pathway_composition_ranked_genes.tsv.gz	results/minerva_production/11_pathway_deg_broad/broad_deg_pathway_composition_ranked_genes.tsv.gz	1464504	46a2404a0103ee2d07979c81d06c80a938e6d9894ca256fdab7d1880e63cbc46	28476	broad_deg_pathway_composition_ranked_genes_v1	validated_complete
broad_deg_pathway_artifacts_v1	broad_deg_pathway_composition_gsea.tsv.gz	results/minerva_production/11_pathway_deg_broad/broad_deg_pathway_composition_gsea.tsv.gz	693398	d0b0241c9dc1239fb722dcfa0bbe1103a690c0d8378bcec462c24b76d9b2be60	8358	broad_deg_pathway_composition_gsea_v1	validated_complete
broad_deg_pathway_artifacts_v1	broad_deg_pathway_composition_concordance.tsv	results/minerva_production/11_pathway_deg_broad/broad_deg_pathway_composition_concordance.tsv	5252796	ea7e20a2ff7f7a04c294a054c4aa5c217c8c54b24da8e60beae2d5f99a86c920	8358	broad_deg_pathway_composition_concordance_v1	validated_complete
broad_deg_pathway_artifacts_v1	broad_deg_pathway_broad_cell_summary.tsv	results/minerva_production/11_pathway_deg_broad/broad_deg_pathway_broad_cell_summary.tsv	5553405	6ca0ce8555b91c11a7ef0bb547f7cd68988d19af2e2f75af063f249a4460b342	15323	broad_deg_pathway_broad_cell_summary_v1	validated_complete
broad_deg_pathway_artifacts_v1	broad_deg_pathway_sex_apoe_summary.tsv	results/minerva_production/11_pathway_deg_broad/broad_deg_pathway_sex_apoe_summary.tsv	4512593	cf47b74a186018e950dfe66f413d35c02b313ae528fc9c94e506bd24b99afa01	13134	broad_deg_pathway_sex_apoe_summary_v1	validated_complete
broad_deg_pathway_artifacts_v1	broad_deg_pathway_broad_vs_fine_concordance.tsv.gz	results/minerva_production/11_pathway_deg_broad/broad_deg_pathway_broad_vs_fine_concordance.tsv.gz	1274106	2979db327352ba760b3d3fb7438fd1ab1a797348a418cf963580aea6b228ef35	25074	broad_deg_pathway_broad_vs_fine_concordance_v1	validated_complete
broad_deg_pathway_artifacts_v1	broad_deg_pathway_redundancy_map.tsv.gz	results/minerva_production/11_pathway_deg_broad/broad_deg_pathway_redundancy_map.tsv.gz	106817	26b1fb43eda083bbc907319edd93d5a7faddc3e86bab888c23c6328ca06d121f	11026	broad_deg_pathway_redundancy_map_v1	validated_complete
broad_deg_pathway_artifacts_v1	README.md	results/minerva_production/11_pathway_deg_broad/README.md	1013	82dbb79be70d9635e66730621243abdb624d070a33986b49ee10fa5a4d0907ca	19	markdown_v1	validated_complete
