schema_version	contrast_id	pathway_collection	pathway_id	broad_cell_type	sex	apoe_group	collection_order	collection_role	pathway_name	hierarchy	hierarchy_depth	level_1	level_2	pathway_scope	primary_test_status	primary_nes	primary_p_value	primary_local_fdr_bh	primary_local_significant	primary_global_fdr_bh	primary_leading_edge_genes	composition_test_status	composition_testability_reason	composition_nes	composition_p_value	composition_local_fdr_bh	composition_local_significant	composition_global_fdr_bh	composition_leading_edge_genes	whole_transcriptome_logFC_pearson	whole_transcriptome_sign_concordance	upstream_sensitivity_status	both_profiles_tested	nes_sign_concordant	nes_difference	absolute_nes_difference	leading_edge_overlap_count	leading_edge_union_count	leading_edge_jaccard	primary_signal_survives_composition
broad_deg_pathway_composition_concordance_v1	Microglia::AD_vs_NCI__Male__e2	mitocarta_complete_149	OXPHOS subunits	Microglia	Male	e2	3	supplemental_complete	OXPHOS subunits	OXPHOS > OXPHOS subunits	2	OXPHOS	OXPHOS subunits	broad_program	tested	-2.2400507661876	5.24585830617525e-07	5.71798555373102e-05	TRUE	0.00016314619332205	ATP5F1B,ATP5F1D,ATP5F1E,ATP5IF1,ATP5MC1,ATP5MC3,ATP5MG,ATP5PB,ATP5PF,COX4I1,COX5A,COX5B,COX6C,COX7A1,COX7A2L,COX7B,COX7C,CYC1,CYCS,MT-ATP6,MT-ATP8,MT-CO1,MT-CO2,MT-CO3,MT-CYB,MT-ND2,MT-ND3,MT-ND4,MT-ND5,NDUFA1,NDUFA12,NDUFA2,NDUFA3,NDUFA5,NDUFA6,NDUFA8,NDUFB6,NDUFB7,NDUFC1,NDUFS5,NDUFS6,NDUFS8,UQCR10,UQCRB,UQCRC1,UQCRFS1,UQCRH,UQCRQ	tested	tested	-2.23601211060346	2.01957294020445e-07	2.20133450482285e-05	TRUE	8.27457681173123e-05	ATP5F1B,ATP5F1D,ATP5F1E,ATP5IF1,ATP5MC1,ATP5MC3,ATP5MG,ATP5PB,ATP5PF,COX4I1,COX5A,COX5B,COX6C,COX7A1,COX7A2L,COX7B,COX7C,CYC1,CYCS,MT-ATP6,MT-ATP8,MT-CO1,MT-CO2,MT-CO3,MT-CYB,MT-ND3,MT-ND4,MT-ND5,NDUFA1,NDUFA12,NDUFA2,NDUFA3,NDUFA5,NDUFA6,NDUFA8,NDUFB6,NDUFB7,NDUFC1,NDUFS5,NDUFS6,NDUFS8,UQCRB,UQCRC1,UQCRC2,UQCRFS1,UQCRH,UQCRQ	0.990974129927397	0.965094099694812	validated_complete	TRUE	TRUE	0.00403865558413541	0.00403865558413541	46	49	0.938775510204082	TRUE
broad_deg_pathway_composition_concordance_v1	Microglia::AD_vs_NCI__Male__e2	mitocarta_complete_149	Organelle contact sites	Microglia	Male	e2	3	supplemental_complete	Organelle contact sites	Mitochondrial dynamics and surveillance > Organelle contact sites	2	Mitochondrial dynamics and surveillance	Organelle contact sites	broad_program	tested	-0.780677577324224	0.754022988505747	0.944695468357775	FALSE	0.984412621275569	AHCYL1,ATAD3A,MFN2,RMDN3,SPIRE1	tested	tested	-0.933059807912125	0.53125	0.902424600827912	FALSE	0.911407766990291	AHCYL1,ATAD3A,MFN2,RMDN3,SPIRE1	0.990974129927397	0.965094099694812	validated_complete	TRUE	TRUE	-0.152382230587901	0.152382230587901	5	5	1	FALSE
broad_deg_pathway_composition_concordance_v1	Microglia::AD_vs_NCI__Male__e2	mitocarta_complete_149	Phospholipid metabolism	Microglia	Male	e2	3	supplemental_complete	Phospholipid metabolism	Metabolism > Lipid metabolism > Phospholipid metabolism	3	Metabolism	Lipid metabolism	detailed_program	tested	-0.956497435229539	0.541463414634146	0.877263581488934	FALSE	0.944902487902635	LACTB,PISD,PRDX6,TRIAP1	tested	tested	-1.04642183861325	0.36480686695279	0.828415593705293	FALSE	0.822192595993396	LACTB,PISD,PRDX6,PRELID1,TRIAP1	0.990974129927397	0.965094099694812	validated_complete	TRUE	TRUE	-0.0899244033837076	0.0899244033837076	4	5	0.8	FALSE
broad_deg_pathway_composition_concordance_v1	Microglia::AD_vs_NCI__Male__e2	mitocarta_complete_149	Polycistronic mtRNA processing	Microglia	Male	e2	3	supplemental_complete	Polycistronic mtRNA processing	Mitochondrial central dogma > mtRNA metabolism > Polycistronic mtRNA processing	3	Mitochondrial central dogma	mtRNA metabolism	detailed_program	tested	0.575876989536107	0.960992907801418	0.970079940188636	FALSE	1	ELAC2,FASTK,FASTKD1,FASTKD2,FASTKD3,GRSF1,HSD17B10,PTCD2,TBRG4,TRMT10C,YBEY	tested	tested	-0.692227989704563	0.88125	0.959770114942529	FALSE	0.99350323879432	FASTK,FASTKD1,FASTKD2,FASTKD3,GRSF1,TRMT10C	0.990974129927397	0.965094099694812	validated_complete	TRUE	FALSE	-1.26810497924067	1.26810497924067	6	11	0.545454545454545	FALSE
broad_deg_pathway_composition_concordance_v1	Microglia::AD_vs_NCI__Male__e2	mitocarta_complete_149	Preprotein cleavage	Microglia	Male	e2	3	supplemental_complete	Preprotein cleavage	Protein import, sorting and homeostasis > Protein import and sorting > Preprotein cleavage	3	Protein import, sorting and homeostasis	Protein import and sorting	detailed_program	tested	1.12322625955834	0.328596802841918	0.751473368175248	FALSE	0.823667518465004	IMMP1L,IMMP2L,MIPEP,PMPCB,XPNPEP3	tested	tested	0.961357469925281	0.520710059171598	0.902424600827912	FALSE	0.909418503020034	IMMP1L,IMMP2L,MIPEP,PMPCB,XPNPEP3	0.990974129927397	0.965094099694812	validated_complete	TRUE	TRUE	-0.161868789633064	0.161868789633064	5	5	1	FALSE
broad_deg_pathway_composition_concordance_v1	Microglia::AD_vs_NCI__Male__e2	mitocarta_complete_149	Proline metabolism	Microglia	Male	e2	3	supplemental_complete	Proline metabolism	Metabolism > Amino acid metabolism > Proline metabolism	3	Metabolism	Amino acid metabolism	detailed_program	not_testable	NA	NA	NA	FALSE	NA		not_testable	below_minimum_rank_members	NA	NA	NA	FALSE	NA		0.990974129927397	0.965094099694812	validated_complete	FALSE	NA	NA	NA	0	0	NA	FALSE
broad_deg_pathway_composition_concordance_v1	Microglia::AD_vs_NCI__Male__e2	mitocarta_complete_149	Propanoate metabolism	Microglia	Male	e2	3	supplemental_complete	Propanoate metabolism	Metabolism > Carbohydrate metabolism > Propanoate metabolism	3	Metabolism	Carbohydrate metabolism	detailed_program	not_testable	NA	NA	NA	FALSE	NA		not_testable	below_minimum_rank_members	NA	NA	NA	FALSE	NA		0.990974129927397	0.965094099694812	validated_complete	FALSE	NA	NA	NA	0	0	NA	FALSE
broad_deg_pathway_composition_concordance_v1	Microglia::AD_vs_NCI__Male__e2	mitocarta_complete_149	Proteases	Microglia	Male	e2	3	supplemental_complete	Proteases	Protein import, sorting and homeostasis > Protein homeostasis > Proteases	3	Protein import, sorting and homeostasis	Protein homeostasis	detailed_program	tested	0.838009405509166	0.709243697478992	0.938614579753313	FALSE	0.980711687882295	ATP23,CLPB,HTRA2,IDE,IMMP1L,IMMP2L,METAP1D,MIPEP,PITRM1,USP30,XPNPEP3	tested	tested	0.833566362667398	0.721669980119284	0.902424600827912	FALSE	0.961698674399646	ATP23,CLPB,HTRA2,IDE,IMMP1L,IMMP2L,METAP1D,MIPEP,PITRM1,USP30	0.990974129927397	0.965094099694812	validated_complete	TRUE	TRUE	-0.00444304284176778	0.00444304284176778	10	11	0.909090909090909	FALSE
broad_deg_pathway_composition_concordance_v1	Microglia::AD_vs_NCI__Male__e2	mitocarta_complete_149	Protein homeostasis	Microglia	Male	e2	3	supplemental_complete	Protein homeostasis	Protein import, sorting and homeostasis > Protein homeostasis	2	Protein import, sorting and homeostasis	Protein homeostasis	broad_program	tested	0.697412179564381	0.920454545454545	0.970079940188636	FALSE	0.998793373187192	ATP23,CASP8,CLPB,DNAJA3,HTRA2,IDE,IMMP1L,IMMP2L,METAP1D,MIPEP,PITRM1,STOML2,USP30	tested	tested	-0.733012837370592	0.895787139689579	0.959770114942529	FALSE	0.993874651902608	ATAD1,CASP3,CASP9,CLPP,CLPX,DNAJC4,HSPD1,LACTB,LAP3,LONP1,MAIP1,NRDC,PARK7,SPG7,TIMM10,TIMM13,TIMM8A,TIMM9	0.990974129927397	0.965094099694812	validated_complete	TRUE	FALSE	-1.43042501693497	1.43042501693497	0	31	0	FALSE
broad_deg_pathway_composition_concordance_v1	Microglia::AD_vs_NCI__Male__e2	mitocarta_complete_149	Protein import and sorting	Microglia	Male	e2	3	supplemental_complete	Protein import and sorting	Protein import, sorting and homeostasis > Protein import and sorting	2	Protein import, sorting and homeostasis	Protein import and sorting	broad_program	tested	-0.564078745669429	0.989949748743719	0.989949748743719	FALSE	1	GRPEL1,MTX2,NRDC,ROMO1,SAMM50,TIMM10,TIMM13,TIMM8A,TOMM20,TOMM40	tested	tested	-0.680534424975118	0.949781659388646	0.959770114942529	FALSE	0.996209533800102	GRPEL1,MTX2,NRDC,ROMO1,SAMM50,TIMM10,TIMM13,TIMM21,TIMM29,TIMM8A,TIMM9,TOMM20,TOMM22,TOMM40,TOMM40L,TOMM70,UQCRC1,UQCRC2	0.990974129927397	0.965094099694812	validated_complete	TRUE	TRUE	-0.116455679305689	0.116455679305689	10	18	0.555555555555556	FALSE
broad_deg_pathway_composition_concordance_v1	Microglia::AD_vs_NCI__Male__e2	mitocarta_complete_149	Protein import, sorting and homeostasis	Microglia	Male	e2	3	supplemental_complete	Protein import, sorting and homeostasis	Protein import, sorting and homeostasis	1	Protein import, sorting and homeostasis	NA	broad_program	tested	0.695849665680178	0.961180124223602	0.970079940188636	FALSE	1	AIFM1,ATP23,CASP8,CLPB,DNAJA3,DNAJC19,HTRA2,IDE,IMMP1L,IMMP2L,METAP1D,MIPEP,PAM16,PITRM1,STOML2,TIMM17A,TIMM44,TIMM50,TOMM34,USP30	tested	tested	-0.733322820371717	0.939203354297694	0.959770114942529	FALSE	0.993874651902608	ATAD1,CASP3,CASP9,CLPP,CLPX,DNAJC4,GRPEL1,HSPD1,LACTB,LAP3,LONP1,MAIP1,MTX2,NRDC,PARK7,PHB2,ROMO1,SAMM50,SPG7,TIMM10,TIMM13,TIMM21,TIMM29,TIMM8A,TIMM9,TOMM20,TOMM22,TOMM40,TOMM40L,TOMM70,UQCRC1,UQCRC2	0.990974129927397	0.965094099694812	validated_complete	TRUE	FALSE	-1.42917248605189	1.42917248605189	0	52	0	FALSE
broad_deg_pathway_composition_concordance_v1	Microglia::AD_vs_NCI__Male__e2	mitocarta_complete_149	Pyruvate metabolism	Microglia	Male	e2	3	supplemental_complete	Pyruvate metabolism	Metabolism > Carbohydrate metabolism > Pyruvate metabolism	3	Metabolism	Carbohydrate metabolism	detailed_program	tested	1.49092700568135	0.0480274442538593	0.402691647974667	FALSE	0.482377542965558	DLD,MPC1,PDHX,PDK1,PDK2,PDP1,PDP2	tested	tested	1.62588168789948	0.0280337188557214	0.339519483919293	FALSE	0.425382198040401	DLD,MPC1,PDHX,PDK1,PDP1,PDP2	0.990974129927397	0.965094099694812	validated_complete	TRUE	TRUE	0.134954682218131	0.134954682218131	6	7	0.857142857142857	FALSE
broad_deg_pathway_composition_concordance_v1	Microglia::AD_vs_NCI__Male__e2	mitocarta_complete_149	Q-linked reactions, other	Microglia	Male	e2	3	supplemental_complete	Q-linked reactions, other	Metabolism > Electron carriers > Q-linked reactions, other	3	Metabolism	Electron carriers	detailed_program	tested	-1.27398514632889	0.19634703196347	0.69038149948446	FALSE	0.715318996566759	DHODH,ETFB,ETFDH,GPD2	tested	tested	-1.1636941243779	0.289738430583501	0.744711601629221	FALSE	0.772978903617084	DHODH,ETFB,ETFDH,GPD2	0.990974129927397	0.965094099694812	validated_complete	TRUE	TRUE	0.110291021950989	0.110291021950989	4	4	1	FALSE
broad_deg_pathway_composition_concordance_v1	Microglia::AD_vs_NCI__Male__e2	mitocarta_complete_149	ROS and glutathione metabolism	Microglia	Male	e2	3	supplemental_complete	ROS and glutathione metabolism	Metabolism > Detoxification > ROS and glutathione metabolism	3	Metabolism	Detoxification	detailed_program	tested	0.977608364842229	0.5	0.877263581488934	FALSE	0.923240033927057	AIFM2,ALDH3A2,ALDH7A1,ALDH9A1,GSR,HAGH,MGST1,MSRB2,OXR1,PRDX3,TXNRD2	tested	tested	0.840449253840582	0.716242661448141	0.902424600827912	FALSE	0.961698674399646	AIFM2,ALDH7A1,ALDH9A1,GSR,MGST1,MSRB2,OXR1,PRDX3,TXNRD2	0.990974129927397	0.965094099694812	validated_complete	TRUE	TRUE	-0.137159111001646	0.137159111001646	9	11	0.818181818181818	FALSE
