background_id	schema_version	background_order	contrast_id	broad_cell_type	group_id	sex	apoe_group	structural_status	structurally_available	background_size	background_status
Oligodendrocytes::AD_vs_NCI__Female__e2	broad_deg_pathway_background_manifest_v1	31	Oligodendrocytes::AD_vs_NCI__Female__e2	Oligodendrocytes	F_e2	Female	e2	validated_complete	TRUE	1104	available
Oligodendrocytes::AD_vs_NCI__Female__e33	broad_deg_pathway_background_manifest_v1	32	Oligodendrocytes::AD_vs_NCI__Female__e33	Oligodendrocytes	F_e33	Female	e33	validated_complete	TRUE	1104	available
Oligodendrocytes::AD_vs_NCI__Female__e4	broad_deg_pathway_background_manifest_v1	33	Oligodendrocytes::AD_vs_NCI__Female__e4	Oligodendrocytes	F_e4	Female	e4	validated_complete	TRUE	1104	available
Oligodendrocytes::AD_vs_NCI__Male__e2	broad_deg_pathway_background_manifest_v1	34	Oligodendrocytes::AD_vs_NCI__Male__e2	Oligodendrocytes	M_e2	Male	e2	validated_complete	TRUE	1104	available
Oligodendrocytes::AD_vs_NCI__Male__e33	broad_deg_pathway_background_manifest_v1	35	Oligodendrocytes::AD_vs_NCI__Male__e33	Oligodendrocytes	M_e33	Male	e33	validated_complete	TRUE	1104	available
Oligodendrocytes::AD_vs_NCI__Male__e4	broad_deg_pathway_background_manifest_v1	36	Oligodendrocytes::AD_vs_NCI__Male__e4	Oligodendrocytes	M_e4	Male	e4	validated_complete	TRUE	1104	available
Vasculature_cells::AD_vs_NCI__Female__e2	broad_deg_pathway_background_manifest_v1	37	Vasculature_cells::AD_vs_NCI__Female__e2	Vasculature_cells	F_e2	Female	e2	contrast_not_estimable	FALSE	573	contrast_not_estimable
Vasculature_cells::AD_vs_NCI__Female__e33	broad_deg_pathway_background_manifest_v1	38	Vasculature_cells::AD_vs_NCI__Female__e33	Vasculature_cells	F_e33	Female	e33	validated_complete	TRUE	573	available
Vasculature_cells::AD_vs_NCI__Female__e4	broad_deg_pathway_background_manifest_v1	39	Vasculature_cells::AD_vs_NCI__Female__e4	Vasculature_cells	F_e4	Female	e4	validated_complete	TRUE	573	available
Vasculature_cells::AD_vs_NCI__Male__e2	broad_deg_pathway_background_manifest_v1	40	Vasculature_cells::AD_vs_NCI__Male__e2	Vasculature_cells	M_e2	Male	e2	contrast_not_estimable	FALSE	573	contrast_not_estimable
Vasculature_cells::AD_vs_NCI__Male__e33	broad_deg_pathway_background_manifest_v1	41	Vasculature_cells::AD_vs_NCI__Male__e33	Vasculature_cells	M_e33	Male	e33	validated_complete	TRUE	573	available
Vasculature_cells::AD_vs_NCI__Male__e4	broad_deg_pathway_background_manifest_v1	42	Vasculature_cells::AD_vs_NCI__Male__e4	Vasculature_cells	M_e4	Male	e4	validated_complete	TRUE	573	available
